celltype,celltype_safe,database,feature_id,feature_label,disease_NES,disease_FDR,disease_file,disease_direction,pbmc_treatment_NES,pbmc_treatment_file,tested_in_pbmc_treatment,pbmc_recovery_status,pbmc_treatment_skip_reason,duodenum_treatment_NES,duodenum_treatment_file,tested_in_duodenum_treatment,duodenum_recovery_status,duodenum_treatment_skip_reason
Central memory CD8 T cells,Central_memory_CD8_T_cells,Reactome,R-HSA-109582,Hemostasis,-1.57808041743533,0.00882710081088444,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Central_memory_CD8_T_cells/Central_memory_CD8_T_cells_MildUntreated_vs_HC_pooled_Reactome_results.csv,Down,1.06337501437612,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Central_memory_CD8_T_cells/Central_memory_CD8_T_cells_MildTreated_vs_MildUntreated_paired_Reactome_results.csv,TRUE,Recovered after treatment in PBMC,,-1.39832602417344,/vf/users/cheungf/ACEPD/LINEAGE_DOUBLET_ANALYSIS_PANGI_V9/OUTPUT_20251128_141815_WITH_BATCH/Monaco_fine/gsea_results/Monaco_fine__cluster_Central memory CD8 T cells_GSEA_REACTOME_Treated_vs_Untreated.csv,TRUE,Not recovered after treatment in Duodenum,
Central memory CD8 T cells,Central_memory_CD8_T_cells,Reactome,R-HSA-416476,G alpha (q) signalling events,-1.90641455415593,0.024747584062908,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Central_memory_CD8_T_cells/Central_memory_CD8_T_cells_MildUntreated_vs_HC_pooled_Reactome_results.csv,Down,0.788295832632711,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Central_memory_CD8_T_cells/Central_memory_CD8_T_cells_MildTreated_vs_MildUntreated_paired_Reactome_results.csv,TRUE,Recovered after treatment in PBMC,,1.059843674005,/vf/users/cheungf/ACEPD/LINEAGE_DOUBLET_ANALYSIS_PANGI_V9/OUTPUT_20251128_141815_WITH_BATCH/Monaco_fine/gsea_results/Monaco_fine__cluster_Central memory CD8 T cells_GSEA_REACTOME_Treated_vs_Untreated.csv,TRUE,Recovered after treatment in Duodenum,
Central memory CD8 T cells,Central_memory_CD8_T_cells,Reactome,R-HSA-112315,Transmission across Chemical Synapses,-1.7717377505272,0.0335825187033277,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Central_memory_CD8_T_cells/Central_memory_CD8_T_cells_MildUntreated_vs_HC_pooled_Reactome_results.csv,Down,0.947110671177975,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Central_memory_CD8_T_cells/Central_memory_CD8_T_cells_MildTreated_vs_MildUntreated_paired_Reactome_results.csv,TRUE,Recovered after treatment in PBMC,,1.2338364384896,/vf/users/cheungf/ACEPD/LINEAGE_DOUBLET_ANALYSIS_PANGI_V9/OUTPUT_20251128_141815_WITH_BATCH/Monaco_fine/gsea_results/Monaco_fine__cluster_Central memory CD8 T cells_GSEA_REACTOME_Treated_vs_Untreated.csv,TRUE,Recovered after treatment in Duodenum,
Central memory CD8 T cells,Central_memory_CD8_T_cells,Reactome,R-HSA-429914,Deadenylation-dependent mRNA decay,1.79324400368198,0.039810722279986,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Central_memory_CD8_T_cells/Central_memory_CD8_T_cells_MildUntreated_vs_HC_pooled_Reactome_results.csv,Up,-0.879362702498397,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Central_memory_CD8_T_cells/Central_memory_CD8_T_cells_MildTreated_vs_MildUntreated_paired_Reactome_results.csv,TRUE,Recovered after treatment in PBMC,,-1.12361702276437,/vf/users/cheungf/ACEPD/LINEAGE_DOUBLET_ANALYSIS_PANGI_V9/OUTPUT_20251128_141815_WITH_BATCH/Monaco_fine/gsea_results/Monaco_fine__cluster_Central memory CD8 T cells_GSEA_REACTOME_Treated_vs_Untreated.csv,TRUE,Recovered after treatment in Duodenum,
Classical monocytes,Classical_monocytes,GO_BP,GO:1902600,proton transmembrane transport,2.47217553197994,2.93582195891697e-09,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildUntreated_vs_HC_pooled_GO_BP_results.csv,Up,-1.45333619955473,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildTreated_vs_MildUntreated_paired_GO_BP_results.csv,TRUE,Recovered after treatment in PBMC,,-1.04703443092118,/vf/users/cheungf/ACEPD/LINEAGE_DOUBLET_ANALYSIS_PANGI_V9/OUTPUT_20251128_141815_WITH_BATCH/Monaco_fine/gsea_results/Monaco_fine__cluster_Classical monocytes_GSEA_GO_Treated_vs_Untreated.csv,TRUE,Recovered after treatment in Duodenum,
Classical monocytes,Classical_monocytes,GO_BP,GO:0009152,purine ribonucleotide biosynthetic process,2.46242208629159,1.23650285197717e-08,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildUntreated_vs_HC_pooled_GO_BP_results.csv,Up,-1.15206690930982,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildTreated_vs_MildUntreated_paired_GO_BP_results.csv,TRUE,Recovered after treatment in PBMC,,-1.31064486871532,/vf/users/cheungf/ACEPD/LINEAGE_DOUBLET_ANALYSIS_PANGI_V9/OUTPUT_20251128_141815_WITH_BATCH/Monaco_fine/gsea_results/Monaco_fine__cluster_Classical monocytes_GSEA_GO_Treated_vs_Untreated.csv,TRUE,Recovered after treatment in Duodenum,
Classical monocytes,Classical_monocytes,GO_BP,GO:0009060,aerobic respiration,2.23782311667607,1.70544718024873e-08,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildUntreated_vs_HC_pooled_GO_BP_results.csv,Up,-1.36404393185848,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildTreated_vs_MildUntreated_paired_GO_BP_results.csv,TRUE,Recovered after treatment in PBMC,,-0.812239418380094,/vf/users/cheungf/ACEPD/LINEAGE_DOUBLET_ANALYSIS_PANGI_V9/OUTPUT_20251128_141815_WITH_BATCH/Monaco_fine/gsea_results/Monaco_fine__cluster_Classical monocytes_GSEA_GO_Treated_vs_Untreated.csv,TRUE,Recovered after treatment in Duodenum,
Classical monocytes,Classical_monocytes,GO_BP,GO:0006754,ATP biosynthetic process,2.536869785877,4.91967299301656e-08,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildUntreated_vs_HC_pooled_GO_BP_results.csv,Up,-1.44010843884129,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildTreated_vs_MildUntreated_paired_GO_BP_results.csv,TRUE,Recovered after treatment in PBMC,,-0.703663568248393,/vf/users/cheungf/ACEPD/LINEAGE_DOUBLET_ANALYSIS_PANGI_V9/OUTPUT_20251128_141815_WITH_BATCH/Monaco_fine/gsea_results/Monaco_fine__cluster_Classical monocytes_GSEA_GO_Treated_vs_Untreated.csv,TRUE,Recovered after treatment in Duodenum,
Classical monocytes,Classical_monocytes,GO_BP,GO:0015986,proton motive force-driven ATP synthesis,2.6444883194261,5.31063570192225e-08,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildUntreated_vs_HC_pooled_GO_BP_results.csv,Up,-1.651509720926,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildTreated_vs_MildUntreated_paired_GO_BP_results.csv,TRUE,Recovered after treatment in PBMC,,,,FALSE,Not tested in duodenum treatment,
Classical monocytes,Classical_monocytes,GO_BP,GO:0006119,oxidative phosphorylation,2.44607615359796,7.07822585950084e-08,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/pooled/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildUntreated_vs_HC_pooled_GO_BP_results.csv,Up,-1.55659856759493,deg_gsea_pooled_vs_within_pool_Monaco_fine_pruned_v3_consistent_disease_direction/paired_cross_pool/gsea_by_celltype/Classical_monocytes/Classical_monocytes_MildTreated_vs_MildUntreated_paired_GO_BP_results.csv,TRUE,Recovered after treatment in PBMC,,-0.80607059313121,/vf/users/cheungf/ACEPD/LINEAGE_DOUBLET_ANALYSIS_PANGI_V9/OUTPUT_20251128_141815_WITH_BATCH/Monaco_fine/gsea_results/Monaco_fine__cluster_Classical monocytes_GSEA_GO_Treated_vs_Untreated.csv,TRUE,Recovered after treatment in Duodenum,
