ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,63,-0.577097680599216,-2.32004903870826,2.29937143100029e-08,9.65736001020123e-07,8.47136843000108e-07,556,"tags=56%, list=24%, signal=44%",ITGB2/RPS9/LCP2/NPM1/CSK/EIF4G3/CXCL13/LTB/RPS19/RPS3A/ST8SIA4/HLA-E/CD4/ETS1/RPL9/CCND2/UBE2N/HIF1A/SOCS1/NCK1/CD74/CD2/IL2RG/CD28/CD3G/SRGN/FYB1/ITGAL/PTPRC/CD3D/B2M/ABI1/ZAP70/HLA-A/HCLS1,3689/6203/3937/4869/1445/8672/10563/4050/6223/6189/7903/3133/920/2113/6133/894/7334/3091/8651/4690/972/914/3561/940/917/5552/2533/3683/5788/915/567/10006/7535/3105/3059,Follicular helper T cells,HALLMARK,Monaco_fine
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,29,-0.627846256850883,-2.17025241568908,4.00530352568903e-05,0.000841113740394697,0.000737819070521664,137,"tags=38%, list=6%, signal=36%",CAP1/RAC2/MYL12B/ACTG1/FYB1/EVL/PTPRC/ARPC2/PFN1/ACTB/LIMA1,10487/5880/103910/71/2533/51466/5788/10109/5216/60/51474,Follicular helper T cells,HALLMARK,Monaco_fine
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,38,-0.552703290929654,-2.01928373031097,0.000111571209650795,0.00156199693511113,0.00137017275009748,397,"tags=45%, list=17%, signal=38%",CSNK2B/ARF1/YWHAB/GRB2/PIKFYVE/CDKN1B/UBE2N/CFL1/ITPR2/NCK1/IL2RG/CXCR4/ACTR3/SLA/CALR/ARPC3/PFN1,1460/375/7529/2885/200576/1027/7334/1072/3709/4690/3561/7852/10096/6503/811/10094/5216,Follicular helper T cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,48,-0.470700607728614,-1.83216008248658,0.000758785251990658,0.00796724514590191,0.0069888115314929,578,"tags=56%, list=24%, signal=43%",ATP5MC3/LDHA/UQCRC2/HADHA/ATP5F1D/COX6C/GLUD1/CYCS/DECR1/ATP5F1B/ATP5F1C/UQCRB/SLC25A5/COX5B/COX7C/NDUFB8/LDHB/ATP6V0E1/SLC25A6/NDUFA1/NDUFB4/COX4I1/ATP5F1E/COX7A2/ATP5MG/NDUFV2/ISCU,518/3939/7385/3030/513/1345/2746/54205/1666/506/509/7381/292/1329/1350/4714/3945/8992/293/4694/4710/1327/514/1347/10632/4729/23479,Follicular helper T cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,44,0.44544926490857,1.68273953372315,0.0056423802297314,0.0473959939297437,0.041575433271705,580,"tags=45%, list=25%, signal=35%",AKT3/SCAF8/NR1D2/YTHDC1/RUNX1/SPOP/CDK13/LDLR/SMAD3/PRDM2/ATP2B1/INPP4B/NEK7/SYNE1/DYRK1A/ICA1/DLG1/NIPBL/DUSP1/NFKB1,10000/22828/9975/91746/861/8405/8621/3949/4088/7799/490/8821/140609/23345/1859/3382/1739/25836/1843/4790,Follicular helper T cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,60,-0.371238442102453,-1.50212475139043,0.0174398717363962,0.122079102154773,0.107086931714713,528,"tags=35%, list=22%, signal=28%",RNF213/LCP2/TNFAIP3/PTPN2/SAMHD1/ARID5B/NCOA3/ST8SIA4/BTG1/TXNIP/PSME2/HIF1A/PSME1/ADAR/SOCS1/HLA-B/CD74/CASP8/SPPL2A/B2M/HLA-A,57674/3937/7128/5771/25939/84159/8202/7903/694/10628/5721/3091/5720/103/8651/3106/972/841/84888/567/3105,Follicular helper T cells,HALLMARK,Monaco_fine
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,20,0.505790104599836,1.570533173124,0.0379663723119275,0.227798233871565,0.199823012168039,259,"tags=25%, list=11%, signal=22%",S100A10/SUCLG2/AUH/HIBCH/ADIPOR2,6281/8801/549/26275/79602,Follicular helper T cells,HALLMARK,Monaco_fine
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,63,0.330611076192818,1.33000046535696,0.0568627450980392,0.298529411764706,0.26186790505676,566,"tags=37%, list=24%, signal=29%",PCGF5/RFC1/ARFGEF1/RABGAP1/RANBP9/EPB41/CNTRL/RALBP1/RAPGEF6/YWHAE/ARHGAP5/DYNC1H1/CD2AP/RAB3GAP1/KLC1/LRPPRC/NIN/SMC4/ARHGEF3/CDK5RAP2/DLG1/HOOK3/UXT,84333/5981/10565/23637/10048/2035/11064/10928/51735/7531/394/1778/23607/22930/3831/10128/51199/10051/50650/55755/1739/84376/8409,Follicular helper T cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,28,-0.41081096779353,-1.40569161270208,0.073558648111332,0.343273691186216,0.301117272970365,323,"tags=29%, list=14%, signal=25%",TXNIP/PSME2/PSME1/ADAR/CD74/HLA-C/CASP8/B2M,10628/5721/5720/103/972/3107/841/567,Follicular helper T cells,HALLMARK,Monaco_fine
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,12,-0.533869945723784,-1.42776359822997,0.082815734989648,0.347826086956522,0.30511060259344,184,"tags=50%, list=8%, signal=46%",GPX4/PRDX1/LSP1/NDUFB4/JUNB/SOD1,2879/5052/4046/4710/3726/6647,Follicular helper T cells,HALLMARK,Monaco_fine
