ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,89,-0.727058021334146,-3.19528058812998,1e-10,1.63333333333333e-09,9.82456140350877e-10,934,"tags=53%, list=8%, signal=49%",CSF1/ELF1/OAS1/CASP1/OASL/CCRL2/LGALS3BP/HLA-C/CMPK2/IL15/IFI44L/RTP4/IFI27/LAP3/CASP8/GBP2/B2M/MVB12A/NMI/LY6E/ISG20/NUB1/TRIM21/ADAR/BST2/SP110/ISG15/PARP14/IFI30/IFIT3/PSMB8/IFI35/IRF1/SAMD9L/PSME1/CD74/IRF9/UBA7/TMEM140/EPSTI1/PSME2/PSMB9/PARP9/UBE2L6/STAT2/GBP4/TAP1,1435/1997/4938/834/8638/9034/3959/3107/129607/3600/10964/64108/3429/51056/841/2634/567/93343/9111/4061/3669/51667/6737/103/684/3431/9636/54625/10437/3437/5696/3430/3659/219285/5720/972/10379/7318/55281/94240/5721/5698/83666/9246/6773/115361/6890,MAIT cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,173,-0.656229676856782,-3.18293817704115,1e-10,1.63333333333333e-09,9.82456140350877e-10,1465,"tags=49%, list=13%, signal=43%",DHX58/IL15RA/ZNFX1/EIF2AK2/AUTS2/SPPL2A/PLSCR1/STAT4/MT2A/PSMB2/PSMA2/VAMP5/PTPN2/DDX60/ST8SIA4/MTHFD2/STAT3/HLA-B/CASP1/OASL/MVP/OAS2/SAMHD1/RAPGEF6/FAS/LGALS3BP/NFKB1/ZBP1/CMPK2/NAMPT/IL18BP/PELI1/IL15/CD69/HLA-DRB1/IFI44L/RBCK1/NLRC5/RTP4/BPGM/IFI27/LAP3/CASP8/HLA-A/B2M/OAS3/ITGB7/NMI/CASP4/LY6E/ISG20/TRIM21/GPR18/ADAR/BST2/TNFAIP3/SP110/ISG15/PARP14/IFI30/NFKBIA/IFIT3/PSMB8/IFI35/CD38/RNF213/IRF1/SAMD9L/APOL6/PSME1/CD74/IRF9/GZMA/XAF1/EPSTI1/TAPBP/PSMB10/PSME2/PSMB9/UBE2L6/STAT2/GBP4/TAP1/STAT1,79132/3601/57169/5610/26053/84888/5359/6775/4502/5690/5683/10791/5771/55601/7903/10797/6774/3106/834/8638/9961/4939/25939/51735/355/3959/4790/81030/129607/10135/10068/57162/3600/969/3123/10964/10616/84166/64108/669/3429/51056/841/3105/567/4940/3695/9111/837/4061/3669/6737/2841/103/684/7128/3431/9636/54625/10437/4792/3437/5696/3430/952/57674/3659/219285/80830/5720/972/10379/3001/54739/94240/6892/5699/5721/5698/9246/6773/115361/6890/6772,MAIT cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,150,-0.516135492450973,-2.43617506847271,1e-10,1.63333333333333e-09,9.82456140350877e-10,2421,"tags=42%, list=21%, signal=34%",SIT1/LCK/ZAP70/IRF4/PRF1/TGFB1/NCF4/CCL5/CXCR3/RPS19/LYN/CD96/IRF7/CD79A/CD7/ICAM1/IL2RB/GALNT1/RPS9/CXCL13/STAT4/CSK/TLR3/CD8A/AKT1/CCR1/CCR5/FYB1/ST8SIA4/CSF1/FAS/BCL3/IL16/PTPRC/UBE2N/IL2RG/MAP4K1/LY86/ETS1/CD3G/IL15/CCL4/NME1/GBP2/HLA-A/B2M/SRGN/BRCA1/HLA-E/HCLS1/CDKN2A/CD3D/GZMB/IL12RB1/CD74/GZMA/TAPBP/PSMB10/TAP2/IL10/TAP1/CTSS/STAT1,27240/3932/7535/3662/5551/7040/4689/6352/2833/6223/4067/10225/3665/973/924/3383/3560/2589/6203/10563/6775/1445/7098/925/207/1230/1234/2533/7903/1435/355/602/3603/5788/7334/3561/11184/9450/2113/917/3600/6351/4830/2634/3105/567/5552/672/3133/3059/1029/915/3002/3594/972/3001/6892/5699/6891/3586/6890/1520/6772,MAIT cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,-0.418773357772963,-2.05512951335043,7.07608589769048e-09,8.66820522467084e-08,5.2139580298772e-08,2577,"tags=43%, list=23%, signal=34%",ECHS1/PDHB/NDUFC1/UQCRFS1/GLUD1/NDUFB8/ATP5MC1/NDUFB5/ETFDH/UQCRQ/HADHA/ATP6V0B/TOMM22/ACAA1/SDHB/ATP6V1H/LDHA/ATP6V0C/COX17/GPI/NDUFA7/HADHB/ATP6V1D/ATP5F1E/NDUFA2/NDUFA8/OAT/ATP5PD/NDUFB4/ATP6V0E1/COX8A/ATP5MG/ECI1/NDUFV2/BDH2/NDUFS7/COX15/TIMM8B/NDUFV1/ACO2/NDUFB3/CYCS/NDUFS6/SLC25A11/NDUFA6/COX5A/UQCRH/NDUFS3/ETFA/MDH2/TIMM50/COX5B/ATP5PB/CYB5A/DECR1/NDUFB1/ATP5F1D/HSD17B10/TIMM13/COX7A2/COX7B/BCKDHA/ATP5F1B/PHB2/ATP5F1A/OPA1/FH/COX10/SDHC/ATP5MF/COX6C/ATP5F1C/SUCLG1/PHYH/SLC25A5/UQCRC2/SLC25A12/NDUFS8/ATP5MC3/TCIRG1/SLC25A6/SLC25A3/LDHB/MDH1/IDH2,1892/5162/4717/7386/2746/4714/516/4711/2110/27089/3030/533/56993/30/6390/51606/3939/527/10063/2821/4701/3032/51382/514/4695/4702/4942/10476/4710/8992/1351/10632/1632/4729/56898/374291/1355/26521/4723/50/4709/54205/4726/8402/4700/9377/7388/4722/2108/4191/92609/1329/515/1528/1666/4707/513/3028/26517/1347/1349/593/506/11331/498/4976/2271/1352/6391/9551/1345/509/8802/5264/292/7385/8604/4728/518/10312/293/5250/3945/4190/3418,MAIT cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,157,-0.449346175230947,-2.12586256543661,1.42364088452441e-08,1.39516806683392e-07,8.39198837193337e-08,2194,"tags=38%, list=19%, signal=31%",RELB/MYC/CCL5/DRAM1/MXD1/JUN/TNFRSF9/ICAM1/SQSTM1/TNIP1/SDC4/BIRC3/FOS/IL15RA/STAT5A/SLC2A3/CCL20/CCND1/DUSP5/B4GALT1/JUNB/NR4A2/HES1/BTG3/RCAN1/CSF1/KLF6/ZFP36/NINJ1/DUSP2/BCL3/CCRL2/LITAF/GEM/FOSL2/NFKB1/NFKB2/NAMPT/CCL4/CD69/CD83/NR4A3/SAT1/MCL1/KDM6B/TRAF1/TANK/REL/ZBTB10/CFLAR/ZC3H12A/TNFAIP3/NFKBIA/BTG2/IRF1/TNIP2/BCL2A1/ATF3/DUSP4/TAP1,5971/4609/6352/55332/4084/3725/3604/3383/8878/10318/6385/330/2353/3601/6776/6515/6364/595/1847/2683/3726/4929/3280/10950/1827/1435/1316/7538/4814/1844/602/9034/9516/2669/2355/4790/4791/10135/6351/969/9308/8013/6303/4170/23135/7185/10010/5966/65986/8837/80149/7128/4792/7832/3659/79155/597/467/1846/6890,MAIT cells,HALLMARK,Monaco_fine
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,58,-0.499585966025428,-2.00660377576711,7.84900321560845e-05,0.000612479595185184,0.000368408779058758,1463,"tags=41%, list=13%, signal=36%",ITGA4/TGFB1/IL10RB/JUN/GRB2/STAM2/HMOX1/IL15RA/CXCL13/CCR1/TYK2/PTPN2/STAT3/CSF1/FAS/IL2RG/BAK1/TNFRSF1B/CD38/IRF1/IL12RB1/IRF9/STAT2/STAT1,3676/7040/3588/3725/2885/10254/3162/3601/10563/1230/7297/5771/6774/1435/355/3561/578/7133/952/3659/3594/10379/6773/6772,MAIT cells,HALLMARK,Monaco_fine
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,161,-0.36640895134774,-1.7365937130563,8.74970850264549e-05,0.000612479595185184,0.000368408779058758,2292,"tags=34%, list=20%, signal=28%",TGFB1/CDKN3/ATRX/MYC/SMC2/DR1/SLC7A5/TNPO2/CHAF1A/PRIM2/CDK4/NASP/CDC7/TPX2/MCM3/MCM5/SMC4/MT2A/CCND1/HMGA1/SLC38A1/CENPE/CENPF/SNRPD1/KNL1/NUSAP1/CDK1/EZH2/UBE2S/BCL3/CDC25B/STIL/TOP1/KPNB1/MCM6/MNAT1/TOP2A/CHEK1/PTTG1/GINS2/CKS2/MKI67/NDC80/WRN/POLA2/KIF20B/KPNA2/BUB1/KIF11/KIF22/E2F3/MAD2L1/TFDP1/JPT1/TACC3,7040/1033/546/4609/10592/1810/8140/30000/10036/5558/1019/4678/8317/22974/4172/4174/10051/4502/595/3159/81539/1062/1063/6632/57082/51203/983/2146/27338/602/994/6491/7150/3837/4175/4331/7153/1111/9232/51659/1164/4288/10403/7486/23649/9585/3838/699/3832/3835/1871/4085/7027/51155/10460,MAIT cells,HALLMARK,Monaco_fine
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,112,-0.365568445001417,-1.66925848278396,0.00110615006762533,0.00602237259040459,0.00362247975362682,2157,"tags=34%, list=19%, signal=28%",MYC/CCL5/MXD1/LYN/TNFRSF9/IRF7/ICAM1/IL2RB/GNA15/SLC11A2/TPBG/IL15RA/EIF2AK2/CCL20/TLR3/RHOG/ATP2A2/CSF1/KLF6/CCRL2/C3AR1/NFKB1/NAMPT/IL15/CD69/P2RX7/RGS1/RTP4/NMI/TNFRSF1B/LY6E/BST2/NFKBIA/BTG2/IRF1/CXCR6/TAPBP/IL10,4609/6352/4084/4067/3604/3665/3383/3560/2769/4891/7162/3601/5610/6364/7098/391/488/1435/1316/9034/719/4790/10135/3600/969/5027/5996/64108/9111/7133/4061/684/4792/7832/3659/10663/6892/3586,MAIT cells,HALLMARK,Monaco_fine
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,129,-0.355453465092393,-1.6449272853754,0.00104923933121459,0.00602237259040459,0.00362247975362682,2833,"tags=38%, list=25%, signal=29%",VDAC2/CASP2/BCL2L1/CDKN1B/CDK2/DDIT3/CASP6/CASP3/XIAP/NEDD9/GCH1/PRF1/SOD1/IFITM3/ERBB3/JUN/DPYD/SQSTM1/GNA15/BIRC3/PLCB2/HMOX1/CCND1/PLAT/BTG3/PMAIP1/CASP1/FAS/CDC25B/PPP2R5B/PDCD4/TOP2A/CD69/LEF1/DNAJC3/SAT1/MCL1/ETF1/CASP8/CFLAR/BRCA1/CASP4/ISG20/BTG2/CD38/IRF1/BCL2L11/ATF3/TAP1,7417/835/598/1027/1017/1649/839/836/331/4739/2643/5551/6647/10410/2065/3725/1806/8878/2769/330/5330/3162/595/5327/10950/5366/834/355/994/5526/27250/7153/969/51176/5611/6303/4170/2107/841/8837/672/837/3669/7832/952/3659/10018/467/6890,MAIT cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,115,-0.348519759456526,-1.60144419859882,0.00294588620095634,0.0144348423846861,0.00868261196071342,2885,"tags=41%, list=25%, signal=31%",RXRB/ATP6V1F/CDK2/SELENOW/CASP3/AMD1/FURIN/STK25/GCH1/POLG2/TFRC/HSPA2/ACAA1/CDKN2B/PLCL1/STARD3/LYN/WIZ/PPP1R2/DGAT1/ICAM1/SQSTM1/FEN1/FOS/HMOX1/CLTB/AP2S1/JUNB/BTG3/PSMC3/RPN1/RAB27A/PDAP1/BAK1/YKT6/TUBA4A/NXF1/HLA-F/ARRB2/NFKBIA/CYB5B/BTG2/IRF1/BCL2L11/UROD/ATF3/TAP1,6257/9296/1017/6415/836/262/5045/10494/2643/11232/7037/3306/30/1030/5334/10948/4067/58525/5504/8694/3383/8878/2237/2353/3162/1212/1175/3726/10950/5702/6184/5873/11333/578/10652/7277/10482/3134/409/4792/80777/7832/3659/10018/7389/467/6890,MAIT cells,HALLMARK,Monaco_fine
