ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,171,-0.686028877222666,-3.28656104048128,1e-10,8e-10,5.43859649122807e-10,1582,"tags=54%, list=15%, signal=47%",SRSF1/PRIM2/TRA2B/POLD3/MSH2/ILF3/WEE1/PTTG1/RAD50/SLBP/TP53/TIMELESS/EED/RAD1/CDKN2C/RANBP1/NASP/NME1/DONSON/MTHFD2/MCM7/MCM3/ANP32E/POLD2/CKS1B/SMC3/CDC25B/DEK/IPO7/CIT/SMC6/RAN/BARD1/LIG1/PLK4/AURKA/BRCA2/UBE2T/MCM2/TACC3/SPC25/CTPS1/HNRNPD/CDKN2A/DDX39A/RRM2/RAD51AP1/CDCA8/CKS2/HELLS/TK1/DIAPH3/POLA2/DNMT1/NCAPD2/DUT/KIF22/TUBB/MAD2L1/TOP2A/UBE2S/RACGAP1/GINS4/BRCA1/ATAD2/PCNA/TMPO/SNRPB/ASF1B/CDKN3/BUB1B/MELK/ORC6/XRCC6/CDK1/CENPE/RPA3/HMGB2/MMS22L/MCM6/MKI67/KPNA2/CHEK1/MCM4/JPT1/DLGAP5/LMNB1/EZH2/HMMR/CENPM/SMC4/STMN1,6426/5558/6434/10714/4436/3609/7465/9232/10111/7884/7157/8914/8726/5810/1031/5902/4678/4830/29980/10797/4176/4172/81611/5425/1163/9126/994/7913/10527/11113/79677/5901/580/3978/10733/6790/675/29089/4171/10460/57405/1503/3184/1029/10212/6241/10635/55143/1164/3070/7083/81624/23649/1786/9918/1854/3835/203068/4085/7153/27338/29127/84296/672/29028/5111/7112/6628/55723/1033/701/9833/23594/2547/983/1062/6119/3148/253714/4175/4288/3838/1111/4173/51155/9787/4001/2146/3161/79019/10051/3925,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,164,-0.661692512865524,-3.13485858413896,1e-10,8e-10,5.43859649122807e-10,1984,"tags=57%, list=19%, signal=47%",TGFB1/ODC1/UCK2/MAP3K20/TENT4A/PRMT5/PML/MCM5/KATNA1/SRSF1/PRIM2/TRA2B/DR1/TOP1/CASP8AP2/KMT5A/ILF3/PTTG1/MT2A/SNRPD1/HIRA/ATF5/SLC38A1/CDKN2C/NASP/WRN/MCM3/EWSR1/CKS1B/CDC25B/DBF4/FBXO5/NUP98/BARD1/UBE2C/RBL1/CHMP1A/PLK4/AURKA/BRCA2/MCM2/TACC3/DTYMK/HNRNPD/DDX39A/SLC7A1/KIF11/HMGN2/CKS2/CDC6/POLQ/CCNA2/POLA2/KNL1/KIF22/TFDP1/STIL/MAD2L1/TOP2A/KIF15/KPNB1/UBE2S/RACGAP1/CHAF1A/TMPO/CDKN3/BCL3/SMC2/NSD2/ORC6/CDK1/CENPE/KIF20B/GINS2/CDC7/MCM6/MKI67/KPNA2/CHEK1/E2F3/JPT1/KIF23/LMNB1/PRC1/EZH2/TPX2/HMMR/CENPF/SMC4/STMN1/BUB1/NDC80/NUSAP1,7040/4953/7371/51776/11044/10419/5371/4174/11104/6426/5558/6434/1810/7150/9994/387893/3609/9232/4502/6632/7290/22809/81539/1031/4678/7486/4172/2130/1163/994/10926/26271/4928/580/11065/5933/5119/10733/6790/675/4171/10460/1841/3184/10212/6541/3832/3151/1164/990/10721/890/23649/57082/3835/7027/6491/4085/7153/56992/3837/27338/29127/10036/7112/1033/602/10592/7468/23594/983/1062/9585/51659/8317/4175/4288/3838/1111/1871/51155/9493/4001/9055/2146/22974/3161/1063/10051/3925/699/10403/51203,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,87,-0.650167271955838,-2.78118704469736,1e-10,8e-10,5.43859649122807e-10,1368,"tags=47%, list=13%, signal=41%",TMEM140/HERC6/NUB1/MOV10/TRAFD1/HELZ2/OASL/IRF7/PLSCR1/B2M/MX1/STAT2/DDX60/ISG20/IFIT2/CSF1/IL15/HLA-C/TRIM5/PSMA3/SAMD9L/LY6E/IFIT3/TRIM25/ISG15/CD74/IRF1/IFI35/EPSTI1/UBE2L6/PSMB8/LAP3/PARP14/GBP2/PSME1/TAP1/PSMB9/IRF9/PARP9/GBP4/PSME2,55281/55008/51667/4343/10906/85441/8638/3665/5359/567/4599/6773/55601/3669/3433/1435/3600/3107/85363/5684/219285/4061/3437/7706/9636/972/3659/3430/94240/9246/5696/51056/54625/2634/5720/6890/5698/10379/83666/115361/5721,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,163,-0.574467320513023,-2.72663352952016,1e-10,8e-10,5.43859649122807e-10,1203,"tags=42%, list=11%, signal=38%",PELI1/IFIH1/RAPGEF6/CMTR1/IRF4/MT2A/HERC6/HLA-B/CASP3/ST8SIA4/HLA-A/MTHFD2/IL18BP/TNFSF10/TRAFD1/HELZ2/NLRC5/RBCK1/OASL/TNFAIP3/IRF7/PLSCR1/GCH1/B2M/MX1/HLA-DQA1/STAT2/NAMPT/DDX60/ISG20/TAPBP/IFIT2/IL15/GPR18/PSMA3/CASP4/SAMD9L/LY6E/IFIT3/APOL6/TRIM25/MVP/PSMA2/ISG15/HLA-DRB1/CD74/IRF1/IFI35/RNF213/EPSTI1/UBE2L6/PSMB8/LAP3/PSMB2/PARP14/PSME1/FAS/TAP1/STAT3/XAF1/PSMB10/PSMB9/IRF9/GBP4/CD38/GZMA/PSME2/STAT1,57162/64135/51735/23070/3662/4502/55008/3106/836/7903/3105/10797/10068/8743/10906/85441/84166/10616/8638/7128/3665/5359/2643/567/4599/3117/6773/10135/55601/3669/6892/3433/3600/2841/5684/837/219285/4061/3437/80830/7706/9961/5683/9636/3123/972/3659/3430/57674/94240/9246/5696/51056/5690/54625/5720/355/6890/6774/54739/5699/5698/10379/115361/952/3001/5721/6772,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,193,-0.511542426782237,-2.48949813373093,1e-10,8e-10,5.43859649122807e-10,2766,"tags=54%, list=26%, signal=41%",SRSF2/EIF4G2/HNRNPU/SMARCC1/ORC2/GSPT1/CDK2/ETF1/HNRNPC/RRP9/PRPS2/LSM2/SSBP1/TXNL4A/SNRPB2/ERH/SNRPD2/SNRPA/IFRD1/CCT2/LSM7/VDAC3/SNRPA1/ODC1/APEX1/CAD/COPS5/CCT5/RPLP0/GOT2/PRDX3/MCM5/CYC1/PGK1/HDDC2/HSPD1/SRSF1/HNRNPA2B1/TRA2B/SRSF3/SF3A1/EIF4H/PSMD8/PPIA/PSMC4/PWP1/DDX21/AIMP2/HNRNPR/SNRPD1/EXOSC7/RANBP1/VDAC1/SRM/HDGF/NME1/PSMD1/STARD7/MCM7/PSMD3/PSMA7/YWHAQ/POLD2/CBX3/SLC25A3/EIF4A1/DEK/RAN/PHB2/PPM1G/PSMD7/HNRNPA3/C1QBP/SRPK1/PSMD14/RRM1/NDUFAB1/MCM2/SET/SNRPG/ILF2/HPRT1/CTPS1/HNRNPD/PSMA1/CANX/CCNA2/PSMA2/UBE2L3/DUT/TFDP1/MAD2L1/KPNB1/PCNA/PSMB3/TYMS/COX5A/PSMA4/XRCC6/PSMB2/MCM6/KPNA2/MCM4/PSMA6/LDHA,6427/1982/3192/6599/4999/2935/1017/2107/3183/9136/5634/57819/6742/10907/6629/2079/6633/6626/3475/10576/51690/7419/6627/4953/328/790/10987/22948/6175/2806/10935/4174/1537/5230/51020/3329/6426/3181/6434/6428/10291/7458/5714/5478/5704/11137/9188/7965/10236/6632/23016/5902/7416/6723/3068/4830/5707/56910/4176/5709/5688/10971/5425/11335/5250/1973/7913/5901/11331/5496/5713/220988/708/6732/10213/6240/4706/4171/6418/6637/3608/3251/1503/3184/5682/821/890/5683/7332/1854/7027/4085/3837/5111/5691/7298/9377/5685/2547/5690/4175/3838/4173/5687/3939,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,-0.497158089715576,-2.42614597569022,1e-10,8e-10,5.43859649122807e-10,2079,"tags=45%, list=20%, signal=37%",CYCS/SDHC/CPT1A/ATP6V0E1/VDAC3/OXA1L/COX11/COX6B1/ATP5PO/GOT2/PRDX3/MDH2/CYC1/NDUFS4/NDUFA8/NDUFC1/PDHB/SUPV3L1/COX17/ATP5PB/CYB5R3/MDH1/CS/UQCR10/NDUFS7/FXN/NDUFA7/GPI/NDUFV2/COX6A1/ATP5F1E/ATP5MF/VDAC1/HSPA9/NDUFB2/BAX/IDH3G/NDUFA2/UQCRC1/NDUFB8/ACAA2/ETFA/SLC25A3/ATP5PD/ATP6V1D/MRPL15/COX8A/TCIRG1/TIMM17A/UQCRFS1/NDUFB4/PHB2/NDUFS8/NDUFA1/FH/NDUFB6/COX7A2/ATP5F1B/TIMM13/COX7B/OGDH/NDUFB3/NDUFB1/ATP6AP1/MRPS15/NDUFAB1/NDUFS6/ATP5PF/COX6C/ATP5F1C/OPA1/OAT/NDUFA6/UQCRC2/SDHA/COX5B/HSD17B10/ATP5MG/GLUD1/NDUFA9/MRPL11/ACAT1/ATP5MC3/SLC25A12/PHYH/LDHB/COX5A/SLC25A5/LDHA/IDH2,54205/6391/1374/8992/7419/5018/1353/1340/539/2806/10935/4191/1537/4724/4702/4717/5162/6832/10063/515/1727/4190/1431/29796/374291/2395/4701/2821/4729/1337/514/9551/7416/3313/4708/581/3421/4695/7384/4714/10449/2108/5250/10476/51382/29088/1351/10312/10440/7386/4710/11331/4728/4694/2271/4712/1347/506/26517/1349/4967/4709/4707/537/64960/4706/4726/522/1345/509/4976/4942/4700/7385/6389/1329/3028/10632/2746/4704/65003/38/518/8604/5264/3945/9377/292/3939/3418,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,179,-0.451192325550395,-2.16941882378278,1.07235680160111e-09,7.3533037824076e-09,4.99895651874201e-09,2164,"tags=40%, list=20%, signal=33%",LDLR/IFRD1/BTG2/CCNF/PRDX1/ACACA/CYB5B/COPS5/TM7SF2/INSIG1/EEF1E1/PGK1/HSPD1/GOT1/ADIPOR2/SLC2A3/ADD3/GLA/NFKBIB/ACLY/ARPC5L/PPIA/GPI/PSMC4/DDIT3/HSPA9/TBK1/MTHFD2/QDPR/TOMM40/SHMT2/PITPNB/ELOVL5/GSR/ATP6V1D/ATP2A2/G6PD/TPI1/TES/PSMD14/UBE2D3/AURKA/NAMPT/MCM2/USO1/TUBA4A/HMBS/HPRT1/PSMD13/ACTR2/DDX39A/PSMA3/CANX/ENO1/RRM2/XBP1/HSP90B1/GAPDH/ACTR3/CORO1A/SLC1A4/PPA1/PSAT1/CTSC/PSMA4/DHFR/SDF2L1/HSPA5/MCM4/CALR/LDHA/BUB1,3949/3475/7832/899/5052/31/80777/10987/7108/3638/9521/5230/3329/2805/79602/6515/120/2717/4793/47/81873/5478/2821/5704/1649/3313/29110/10797/5860/10452/6472/23760/60481/2936/51382/488/2539/7167/26136/10213/7323/6790/10135/4171/8615/7277/3145/3251/5719/10097/10212/5684/821/2023/6241/7494/7184/2597/10096/11151/6509/5464/29968/1075/5685/1719/23753/3309/4173/811/3939/699,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,141,-0.463416721564974,-2.15326431028338,1.22896476151101e-08,7.37378856906608e-08,5.01288257984755e-08,1248,"tags=30%, list=12%, signal=27%",CCR5/APBB1/ST8SIA4/HLA-A/NME1/SRGN/CXCL13/IL10/IRF7/MAP4K1/FLNA/IL2RG/B2M/ZAP70/HLA-DQA1/FYB1/CSK/LCK/CD3G/TAPBP/CSF1/HLA-E/IL15/CDKN2A/HCLS1/GLMN/CTSS/CD74/CD3D/IL12RB1/BRCA1/HLA-DRA/BCL3/UBE2N/GBP2/FAS/TAP1/TAP2/PSMB10/GZMA/GZMB/STAT1,1234/322/7903/3105/4830/5552/10563/3586/3665/11184/2316/3561/567/7535/3117/2533/1445/3932/917/6892/1435/3133/3600/1029/3059/11146/1520/972/915/3594/672/3122/602/7334/2634/355/6890/6891/5699/3001/3002/6772,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,165,-0.422718877765867,-2.00271723416169,1.85738698647689e-07,9.90606392787674e-07,6.73438556500393e-07,1563,"tags=31%, list=15%, signal=27%",RAPGEF6/CKAP5/CEP250/DOCK2/SPTBN1/RHOF/STAU1/CNTRL/PLEKHG2/RANBP9/MARK4/SUN2/KNTC1/ARHGDIA/ATG4B/CEP57/SMC3/RICTOR/EZR/FBXO5/NET1/CD2AP/FLNA/PIF1/ECT2/BIN1/AURKA/BRCA2/TUBA4A/CLIP1/KIF11/MAPRE1/KIF22/TOP2A/KIF15/RACGAP1/CDK1/CENPE/KIF20B/CAPZB/DLGAP5/KIF23/LMNB1/PRC1/TPX2/CENPF/SMC4/BCL2L11/BUB1/NDC80/NUSAP1,51735/9793/11190/1794/6711/54509/6780/11064/64857/10048/57787/25777/9735/396/23192/9702/9126/253260/7430/26271/10276/23607/2316/80119/1894/274/6790/675/7277/6249/3832/22919/3835/7153/56992/29127/983/1062/9585/832/9787/9493/4001/9055/22974/1063/10051/10018/699/10403/51203,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,91,-0.455102536676094,-1.96968210247624,1.46774733699155e-05,7.04518721755943e-05,4.78949131018294e-05,1364,"tags=27%, list=13%, signal=24%",NFKBIB/GRB2/DDIT3/TBK1/ARF1/PIN1/ARHGDIA/RPS6KA1/ECSIT/IL2RG/UBE2D3/LCK/STAT2/CSNK2B/ACTR2/PRKAG1/HSP90B1/ACTR3/CFL1/UBE2N/ARPC3/CDK1/PFN1/PPP1CA/CALR,4793/2885/1649/29110/375/5300/396/6195/51295/3561/7323/3932/6773/1460/10097/5571/7184/10096/1072/7334/10094/983/5216/5499/811,Non-Vd2 gd T cells,HALLMARK,Monaco_fine
