ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,144,-0.485515782524385,-2.22440092604206,9.59622756563522e-10,4.60618923150491e-08,4.34355563497173e-08,1496,"tags=36%, list=15%, signal=31%",GBP4/LGALS3BP/TXNIP/MVP/PARP14/RNF31/SOD2/MX1/SPPL2A/OAS2/HLA-DMA/ADAR/JAK2/TRIM21/XAF1/PNPT1/ICAM1/ITGB7/KLRK1/EPSTI1/IRF2/NMI/TNFAIP3/SP110/IFI30/IRF9/TNFAIP2/IL15RA/SAMHD1/TAPBP/ZBP1/SOCS3/RTP4/RNF213/PSME2/PIM1/IRF7/STAT3/HLA-DQA1/NLRC5/PSMB9/UBE2L6/IL15/PSMB10/LAP3/EIF2AK2/PSMB8/TAP1/SAMD9L/APOL6/IFI35/STAT1,115361/3959/10628/9961/54625/55072/6648/4599/84888/4939/3108/103/3717/6737/54739/87178/3383/3695/22914/94240/3660/9111/7128/3431/10437/10379/7127/3601/25939/6892/81030/9021/64108/57674/5721/5292/3665/6774/3117/84166/5698/9246/3600/5699/51056/5610/5696/6890/219285/80830/3430/6772,Plasmablasts,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,70,-0.583811736833195,-2.4150076969368,1.01603974397946e-08,2.4384953855507e-07,2.29945836795351e-07,1496,"tags=43%, list=15%, signal=37%",GBP4/LGALS3BP/TXNIP/PARP14/RNF31/MX1/ADAR/GBP2/TRIM21/PNPT1/EPSTI1/IRF2/CNP/NMI/SP110/IFI30/IRF9/RTP4/PSME2/IRF7/PSMB9/UBE2L6/PARP9/IL15/LAP3/EIF2AK2/PSMB8/TAP1/SAMD9L/IFI35,115361/3959/10628/54625/55072/4599/103/2634/6737/87178/94240/3660/1267/9111/3431/10437/10379/64108/5721/3665/5698/9246/83666/3600/51056/5610/5696/6890/219285/3430,Plasmablasts,HALLMARK,Monaco_fine
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,40,-0.467721992310691,-1.73233021222042,0.00297605448235919,0.0285701230306482,0.0269411247876727,1091,"tags=28%, list=11%, signal=25%",MAP3K8/BAK1/PTPN11/IRF9/IL15RA/SOCS3/PIM1/STAT3/IL12RB1/PIK3R5/STAT1,1326/578/5781/10379/3601/9021/5292/6774/3594/23533/6772,Plasmablasts,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,122,-0.349394525911262,-1.57668497302913,0.0029185003264386,0.0285701230306482,0.0269411247876727,359,"tags=19%, list=4%, signal=18%",HLA-DMA/SPI1/GBP2/JAK2/ICAM1/CD7/CD247/NME1/TAPBP/MRPL3/IRF7/HLA-DQA1/IL12RB1/EIF4G3/CXCR3/CD3G/CCND2/CD8A/IL15/PSMB10/TAP2/TAP1/STAT1,3108/6688/2634/3717/3383/924/919/4830/6892/11222/3665/3117/3594/8672/2833/917/894/925/3600/5699/6891/6890/6772,Plasmablasts,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,197,-0.313560105330827,-1.51771478376728,0.00208710898306831,0.0285701230306482,0.0269411247876727,3029,"tags=41%, list=31%, signal=29%",COX7B/MRPL11/IMMT/ACAA2/SLC25A11/POLR2F/RHOT1/NDUFS7/COX7A2/CYCS/ATP5PF/PHYH/PDHA1/ATP1B1/ATP5PD/NDUFC1/IDH3G/ACAT1/LDHA/ACADM/NDUFS4/MDH2/MRPS11/ATP5F1E/ECH1/PDK4/ATP5MF/ATP5PO/ATP5F1B/SUPV3L1/ECI1/NDUFS6/SUCLG1/SDHC/ACAA1/UQCRC2/MRPL34/NDUFB8/GPI/NDUFB7/GLUD1/TOMM70/DECR1/SDHA/NDUFV2/MRPS30/ATP6V1F/GOT2/LDHB/ABCB7/SLC25A12/NDUFB2/PRDX3/ATP5MC1/MRPL35/SDHB/HSD17B10/MRPS15/NDUFA9/NDUFA3/NDUFB1/NDUFA5/ATP6V1E1/OGDH/MRPL15/AIFM1/ECHS1/DLAT/HADHB/NDUFS3/TCIRG1/MTRF1/TIMM8B/CS/NDUFS1/MTRR/IDH2/SUCLA2/PDHB/IDH3A,1349/65003/10989/10449/8402/5435/55288/374291/1347/54205/522/5264/5160/481/10476/4717/3421/38/3939/34/4724/4191/64963/514/1891/5166/9551/539/506/6832/1632/4726/8802/6391/30/7385/64981/4714/2821/4713/2746/9868/1666/6389/4729/10884/9296/2806/3945/22/8604/4708/10935/516/51318/6390/3028/64960/4704/4696/4707/4698/529/4967/29088/9131/1892/1737/3032/4722/10312/9617/26521/1431/4719/4552/3418/8803/5162/3419,Plasmablasts,HALLMARK,Monaco_fine
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,122,-0.291659450347057,-1.31614847543699,0.0569633833304688,0.390606057123215,0.368334659129347,2865,"tags=40%, list=30%, signal=29%",UROD/PDHA1/NTHL1/ACSL4/IDH3G/LDHA/ACADM/CPT2/NBN/MDH2/ECH1/ACSS1/ECI1/SUCLG1/IDI1/SDHC/CRAT/ACAA1/AUH/RDH11/OSTC/DECR1/ACAT2/SDHA/ALDH3A2/GCDH/NCAPH2/ELOVL5/UGDH/PTS/EHHADH/ACOX1/ACOT8/MCEE/BCKDHB/HSD17B10/ADSL/MGLL/BLVRA/HMGCS2/ECHS1/HADHB/UROS/ECI2/SUCLA2/ADIPOR2/PDHB/RAP1GDS1/UBE2L6,7389/5160/4913/2182/3421/3939/34/1376/4683/4191/1891/84532/1632/8802/3422/6391/1384/30/549/51109/58505/1666/39/6389/224/2639/29781/60481/7358/5805/1962/51/10005/84693/594/3028/158/11343/644/3158/1892/3032/7390/10455/8803/79602/5162/5910/9246,Plasmablasts,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,129,0.291792541165424,1.31185035545765,0.050880626223092,0.390606057123215,0.368334659129347,1254,"tags=19%, list=13%, signal=17%",MYC/BTG2/IL23A/DNAJB4/NFIL3/CD44/PER1/NR4A3/EGR3/PHLDA1/PLEK/TNIP2/CD83/PDLIM5/KLF9/NAMPT/MAP2K3/IER2/LITAF/NR4A2/RIPK2/JUN/CCL4/TIPARP/RELA,4609/7832/51561/11080/4783/960/5187/8013/1960/22822/5341/79155/9308/10611/687/10135/5606/9592/9516/4929/8767/3725/6351/25976/5970,Plasmablasts,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,47,-0.360368369426422,-1.37290139159957,0.065843621399177,0.395061728395062,0.372536278969028,3110,"tags=55%, list=32%, signal=38%",WDR43/NDUFAF4/NOC4L/MYBBP1A/TMEM97/DDX18/DCTPP1/IMP4/NOLC1/MRTO4/NPM1/CDK4/SUPV3L1/GRWD1/WDR74/PUS1/PRMT3/MPHOSPH10/UTP20/PES1/SRM/TCOF1/NOP16/AIMP2/FARSA/RABEPK,23160/29078/79050/10514/27346/8886/79077/92856/9221/51154/4869/1019/6832/83743/54663/80324/10196/10199/27340/23481/6723/6949/51491/7965/2193/10244,Plasmablasts,HALLMARK,Monaco_fine
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,76,0.296993953318702,1.22665866686286,0.140039447731755,0.555288461538462,0.523627277327935,2622,"tags=37%, list=27%, signal=27%",UBE2J1/TPD52/APPBP2/HPGD/PDLIM5/MAP7/STK39/UBE2I/ELK4/GSR/CDC14B/MAK/CCND3/MYL12A/HOMER2/ARID5B/GPD1L/GNAI3/TNFAIP8/ELL2/ANKH/KRT8/ACSL3/LMAN1/B2M/PIAS1/NDRG1/SRF,51465/7163/10513/3248/10611/9053/27347/7329/2005/2936/8555/4117/896/10627/9455/84159/23171/2773/25816/22936/56172/3856/2181/3998/567/8554/10397/6722,Plasmablasts,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,85,0.289128127246641,1.22065631622651,0.12810707456979,0.555288461538462,0.523627277327935,2610,"tags=36%, list=27%, signal=27%",IGF1R/ATXN1/MYC/PRDM2/FYN/IRS1/MIOS/PDLIM5/APBB2/CELF2/SLC7A1/ATP2C1/SMAD7/DYRK1A/BMPR1A/MAP2K5/MTA1/ATRX/AKT3/SIPA1L1/PRKCA/NEK7/SPOP/ADD3/WDR37/MT1E/LAMC1/MAPK14/CDC42BPA/ID1/SRI,3480/6310/4609/7799/2534/3667/54468/10611/323/10659/6541/27032/4092/1859/657/5607/9112/546/10000/26037/5578/140609/8405/120/22884/4493/3915/1432/8476/3397/6717,Plasmablasts,HALLMARK,Monaco_fine
