ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,27,-0.55625434462874,-1.82673681757251,0.00141115778754146,0.0352789446885365,0.0282231557508292,169,"tags=56%, list=24%, signal=44%",PTPN1/IRF4/IRF8/SLAMF7/PELI1/IRF1/HLA-DRB1/TXNIP/P2RY14/IRF7/SAMHD1/HLA-A/B2M/CD74/HLA-B,5770/3662/3394/57823/57162/3659/3123/10628/9934/3665/25939/3105/567/972/3106,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,10,-0.679993912262519,-1.71601698727654,0.00957626064093641,0.0910378496520661,0.0728302797216529,95,"tags=70%, list=14%, signal=61%",IRF1/TXNIP/HLA-C/IRF7/B2M/SELL/CD74,3659/10628/3107/3665/567/6402/972,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,14,-0.582156029715078,-1.63004419295661,0.0121607769258717,0.0910378496520661,0.0728302797216529,126,"tags=50%, list=18%, signal=42%",CYBB/IRF1/GPR183/RGS1/BTG2/IRF7/SELL,1536/3659/1880/5996/7832/3665/6402,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,26,-0.491989543535661,-1.60790130005214,0.0145660559443306,0.0910378496520661,0.0728302797216529,285,"tags=77%, list=41%, signal=47%",LTB/HDAC9/LYN/RPS9/RPL9/PTPRC/GZMB/IRF4/IRF8/SRGN/RPL39/RPS19/CTSS/RPS3A/HLA-E/HLA-DRA/IRF7/HLA-A/B2M/CD74,4050/9734/4067/6203/6133/5788/3002/3662/3394/5552/6170/6223/1520/6189/3133/3122/3665/3105/567/972,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,23,-0.511846941441796,-1.6190525348617,0.0219783089399675,0.109891544699837,0.0879132357598698,106,"tags=35%, list=15%, signal=31%",DUSP1/CXCR4/ZFP36/HSPA5/PPP1R15A/ATF3/FOS/NR3C1,1843/7852/7538/3309/23645/467/2353/2908,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,33,-0.439576141376916,-1.51844791585006,0.0365408038976857,0.152253349573691,0.121802679658952,106,"tags=30%, list=15%, signal=27%",DUSP1/IRF1/GPR183/BTG2/ZFP36/AREG/NR4A3/PPP1R15A/ATF3/FOS,1843/3659/1880/7832/7538/374/8013/23645/467/2353,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,18,-0.472776256826887,-1.40452448477593,0.0891891891891892,0.318532818532819,0.254826254826255,238,"tags=72%, list=34%, signal=49%",DUSP5/LYN/PLEK/GRB2/FCER1G/GZMB/ZEB1/HSPA1A/CTSS/IRF1/HSPA5/IRF7/PFN1,1847/4067/5341/2885/2207/3002/6935/3303/1520/3659/3309/3665/5216,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,20,-0.436754639316659,-1.32988736091963,0.113333333333333,0.354166666666667,0.283333333333333,72,"tags=30%, list=10%, signal=28%",TXNIP/BTG2/PPP1R15A/HINT1/ATF3/FOS,10628/7832/23645/3094/467/2353,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,13,-0.455332785934648,-1.2415991055529,0.187760778859527,0.469401947148818,0.375521557719054,294,"tags=77%, list=42%, signal=46%",LAPTM5/HDAC9/LCP1/FCER1G/PRDM1/IRF8/CTSS/CXCR4/RABGAP1L/PPP1R15A,7805/9734/3936/2207/639/3394/1520/7852/9910/23645,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,22,0.306001751038984,1.22247814461293,0.186721991701245,0.469401947148818,0.375521557719054,103,"tags=36%, list=15%, signal=32%",DDIT4/RAB1A/IFRD1/SQSTM1/UBE2D3/HSPD1/XBP1/HSPE1,54541/5861/3475/8878/7323/3329/7494/3336,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,12,-0.460038508808917,-1.22565431452916,0.220362622036262,0.500824140991505,0.400659312793204,63,"tags=25%, list=9%, signal=23%",BTG2/YPEL5/NR3C1,7832/51646/2908,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,13,-0.41322452047796,-1.1267785032541,0.315716272600835,0.657742234585072,0.526193787668058,57,"tags=23%, list=8%, signal=22%",ZFP36/AREG/FOS,7538/374/2353,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,17,-0.364364112754353,-1.069342023512,0.389115646258503,0.719144800777454,0.575315840621963,95,"tags=29%, list=14%, signal=26%",TMBIM6/IRF1/BTG2/ATF3/FOS,7009/3659/7832/467/2353,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,15,-0.369947245746972,-1.05224993427949,0.402721088435374,0.719144800777454,0.575315840621963,234,"tags=47%, list=33%, signal=32%",ARPC3/GRB2/VAV3/CXCR4/ARF1/CFL1/PFN1,10094/2885/10451/7852/375/1072/5216,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,15,0.288321141245297,0.991641822792903,0.456928838951311,0.760605006954103,0.608484005563282,141,"tags=40%, list=20%, signal=33%",SLC38A2/ARID5B/PTK2B/PIAS1/UBE2J1/TPD52,54407/84159/2185/8554/51465/7163,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,10,-0.392158268325755,-0.989641580626605,0.486787204450626,0.760605006954103,0.608484005563282,111,"tags=50%, list=16%, signal=43%",SYK/PTPRC/ARPC2/PFN1/ACTB,6850/5788/10109/5216/60,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,10,-0.357868951185586,-0.903109849042621,0.600834492350487,0.874719543993694,0.699775635194955,62,"tags=30%, list=9%, signal=28%",AP3B1/ARF1/ATP1A1,8546/375/476,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,20,-0.286918497384785,-0.873646777703554,0.638666666666667,0.874719543993694,0.699775635194955,84,"tags=30%, list=12%, signal=27%",IRF4/IRF8/RABGAP1L/ALCAM/SELL/SNX9,3662/3394/9910/214/6402/51429,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,10,-0.334011390135133,-0.84290345704516,0.680111265646732,0.874719543993694,0.699775635194955,177,"tags=60%, list=25%, signal=45%",DLG1/CCDC88A/PCM1/DOCK2/KIF5B/CD2AP,1739/55704/5108/1794/3799/23607,Plasmacytoid dendritic cells,HALLMARK,Monaco_fine
