ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,30,-0.558271517872617,-1.89859806959567,0.000840273187621436,0.0218471028781573,0.019458958029128,95,"tags=43%, list=15%, signal=39%",JUN/JUNB/CD69/SQSTM1/CCNL1/IER5/AREG/KLF6/FOSB/BTG2/TNFAIP3/EGR1/NR4A2,3725/3726/969/8878/57018/51278/374/1316/2354/7832/7128/1958/4929,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,22,-0.539805014571792,-1.69856735975786,0.00805356372261214,0.0697975522626385,0.0621678603149007,120,"tags=45%, list=19%, signal=38%",PTPRC/B2M/HDAC9/NPM1/STAT1/HLA-A/HLA-E/SRGN/CD74/HLA-DRA,5788/567/9734/4869/6772/3105/3133/5552/972/3122,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,16,0.599290935276963,1.69280907762515,0.0069659589642689,0.0697975522626385,0.0621678603149007,31,"tags=31%, list=5%, signal=31%",PRKCE/AKT3/NR3C1/KIT/SIPA1L1,5581/10000/2908/3815/26037,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,18,-0.530449414383039,-1.58234433097052,0.0307172070238797,0.199661845655218,0.177836461717198,75,"tags=39%, list=12%, signal=35%",B2M/CD69/STAT1/HLA-A/HLA-B/CD74/TNFAIP3,567/969/6772/3105/3106/972/7128,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,12,0.561792955761725,1.45851108905919,0.0718446601941748,0.373592233009709,0.332754215636178,204,"tags=58%, list=32%, signal=41%",COX5B/COX7C/SLC25A6/ATP5F1E/ATP5MG/COX4I1/SLC25A3,1329/1350/293/514/10632/1327/5250,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,11,0.523996351437631,1.33355696422982,0.13472485768501,0.583807716635041,0.519990678784247,52,"tags=36%, list=8%, signal=34%",NRIP1/SVIL/FKBP5/CD44,8204/6840/2289/960,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,16,-0.448904871953067,-1.285553773241,0.181818181818182,0.590909090909091,0.526315789473684,82,"tags=50%, list=13%, signal=45%",NR4A1/CCND3/HNRNPU/JUNB/SQSTM1/EIF5/FOSB/BTG2,3164/896/3192/3726/8878/1983/2354/7832,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,14,0.461386386275841,1.26626267128844,0.174812030075188,0.590909090909091,0.526315789473684,78,"tags=36%, list=12%, signal=32%",NRIP1/ID2/FKBP5/CD44/CD9,8204/3398/2289/960/928,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,18,0.412970530591253,1.21030321357883,0.212406015037594,0.613617376775272,0.546541793079189,81,"tags=28%, list=13%, signal=25%",HSPB1/LGALS3/CD38/CD44/DPYD,3315/3958/952/960/1806,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,18,-0.398031965969476,-1.18733965543047,0.253191489361702,0.645788336933045,0.575196089575992,118,"tags=39%, list=18%, signal=33%",HSPA5/ELOVL5/CANX/HSP90B1/SQSTM1/BTG2/CXCR4,3309/60481/821/7184/8878/7832/7852,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,13,-0.426713159632129,-1.14961969266021,0.294623655913979,0.645788336933045,0.575196089575992,150,"tags=46%, list=23%, signal=36%",PLCB1/PRKCB/VAV3/HSP90B1/SQSTM1/CXCR4,23236/5579/10451/7184/8878/7852,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,20,-0.372844047661748,-1.1303479349578,0.298056155507559,0.645788336933045,0.575196089575992,39,"tags=30%, list=6%, signal=29%",HSPA5/JUN/KLF6/WSB1/CXCR4/TNFAIP3,3309/3725/1316/26118/7852/7128,Progenitor cells,HALLMARK,Monaco_fine
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,10,0.440778100351522,1.08179663464501,0.367112810707457,0.701672044587856,0.624971051859629,82,"tags=40%, list=13%, signal=35%",NR3C1/CAST/BMP2K/TFDP2,2908/831/55589/7029,Progenitor cells,HALLMARK,Monaco_fine
