ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,127,0.410964066307148,1.88591556485351,1.09866092640228e-05,0.000527357244673092,0.00043946437056091,1566,"tags=37%, list=19%, signal=30%",KLF10/FOS/MYC/DUSP1/PPP1R15A/EGR3/KLF2/EIF1/PNRC1/BTG2/BTG1/PLK2/PLPP3/SGK1/CD80/NFKBIA/KYNU/TNIP2/NR4A1/TNF/NFE2L2/JUN/CD83/RHOB/IER2/SLC2A6/CCL4/ZFP36/EGR1/SNN/TNFSF9/FOSB/ZBTB10/SAT1/JUNB/YRDC/NR4A2/CEBPB/CD69/KLF6/CDKN1A/MCL1/IFNGR2/TSC22D1/TNFAIP3/TNIP1/ZC3H12A,7071/2353/4609/1843/23645/1960/10365/10209/10957/7832/694/10769/8613/6446/941/4792/8942/79155/3164/7124/4780/3725/9308/388/9592/11182/6351/7538/1958/8303/8744/2354/65986/6303/3726/79693/4929/1051/969/1316/1026/4170/3460/8848/7128/10318/80149,Switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,181,0.365544449498312,1.76584039371703,2.57070606116552e-05,0.000616969454679725,0.000514141212233105,1182,"tags=25%, list=14%, signal=22%",HSP90AB1/HNRNPA2B1/RPL6/RPS6/RPL34/RPS2/RACK1/HDGF/MYC/RPL18/EEF1B2/RPL22/RPLP0/RPS3/RPS10/MCM7/RPL14/PPIA/NAP1L1/HDAC2/RPS5/SMARCC1/PABPC1/RSL1D1/HNRNPA3/TCP1/EIF3D/PCBP1/UBA2/SRSF2/G3BP1/SRSF7/SYNCRIP/PTGES3/USP1/HNRNPA1/SERBP1/HNRNPC/SF3A1/TRA2B/CCT4/GLO1/ACP1/NPM1/PABPC4,3326/3181/6128/6194/6164/6187/10399/3068/4609/6141/1933/6146/6175/6188/6204/4176/9045/5478/4673/3066/6193/6599/26986/26156/220988/6950/8664/5093/10054/6427/10146/6432/10492/10728/7398/3178/26135/3183/10291/6434/10575/2739/52/4869/8761,Switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,194,-0.326024237620517,-1.62955618776186,0.000209157144765207,0.00334651431624331,0.00278876193020276,2129,"tags=38%, list=26%, signal=29%",ETFB/DECR1/IDH3B/COX7B/ATP5PF/COX6B1/UQCR11/SDHB/ATP6V1C1/BDH2/NDUFB7/NDUFA9/NDUFA6/BAX/CASP7/TOMM70/NDUFB5/HADHA/NDUFA1/UQCRQ/NDUFS4/ATP6V0B/CYC1/ECI1/COX6C/COX10/HSPA9/UQCRFS1/NDUFA5/TIMM9/TIMM13/OPA1/CYB5A/UQCRC1/NDUFS7/SDHC/MRPL35/ATP5PB/SLC25A12/ACAT1/COX7A2/IDH2/SUCLA2/ECHS1/SURF1/ATP6V1F/NDUFB2/ACO2/DLST/IDH3A/MRPS11/NDUFA3/ACAA2/SUCLG1/NDUFS6/NDUFV1/ATP6AP1/PRDX3/NDUFB3/ATP6V1E1/MTX2/BCKDHA/TCIRG1/NDUFS8/MRPL15/HSD17B10/SLC25A11/NDUFC1/GOT2/ECH1/AIFM1/SLC25A20/ACADSB,2109/1666/3420/1349/522/1340/10975/6390/528/56898/4713/4704/4700/581/840/9868/4711/3030/4694/27089/4724/533/1537/1632/1345/1352/3313/7386/4698/26520/26517/4976/1528/7384/374291/6391/51318/515/8604/38/1347/3418/8803/1892/6834/9296/4708/50/1743/3419/64963/4696/10449/8802/4726/4723/537/10935/4709/529/10651/593/10312/4728/29088/3028/8402/4717/2806/1891/9131/788/36,Switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,125,-0.353558024828291,-1.66963852862884,0.000722150521948271,0.00866580626337926,0.00722150521948271,2129,"tags=39%, list=26%, signal=30%",ETFB/DECR1/COX7B/UQCR11/BCL6/GPAT4/UCP2/SDHB/G3BP2/NDUFB7/RMDN3/SCP2/SULT1A1/UQCRQ/DNAJC15/TALDO1/CYC1/SQOR/NDUFA5/SLC25A1/PEX14/GPHN/UQCRC1/SDHC/MTCH2/NMT1/RNF11/ECHS1/REEP5/CHUK/ELMOD3/ALDH2/ACO2/MAP4K3/IDH3A/SAMM50/ARAF/BCL2L13/ACAA2/SUCLG1/ESRRA/PRDX3/BCKDHA/TANK/MRPL15/ECH1/COQ9/AIFM1/DBT,2109/1666/1349/10975/604/137964/7351/6390/9908/4713/55177/6342/6817/27089/29103/6888/1537/58472/4698/6576/5195/10243/7384/6391/23788/4836/26994/1892/7905/1147/84173/217/50/8491/3419/25813/369/23786/10449/8802/2101/10935/593/10010/29088/1891/57017/9131/1629,Switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,105,0.357885927242739,1.59167594694071,0.00221186350105117,0.0204169298274553,0.0170141081895461,2134,"tags=38%, list=26%, signal=29%",FOS/DUSP1/PPP1R15A/PNRC1/BTG1/DDIT3/SLC2A1/MXI1/TPD52/PIM1/JUN/WSB1/SIAH2/ZFP36/PLAC8/ANKZF1/TES/NEDD4L/ERO1A/ZNF292/RRAGD/GCNT2/KLF6/CDKN1A/BCL2/KDM3A/TNFAIP3/S100A4/HK1/NR3C1/IER3/BHLHE40/PGK1/AMPD3/CXCR4/MIF/NOCT/CASP6/GAPDH/TPI1,2353/1843/23645/10957/694/1649/6513/4601/7163/5292/3725/26118/6478/7538/51316/55139/26136/23327/30001/23036/58528/2651/1316/1026/596/55818/7128/6275/3098/2908/8870/8553/5230/272/7852/4282/25819/839/2597/7167,Switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,122,0.344551888726432,1.5736079353951,0.00255211622843191,0.0204169298274553,0.0170141081895461,1779,"tags=30%, list=21%, signal=24%",HSPA8/MYC/KATNA1/CASP8AP2/FOXN3/LIG3/SFPQ/SMARCC1/LMNB1/RPA2/CHMP1A/LBR/SRSF2/TOP1/G3BP1/CKS1B/KIF5B/SYNCRIP/STAG1/NASP/SMC2/TRA2B/ILF3/YTHDC1/HMGN2/HNRNPD/SLC12A2/TNPO2/TLE3/RBL1/RPS6KA5/NCL/MTF2/ODC1/CUL4A/NOTCH2/CUL5,3312/4609/11104/9994/1112/3980/6421/6599/4001/6118/5119/3930/6427/7150/10146/1163/3799/10492/10274/4678/10592/6434/3609/91746/3151/3184/6558/30000/7090/5933/9252/4691/22823/4953/8451/4853/8065,Switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,116,0.30800289083804,1.39508872418462,0.0221493146629,0.144896393251444,0.120746994376203,1131,"tags=24%, list=14%, signal=21%",RPS19/RPS3A/RPS9/IL16/RPL39/CD74/RPL9/HLA-DRA/B2M/HLA-DQA1/CD80/PRKCB/CTSS/TPD52/TNF/JAK2/IKBKB/TLR6/EIF3D/UBE2D1/PTPRC/CCL4/TLR1/HLA-E/IL7/FCGR2B/CD79A/NPM1,6223/6189/6203/3603/6170/972/6133/3122/567/3117/941/5579/1520/7163/7124/3717/3551/10333/8664/7321/5788/6351/7096/3133/3574/2213/973/4869,Switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,126,0.304570608363234,1.39200777880873,0.026828827533193,0.144896393251444,0.120746994376203,1793,"tags=35%, list=22%, signal=28%",FOS/RPS12/RACK1/RPL18/SERTAD3/PPP1R15A/TRAF4/BTG2/BTG1/DDIT3/PLK2/HEXIM1/CGRRF1/CDKN2AIP/ZFP36L1/RPL36/JUN/ISCU/TPRKB/TXNIP/SLC3A2/POLH/TNFSF9/FBXW7/SAT1/HINT1/S100A10/SLC35D1/RALGDS/CDKN1A/APP/CCP110/TSC22D1/RGS16/CCNG1/FAS/TOB1/S100A4/PERP/NOL8/LDHB/UPP1/IER3/MDM2,2353/6206/10399/6141/29946/23645/9618/7832/694/1649/10769/10614/10668/55602/677/25873/3725/23479/51002/10628/6520/5429/8744/55294/6303/3094/6281/23169/5900/1026/351/9738/8848/6004/900/355/10140/6275/64065/55035/3945/7378/8870/4193,Switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,127,0.289940156196925,1.33053641005968,0.0271680737346457,0.144896393251444,0.120746994376203,2554,"tags=43%, list=31%, signal=30%",MYC/ING3/MCM7/NAP1L1/SNRPB/IPO7/RPA3/LMNB1/RPA2/CSE1L/LBR/SRSF2/LYAR/CKS1B/SYNCRIP/UBR7/STAG1/HELLS/ZW10/USP1/NASP/TRA2B/ILF3/RBBP7/CDKN1A/HNRNPD/CCP110/RAN/ATAD2/BRMS1L/LUC7L3/NOP56/HMGB2/EED/SRSF1/UNG/DCK/POLE4/RPA1/NUP205/PNN/UBE2S/PCNA/MTHFD2/RAD21/PAICS/STMN1/TP53/KIF22/RANBP1/ANP32E/TACC3/CTPS1/WEE1,4609/54556/4176/4673/6628/10527/6119/4001/6118/1434/3930/6427/55646/1163/10492/55148/10274/3070/9183/7398/4678/6434/3609/5931/1026/3184/9738/5901/29028/84312/51747/10528/3148/8726/6426/7374/1633/56655/6117/23165/5411/27338/5111/10797/5885/10606/3925/7157/3835/5902/81611/10460/1503/7465,Switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_COAGULATION,HALLMARK_COAGULATION,34,-0.400093207997692,-1.47446193946986,0.0508618069739795,0.203447227895918,0.169539356579932,1949,"tags=38%, list=24%, signal=29%",CD9/TIMP1/LTA4H/CTSB/WDR1/FYN/APOA1/GNB2/MSRB2/CPQ/PECAM1/APOC3/ANXA1,928/7076/4048/1508/9948/2534/335/2783/22921/10404/5175/345/301,Switched memory B cells,HALLMARK,Monaco_fine
