ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,84,-0.621090331008792,-2.63623721772637,1e-10,4.5e-09,3.89473684210526e-09,620,"tags=50%, list=19%, signal=42%",HLA-B/MT2A/JAK2/FAS/IFNAR2/NAMPT/EIF4E3/B2M/GPR18/SLAMF7/CCL5/SPPL2A/IL10RA/ARID5B/NLRC5/IRF1/TRIM14/SAMD9L/HLA-A/PSMA2/CASP4/PARP14/PSMB8/PSME2/PSME1/PELI1/VAMP8/UBE2L6/RAPGEF6/IRF9/TAPBP/HLA-DRB1/XAF1/TAP1/GBP4/PSMB9/RNF213/PSMB10/EPSTI1/GZMA/CD74/STAT1,3106/4502/3717/355/3455/10135/317649/567/2841/57823/6352/84888/3587/84159/84166/3659/9830/219285/3105/5683/837/54625/5696/5721/5720/57162/8673/9246/51735/10379/6892/3123/54739/6890/115361/5698/57674/5699/94240/3001/972/6772,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,36,-0.682238306653478,-2.42255964084154,3.82597527345692e-08,8.60844436527806e-07,7.45058342725821e-07,328,"tags=44%, list=10%, signal=40%",IRF1/TRIM14/SAMD9L/GBP2/PARP14/PSMB8/PSME2/PSME1/UBE2L6/HLA-C/IRF9/TAP1/GBP4/PSMB9/EPSTI1/CD74,3659/9830/219285/2634/54625/5696/5721/5720/9246/3107/10379/6890/115361/5698/94240/972,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,87,-0.506882189811119,-2.16962063546824,9.16703576801431e-07,1.37505536520215e-05,1.19010639795274e-05,610,"tags=40%, list=19%, signal=34%",CD8B/CXCL13/LCK/JAK2/FAS/IFNAR2/GLMN/IFNG/B2M/HLA-E/CCL5/PRKCB/ITGAL/CD3D/HLA-A/TAP2/PTPRC/GZMB/FYB1/GBP2/WAS/NCK1/ZAP70/EIF4G3/CD3G/FASLG/CD3E/TAPBP/CSK/HLA-DRA/TAP1/PSMB10/GZMA/CD74/STAT1,926/10563/3932/3717/355/3455/11146/3458/567/3133/6352/5579/3683/915/3105/6891/5788/3002/2533/2634/7454/4690/7535/8672/917/356/916/6892/1445/3122/6890/5699/3001/972/6772,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,39,-0.59491542054239,-2.17108219299004,2.21134782793251e-05,0.000248776630642407,0.000215315446403954,434,"tags=41%, list=13%, signal=36%",MYL12B/RHOF/EVL/PTPRC/DLG1/ZYX/FYB1/AKT3/CAP1/B4GALT1/ACTG1/ARPC2/PFN1/ACTB/RAC2/CNN2,103910/54509/51466/5788/1739/7791/2533/10000/10487/2683/71/10109/5216/60/5880/1265,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,84,-0.399730256850506,-1.69666750156783,0.00135989497223655,0.012239054750129,0.0105928660995268,659,"tags=35%, list=20%, signal=28%",OGDH/NDUFAB1/NDUFC2/COX4I1/LDHA/ATP6V0E1/ATP6V0C/SDHD/COX8A/ATP5F1E/PHB2/NDUFS6/MDH1/NDUFV2/MPC1/VDAC3/GPI/ATP5PB/ATP5MF/ATP5F1C/COX6C/COX5B/COX5A/HADHA/LDHB/ATP5F1A/MDH2/UQCR10/IDH2,4967/4706/4718/1327/3939/8992/527/6392/1351/514/11331/4726/4190/4729/51660/7419/2821/515/9551/509/1345/1329/9377/3030/3945/498/4191/29796/3418,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,55,-0.41553596358,-1.6201688925273,0.00562607364298702,0.0421955523224027,0.0365201271562315,787,"tags=38%, list=24%, signal=30%",APOBEC3G/ZEB1/CTSC/LCP2/IRF2/LCK/JAK2/CBLB/PREP/CCL5/PPP4C/IRF1/GZMB/WAS/CASP4/GZMK/PFN1/ERAP2/ANXA5/PSMB9/GZMA,60489/6935/1075/3937/3660/3932/3717/868/5550/6352/5531/3659/3002/7454/837/3003/5216/64167/308/5698/3001,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,75,0.364051859043199,1.50711902964644,0.0124557397606471,0.0800726127470172,0.0693026122020968,391,"tags=25%, list=12%, signal=23%",IL7R/NR4A1/TSC22D1/NFE2L2/PNRC1/IER5/BCL6/JUNB/PDE4B/EGR1/FOSB/IER2/SQSTM1/DUSP5/PPP1R15A/SLC2A3/PTPRE/BTG2/TIPARP,3575/3164/8848/4780/10957/51278/604/3726/5142/1958/2354/9592/8878/1847/23645/6515/5791/7832/25976,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,59,-0.352177539417667,-1.38610051682238,0.048074054630802,0.270416557298261,0.234044739649957,328,"tags=20%, list=10%, signal=19%",IRF1/DNAJC3/GADD45B/SLC20A1/ADD1/ATF3/CASP4/FASLG/SAT1/BIRC3/TAP1/BCL2L11,3659/5611/4616/6574/118/467/837/356/6303/330/6890/10018,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,48,0.358080935926786,1.35144075533422,0.0795228628230616,0.397614314115308,0.344134026251846,382,"tags=23%, list=12%, signal=21%",NR4A1/HNRNPU/NUP58/JUNB/FOSB/EIF2S3/SQSTM1/ATP6V1F/DNAJB1/EIF5/BTG2,3164/3192/9818/3726/2354/1968/8878/9296/3337/1983/7832,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,33,0.394170327734852,1.37242397818758,0.0885826771653543,0.398622047244094,0.345006216328222,751,"tags=45%, list=23%, signal=35%",ISG20L2/DYNLT3/ADD3/MYBL1/BCL2/RETREG1/TIPARP/AFF1/XBP1/TOB1/MED13L/FDFT1/UGCG/AREG/FCMR,81875/6990/120/4603/596/54463/25976/4299/7494/10140/23389/2222/7357/374/9214,Terminal effector CD8 T cells,HALLMARK,Monaco_fine
