ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,82,-0.473779533961316,-2.09717680529528,1.22575680741704e-06,5.51590563337667e-05,4.90302722966815e-05,737,"tags=43%, list=22%, signal=34%",SP110/IRF9/TAPBP/PSMB10/PFKP/SAMD9L/FAS/LCP2/GZMA/SPPL2A/B2M/CASP4/PSMA2/VAMP8/PARP14/LY6E/TAP1/PSMB2/PSMB9/ADAR/HLA-A/PSMB8/STAT1/SOCS3/PIM1/MT2A/TNFAIP3/EPSTI1/CD74/RNF213/CD69/ARID5B/PSME1/PSME2/PTPN2,3431/10379/6892/5699/5214/219285/355/3937/3001/84888/567/837/5683/8673/54625/4061/6890/5690/5698/103/3105/5696/6772/9021/5292/4502/7128/94240/972/57674/969/84159/5720/5721/5771,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,36,-0.49020910820188,-1.82553382428715,0.00149558663010248,0.0336506991773059,0.0299117326020497,737,"tags=50%, list=22%, signal=39%",SP110/IRF9/ELF1/SAMD9L/SAMD9/B2M/HLA-C/IFITM1/PARP14/LY6E/TAP1/PSMB9/ADAR/PSMB8/EPSTI1/CD74/PSME1/PSME2,3431/10379/1997/219285/54809/567/3107/8519/54625/4061/6890/5698/103/5696/94240/972/5720/5721,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,59,-0.390844434615032,-1.63284557211173,0.00362708333320394,0.0544062499980592,0.0483611111093859,551,"tags=39%, list=17%, signal=33%",WAS/DOCK9/FYN/LCP2/GNG2/ERAP2/GZMA/CASP4/GNAI2/CD40LG/CALM3/RNF4/ANXA5/PSMB9/CTSC/PFN1/PIM1/TNFAIP3/DUSP5/PPP4C/GZMK/APOBEC3G/CTSS,7454/23348/2534/3937/54331/64167/3001/837/2771/959/808/6047/308/5698/1075/5216/5292/7128/1847/5531/3003/60489/1520,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,32,-0.470621477549302,-1.70360234385358,0.00699232973590486,0.0702530609861195,0.0624471653209952,589,"tags=44%, list=18%, signal=36%",IFNGR1/FAS/HAX1/TNFRSF1B/IL18R1/MAP3K8/TGFB1/STAT1/SOCS3/PIM1/IL2RG/IL6ST/CXCL13/PTPN2,3459/355/10456/7133/8809/1326/7040/6772/9021/5292/3561/3572/10563/5771,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,83,-0.34261399127724,-1.52579064672066,0.00780589566512439,0.0702530609861195,0.0624471653209952,804,"tags=40%, list=24%, signal=31%",RPS19/ABI1/UBE2N/CD3G/F2R/PTPRC/TAPBP/WAS/PSMB10/CD7/CD4/IFNGR1/FAS/ITGAL/LCP2/GZMA/TRAT1/B2M/CXCR3/CD40LG/TAP1/TGFB1/HLA-A/STAT1/HCLS1/IL2RG/HLA-E/CCL4/CD74/CXCL13/CTSS/CD28/SRGN,6223/10006/7334/917/2149/5788/6892/7454/5699/924/920/3459/355/3683/3937/3001/50852/567/2833/959/6890/7040/3105/6772/3059/3561/3133/6351/972/10563/1520/940/5552,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,46,-0.396759021889573,-1.57616728582447,0.0142686127129525,0.0941912712466706,0.083725574441485,590,"tags=28%, list=18%, signal=24%",MYL12A/SPCS3/NGLY1/DBI/B2M/ELK4/LMAN1/STK39/MAF/XRCC6/ELL2/ARID5B/ZBTB10,10627/60559/55768/1622/567/2005/3998/27347/4094/2547/22936/84159/65986,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,59,-0.356096492873773,-1.48767778209805,0.0146519755272599,0.0941912712466706,0.083725574441485,598,"tags=32%, list=18%, signal=27%",SLBP/JPT1/NBN/SMC4/EZH2/UBE2S/ATAD2/RFC1/DNMT1/TMPO/LBR/HMGB2/TUBB/SNRPB/CDKN1B/SMC6/RANBP1/XRCC6/NUP153,7884/51155/4683/10051/2146/27338/29028/5981/1786/7112/3930/3148/203068/6628/1027/79677/5902/2547/9972,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,24,-0.422363018652771,-1.42053281678847,0.0628140703517588,0.314070351758794,0.279173646007817,690,"tags=46%, list=21%, signal=37%",PSMB10/ID2/FAS/ECH1/MAN1A1/SSR3/ARPP19/TMBIM6/NPC1/PTGES3/MT2A,5699/3398/355/1891/4121/6747/10776/7009/4864/10728/4502,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,81,-0.291687720682451,-1.29761562787947,0.0600483606122308,0.314070351758794,0.279173646007817,1146,"tags=51%, list=34%, signal=34%",ATP5PB/ATP5F1D/COX8A/COX6B1/ATP5PO/ATP5PD/NDUFB4/ATP5PF/ETFA/ATP5F1B/ATP6V1F/COX5A/COX7B/ATP6V0B/COX6C/MDH1/MDH2/ATP5MC3/COX5B/NDUFB1/ATP6V0C/UQCR10/GPX4/PHB2/ECH1/COX6A1/ISCU/UQCRH/ATP5MG/NDUFS6/VDAC1/NDUFB2/ATP5F1A/LDHA/IDH2/BAX/SLC25A5/UQCRC2/NDUFV2/ATP5F1E/COX4I1,515/513/1351/1340/539/10476/4710/522/2108/506/9296/9377/1349/533/1345/4190/4191/518/1329/4707/527/29796/2879/11331/1891/1337/23479/7388/10632/4726/7416/4708/498/3939/3418/581/292/7385/4729/514/1327,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,40,-0.351668121478799,-1.34634214847948,0.078167115902965,0.351752021563342,0.31266846361186,827,"tags=40%, list=25%, signal=30%",POLR2A/RBX1/GUK1/NCBP2/EDF1/GPX4/GTF2F1/TAF10/NFX1/REV3L/APRT/HCLS1/SUPT5H/RALA/VPS37B/ARL6IP1,5430/9978/2987/22916/8721/2879/2962/6881/4799/5980/353/3059/6829/5898/79720/23204,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,53,0.353819275733562,1.33127698508256,0.0909090909090909,0.371900826446281,0.330578512396694,691,"tags=36%, list=21%, signal=29%",PRKCA/YTHDC1/PHF3/SCAF8/NR1D2/LDLR/RUNX1/PTEN/AKT3/DLG1/SPOP/NIPBL/SMAD7/PIK3CD/DYRK1A/ANXA2/PDLIM5/DUSP1/SRI,5578/91746/23469/22828/9975/3949/861/5728/10000/1739/8405/25836/4092/5293/1859/302/10611/1843/6717,Th1 cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,72,-0.289699511136552,-1.25701251165851,0.106918238993711,0.400943396226415,0.356394129979036,570,"tags=29%, list=17%, signal=25%",AREG/LITAF/TRAF1/NR4A3/BIRC3/DUSP4/PTGER4/MAP3K8/TAP1/BTG3/BIRC2/DUSP2/ATF3/SOCS3/IL6ST/TNFAIP3/DUSP5/CCL4/CD69/TANK/ZBTB10,374/9516/7185/8013/330/1846/5734/1326/6890/10950/329/1844/467/9021/3572/7128/1847/6351/969/10010/65986,Th1 cells,HALLMARK,Monaco_fine
