ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,60,-0.648530473053308,-2.63185176152527,1e-10,2.35e-09,1.63157894736842e-09,993,"tags=50%, list=15%, signal=43%",IFI35/SP110/ADAR/DDX60/MX1/HLA-C/B2M/SELL/PARP14/NUB1/SAMD9/TAP1/IRF1/ISG15/NMI/CASP8/SAMD9L/CD47/ISG20/PSMB9/PSMB8/LY6E/UBE2L6/IRF9/PARP9/PSME1/GBP4/EPSTI1/CD74/PSME2,3430/3431/103/55601/4599/3107/567/6402/54625/51667/54809/6890/3659/9636/9111/841/219285/961/3669/5698/5696/4061/9246/10379/83666/5720/115361/94240/972/5721,Central memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,126,-0.539630986886333,-2.49804364225779,1e-10,2.35e-09,1.63157894736842e-09,997,"tags=40%, list=15%, signal=34%",XAF1/IFI35/SP110/ADAR/MTHFD2/IRF4/TNFAIP3/NFKBIA/DDX60/MX1/APOL6/PIM1/IFNAR2/MX2/RNF213/B2M/PFKP/SOCS3/PARP14/HLA-A/TAP1/IRF1/NLRC5/STAT3/GZMA/CASP4/ISG15/ITGB7/NMI/CASP8/PSMB10/SAMD9L/ARID5B/ISG20/MT2A/HIF1A/CASP3/CD38/PSMB9/PSMB8/LY6E/UBE2L6/IRF9/PSME1/GBP4/EPSTI1/CD74/PSME2/HLA-DRB1/STAT1,54739/3430/3431/103/10797/3662/7128/4792/55601/4599/80830/5292/3455/4600/57674/567/5214/9021/54625/3105/6890/3659/84166/6774/3001/837/9636/3695/9111/841/5699/219285/84159/3669/4502/3091/836/952/5698/5696/4061/9246/10379/5720/115361/94240/972/5721/3123/6772,Central memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,176,-0.397082416114047,-1.92300381707265,3.48197425251526e-07,5.45509299560724e-06,3.78741059045519e-06,1895,"tags=49%, list=29%, signal=36%",POLR2F/MRPL35/IDH3B/CYB5R3/TIMM17A/ATP5MC3/ACO2/NDUFS7/POR/NDUFA9/ISCA1/ETFA/SDHD/TOMM22/CYB5A/PRDX3/ATP5PD/NNT/COX7C/CYCS/ATP5F1A/ATP5MF/NDUFS3/HADHB/NDUFB4/COX17/UQCRH/NDUFA7/ATP6V1C1/COX7B/BAX/DECR1/NDUFB7/NDUFV1/ATP6V1G1/PHYH/SLC25A6/RHOT1/MDH1/ATP6V1E1/COX7A2/NDUFA3/NDUFA5/MRPL11/SLC25A3/NDUFB5/NDUFV2/ATP5F1E/PDHA1/ATP5PO/NDUFB1/NDUFAB1/NDUFC2/UQCRB/ATP5PF/ATP5F1D/UQCR10/NDUFS2/RHOT2/IDH2/SDHB/UQCRQ/GPI/ATP6V0E1/NDUFA6/SDHC/OAT/IDH3A/NDUFB8/LDHA/MRPS15/ETFB/ATP5F1C/LDHB/COX6A1/UQCRFS1/MDH2/NDUFS8/NDUFB3/VDAC1/NDUFA1/COX10/COX5A/SLC25A5/UQCRC2/ATP5F1B/COX5B,5435/51318/3420/1727/10440/518/50/374291/5447/4704/81689/2108/6392/56993/1528/10935/10476/23530/1350/54205/498/9551/4722/3032/4710/10063/7388/4701/528/1349/581/1666/4713/4723/9550/5264/293/55288/4190/529/1347/4696/4698/65003/5250/4711/4729/514/5160/539/4707/4706/4718/7381/522/513/29796/4720/89941/3418/6390/27089/2821/8992/4700/6391/4942/3419/4714/3939/64960/2109/509/3945/1337/7386/4191/4728/4709/7416/4694/1352/9377/292/7385/506/1329,Central memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,110,-0.432223307891993,-1.96607926265271,7.85700157353788e-06,9.231976848907e-05,6.40965917841248e-05,951,"tags=32%, list=14%, signal=28%",ITK/MAP3K7/IRF4/IL2RG/CTSS/IFNAR2/CD7/TAP2/LY75/EIF5A/LCK/GALNT1/CRTAM/B2M/ETS1/CD3G/HLA-A/IL12RB1/TAP1/SRGN/GZMA/CD3D/PSMB10/PTPRC/FYB1/CSK/WAS/CD47/HIF1A/ITGB2/IL27RA/LTB/CD74/HLA-DRA/STAT1,3702/6885/3662/3561/1520/3455/924/6891/4065/1984/3932/2589/56253/567/2113/917/3105/3594/6890/5552/3001/915/5699/5788/2533/1445/7454/961/3091/3689/9466/4050/972/3122/6772,Central memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,41,-0.51943557869863,-1.94408765396817,0.000360836930670774,0.00339186714830528,0.0023549357580619,1264,"tags=41%, list=19%, signal=34%",STAT2/TNFRSF1B/IFNAR1/ITGA4/IL2RG/PIM1/TYK2/IL6ST/SOCS3/IL12RB1/IRF1/STAT3/CD38/PTPN11/IRF9/LTB/STAT1,6773/7133/3454/3676/3561/5292/7297/3572/9021/3594/3659/6774/952/5781/10379/4050/6772,Central memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,69,-0.420285259650604,-1.7629909493905,0.000999424996175289,0.00782882913670643,0.00543546927744456,1121,"tags=32%, list=17%, signal=27%",CYB5B/PDAP1/RASGRP1/HLA-F/AQP3/NUP58/NFKBIA/ARRB2/IL6ST/TFRC/POLR2H/NXF1/RPN1/DDX21/TAP1/PPAT/IRF1/TUBA4A/BCL2L11/CASP3/JUNB/ATF3,80777/11333/10125/3134/360/9818/4792/409/3572/7037/5437/10482/6184/9188/6890/5471/3659/7277/10018/836/3726/467,Central memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,111,-0.352430884660218,-1.60694195258183,0.0020477292341692,0.0137490391437075,0.00954580545251807,1429,"tags=31%, list=22%, signal=24%",BIRC2/CCNL1/KLF2/NFKB1/PTGER4/NFAT5/KLF6/ETS2/TNIP1/ZFP36/TNFAIP3/NFKBIA/BIRC3/FOSL2/LITAF/B4GALT1/IL6ST/SOCS3/ATP2B1/NFKB2/RELB/TAP1/IRF1/GADD45A/PER1/GEM/EGR2/NR4A3/PTPRE/SLC2A3/IRS2/JUNB/BCL2A1/ATF3,329/57018/10365/4790/5734/10725/1316/2114/10318/7538/7128/4792/330/2355/9516/2683/3572/9021/490/4791/5971/6890/3659/1647/5187/2669/1959/8013/5791/6515/8660/3726/597/467,Central memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,103,-0.357386603863763,-1.60655171482057,0.00237696263838089,0.0139646555004877,0.0096955054986589,1506,"tags=38%, list=23%, signal=30%",POLA1/COX17/NUDT9/USP11/AGO4/GTF2H5/MPC2/TMED2/ADA/POLR2A/SEC61A1/NT5C/POLR2C/POLB/EDF1/VPS28/POLD4/NT5C3A/ELOA/POLR1C/TAF10/APRT/SNAPC5/ARL6IP1/POLR2G/GUK1/POLR2H/RPA3/MPG/VPS37B/SDCBP/GTF2A2/XPC/HPRT1/POLR2E/IMPDH2/GTF2F1/ITPA/POLR2K,5422/10063/53343/8237/192670/404672/25874/10959/100/5430/29927/30833/5432/5423/8721/51160/57804/51251/6924/9533/6881/353/10302/23204/5436/2987/5437/6119/4350/79720/6386/2958/7508/3251/5434/3615/2962/3704/5440,Central memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,172,-0.296378801374078,-1.43594648167727,0.00578396541857011,0.0302051527414217,0.0209711026872132,1439,"tags=26%, list=22%, signal=21%",TRIM28/RACK1/PSMA1/EIF3J/UBE2E1/CBX3/ODC1/PPIA/ACP1/SLC25A3/TUFM/HNRNPA1/CCT5/GNL3/NDUFAB1/RPLP0/PSMD8/KPNA2/SYNCRIP/PSMD14/SMARCC1/PPM1G/STARD7/PABPC1/SNRPD2/PSMA4/ILF2/CANX/PA2G4/DDX21/LDHA/KPNB1/APEX1/HPRT1/IMPDH2/SNRPD3/VDAC1/PSMA6/C1QBP/ETF1/PSMB3/COX5A/SNRPB2/PSMD1/TFDP1,10155/10399/5682/8669/7324/11335/4953/5478/52/5250/7284/3178/22948/26354/4706/6175/5714/3838/10492/10213/6599/5496/56910/26986/6633/5685/3608/821/5036/9188/3939/3837/328/3251/3615/6634/7416/5687/708/2107/5691/9377/6629/5707/7027,Central memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,112,-0.323062921462233,-1.47180012324987,0.0102583331401531,0.0456963556822747,0.0317264731500676,902,"tags=31%, list=14%, signal=27%",GSPT1/CHMP1A/RAD21/SFPQ/JPT1/LBR/ODC1/NASP/UBE2S/DBF4/ODF2/DDX39A/DR1/ARID4A/KPNA2/SYNCRIP/TMPO/SMARCC1/NUP98/CDKN1B/NSD2/PRIM2/KIF20B/KPNB1/SLC7A5/MT2A/HIF1A/E2F3/KATNA1/STMN1/CENPF/TFDP1/CKS2/EZH2/SMC4,2935/5119/5885/6421/51155/3930/4953/4678/27338/10926/4957/10212/1810/5926/3838/10492/7112/6599/4928/1027/7468/5558/9585/3837/8140/4502/3091/1871/11104/3925/1063/7027/1164/2146/10051,Central memory CD8 T cells,HALLMARK,Monaco_fine
