ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,17,-0.570523244434722,-1.71835975276001,0.0169013473453027,0.556428571428571,0.556428571428571,333,"tags=82%, list=25%, signal=62%",ELF1/RIPK2/PSME1/TXNIP/IFI30/CASP1/HLA-C/B2M/BST2/SP110/CD74/PSME2/IRF1/PARP14,1997/8767/5720/10628/10437/834/3107/567/684/3431/972/5721/3659/54625,Classical monocytes,HALLMARK,Monaco_fine
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,10,-0.564221154847605,-1.4453334251181,0.0866666666666667,0.556428571428571,0.556428571428571,174,"tags=50%, list=13%, signal=44%",RBX1/GTF2B/VPS37B/ARL6IP1/REV3L,9978/2959/79720/23204/5980,Classical monocytes,HALLMARK,Monaco_fine
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,23,0.462082757545323,1.42233571603527,0.0655172413793104,0.556428571428571,0.556428571428571,199,"tags=39%, list=15%, signal=34%",FBXO34/CCND3/USP15/ELL2/PICALM/CAST/AGPAT4/SLC25A37/NCOA4,55030/896/9958/22936/8301/831/56895/51312/8031,Classical monocytes,HALLMARK,Monaco_fine
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,23,-0.430616740917463,-1.3986745095296,0.0876777251184834,0.556428571428571,0.556428571428571,169,"tags=39%, list=13%, signal=35%",APLP2/CD302/PLIN2/ARL4A/GBE1/PPP1R15B/UBC/COX6A1/GHITM,334/9936/123/10124/2632/84919/7316/1337/27069,Classical monocytes,HALLMARK,Monaco_fine
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,42,0.382785183597946,1.35837632606089,0.0648464163822526,0.556428571428571,0.556428571428571,262,"tags=33%, list=20%, signal=28%",AQP9/EREG/NFKB1/GCH1/LCP2/FPR1/PDE4B/IFNGR2/IL1B/GNAI3/CSF3R/NFKBIA/TLR2/PSEN1,366/2069/4790/2643/3937/2357/5142/3460/3553/2773/1441/4792/7097/5663,Classical monocytes,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,47,-0.342129275006322,-1.34378756747021,0.091566265060241,0.556428571428571,0.556428571428571,236,"tags=38%, list=18%, signal=33%",CASP1/B2M/CD86/SOCS3/BST2/SP110/ARL4A/HLA-B/CD74/HLA-DRB1/SAMHD1/PSME2/IRF1/HLA-A/RNF213/FGL2/STAT1/PARP14,834/567/942/9021/684/3431/10124/3106/972/3123/25939/5721/3659/3105/57674/10875/6772/54625,Classical monocytes,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,55,-0.317637499751521,-1.28061902987328,0.1025,0.556428571428571,0.556428571428571,328,"tags=29%, list=25%, signal=23%",EIF1AX/PGK1/HNRNPA2B1/TRA2B/YWHAE/SLC25A3/EIF4A1/RPL22/RPL18/DDX18/PABPC1/PSMA4/XRCC6/HSPE1/SRSF7/SET,1964/5230/3181/6434/7531/5250/1973/6146/6141/8886/26986/5685/2547/3336/6432/6418,Classical monocytes,HALLMARK,Monaco_fine
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,20,0.422591579879669,1.24700180859098,0.174740484429066,0.739328,0.739328,326,"tags=55%, list=25%, signal=42%",IL1R2/STAT3/IL17RA/CD44/IFNGR2/IL1B/CSF3R/TLR2/IL13RA1/GRB2/PIK3R5,7850/6774/23765/960/3460/3553/1441/7097/3597/2885/23533,Classical monocytes,HALLMARK,Monaco_fine
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,33,-0.331664857344721,-1.18332798618929,0.191142191142191,0.739328,0.739328,244,"tags=52%, list=18%, signal=43%",BTG1/VAMP8/TXNIP/IFI30/RPS12/CASP1/HINT1/BTG2/FOS/FOXO3/RPL18/KLF4/ZFP36L1/HBEGF/SAT1/PTPRE/ATF3,694/8673/10628/10437/6206/834/3094/7832/2353/2309/6141/9314/677/1839/6303/5791/467,Classical monocytes,HALLMARK,Monaco_fine
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,27,0.360805888049735,1.15286386242433,0.255613126079447,0.739328,0.739328,366,"tags=41%, list=28%, signal=30%",THBS1/SNTB1/VIM/CD44/GLIPR1/NOTCH2/BASP1/VCAN/COPA/EMP3/LRP1,7057/6641/7431/960/11010/4853/10409/1462/1314/2014/4035,Classical monocytes,HALLMARK,Monaco_fine
