ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,68,-0.628864799483208,-2.64106233156528,1e-10,1.6e-09,1.08771929824561e-09,1083,"tags=50%, list=14%, signal=43%",TRIM14/EPSTI1/NMI/PSMB8/ISG20/IRF9/IRF7/IRF1/CASP8/RIPK2/LAP3/GBP2/IRF2/SAMD9L/IFIH1/STAT2/DDX60/BST2/IFIT2/ELF1/TRIM26/NUB1/ISG15/SP110/PSMB9/TAP1/LPAR6/PARP9/PARP14/GBP4/UBE2L6/PSME1/PLSCR1/PSME2,9830/94240/9111/5696/3669/10379/3665/3659/841/8767/51056/2634/3660/219285/64135/6773/55601/684/3433/1997/7726/51667/9636/3431/5698/6890/10161/83666/54625/115361/9246/5720/5359/5721,Effector memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,143,-0.538613817202973,-2.59875208083091,1e-10,1.6e-09,1.08771929824561e-09,1257,"tags=52%, list=16%, signal=45%",MX2/PSMA2/SOCS3/NUP93/XCL1/IL15/AUTS2/LY6E/TAPBP/STAT4/XAF1/RBCK1/CD69/IFI35/CD38/PML/ISOC1/TRIM14/CASP7/MVP/GPR18/EPSTI1/SRI/NMI/LCP2/MYD88/PSMB8/PTPN1/ISG20/IRF9/HLA-DQA1/IRF7/CASP3/CCL5/IRF1/CASP8/RIPK2/LAP3/IRF2/SAMD9L/STAT3/IFIH1/STAT2/DDX60/APOL6/KLRK1/MTHFD2/BST2/UPP1/HLA-DRB1/IFIT2/TRIM26/SAMHD1/OAS2/ITGB7/BPGM/PTPN6/ISG15/SP110/GZMA/RAPGEF6/PSMB9/TAP1/PIM1/PARP14/RNF213/PSMB10/CASP4/GBP4/UBE2L6/PSMB2/PSME1/PLSCR1/PSME2/STAT1,4600/5683/9021/9688/6375/3600/26053/4061/6892/6775/54739/10616/969/3430/952/5371/51015/9830/840/9961/2841/94240/6717/9111/3937/4615/5696/5770/3669/10379/3117/3665/836/6352/3659/841/8767/51056/3660/219285/6774/64135/6773/55601/80830/22914/10797/684/7378/3123/3433/7726/25939/4939/3695/669/5777/9636/3431/3001/51735/5698/6890/5292/54625/57674/5699/837/115361/9246/5690/5720/5359/5721/6772,Effector memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,191,-0.493197637495801,-2.45578202788009,1e-10,1.6e-09,1.08771929824561e-09,2055,"tags=51%, list=26%, signal=39%",ATP5PB/NDUFB7/NDUFA2/CYC1/NDUFB3/SURF1/UQCRH/MRPS22/MRPS12/NDUFC1/POR/BAX/MTRR/COX6B1/NDUFB8/TIMM10/DLAT/PDP1/ATP5F1D/ACAA1/NDUFB5/ATP6V1E1/UQCR10/IDH3G/MRPL35/ALAS1/ACAT1/NDUFA5/DLD/NDUFA7/NDUFA9/NDUFA8/FDX1/CYB5A/ETFB/AFG3L2/TIMM13/NDUFS8/GPI/COX10/UQCRC1/ETFA/ATP5F1E/SLC25A6/CASP7/ATP5F1C/COX7A2/ACAA2/OPA1/UQCRFS1/RHOT2/HSD17B10/TOMM22/NQO2/UQCRQ/ATP5PF/MDH1/MDH2/ECHS1/NDUFS6/ATP6V1F/MFN2/SUPV3L1/COX5B/SLC25A12/ATP5F1B/SDHD/ATP5MF/NDUFA6/NDUFV2/VDAC1/UQCR11/SLC25A3/COX6A1/ATP6V0B/NDUFS7/COX8A/COX6C/NDUFB2/PHYH/MRPL11/UQCRC2/ATP5MC1/ATP5MG/SLC25A4/ATP5PD/IDH3A/COX5A/COX7B/NDUFB4/SLC25A5/ATP5MC3/NDUFB6/LDHB/CYCS/LDHA/IDH2/SUCLG1,515/4713/4695/1537/4709/6834/7388/56945/6183/4717/5447/581/4552/1340/4714/26519/1737/54704/513/30/4711/529/29796/3421/51318/211/38/4698/1738/4701/4704/4702/2230/1528/2109/10939/26517/4728/2821/1352/7384/2108/514/293/840/509/1347/10449/4976/7386/89941/3028/56993/4835/27089/522/4190/4191/1892/4726/9296/9927/6832/1329/8604/506/6392/9551/4700/4729/7416/10975/5250/1337/533/374291/1351/1345/4708/5264/65003/7385/516/10632/291/10476/3419/9377/1349/4710/292/518/4712/3945/54205/3939/3418/8802,Effector memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,180,-0.409782875215286,-2.02926031650597,7.70473685207323e-08,9.24568422248788e-07,6.28544322142816e-07,1383,"tags=41%, list=18%, signal=35%",CYC1/TCP1/NOLC1/MYC/SNRPD2/MCM6/HDGF/C1QBP/NOP56/PPIA/PSMA2/KPNB1/MCM7/NCBP2/HPRT1/CCT2/VBP1/PSMD8/PA2G4/PCBP1/DDX21/HDDC2/HNRNPR/SYNCRIP/EIF4A1/TYMS/PSMD7/CCT3/ERH/SNRPB2/NME1/PSMA7/APEX1/HNRNPA3/EIF4E/PRPS2/DEK/TRA2B/TFDP1/RANBP1/XRCC6/NHP2/SNRPG/PSMC6/KPNA2/ODC1/PWP1/RAN/MAD2L1/SET/PGK1/PSMC4/PSMA6/VDAC1/NCBP1/SNRPD1/SLC25A3/SERBP1/SRM/CLNS1A/ILF2/LSM2/STARD7/CCT7/PSMD14/CANX/EIF2S1/CTPS1/COX5A/PSMA4/PSMB3/PSMA1/LDHA/PSMB2,1537/6950/9221/4609/6633/4175/3068/708/10528/5478/5683/3837/4176/22916/3251/10576/7411/5714/5036/5093/9188/51020/10236/10492/1973/7298/5713/7203/2079/6629/4830/5688/328/220988/1977/5634/7913/6434/7027/5902/2547/55651/6637/5706/3838/4953/11137/5901/4085/6418/5230/5704/5687/7416/4686/6632/5250/26135/6723/1207/3608/57819/56910/10574/10213/821/1965/1503/9377/5685/5691/5682/3939/5690,Effector memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,122,-0.417287554398254,-1.96068894087063,3.67927925483398e-06,3.12391612058787e-05,2.12371490654e-05,1135,"tags=31%, list=15%, signal=27%",NME1/TGFB1/IL10/HLA-E/LCP2/TPD52/LCK/HLA-DQA1/IRF7/HCLS1/CXCL13/CCL5/RIPK2/CAPG/UBE2N/GBP2/IL2RG/DEGS1/CD96/LTB/KLRD1/CD3D/PTPN6/TAP2/GZMA/HLA-DRA/GPR65/CSK/TAP1/FASLG/GZMB/CD8B/CD3G/PSMB10/CD8A/CTSS/CD7/STAT1,4830/7040/3586/3133/3937/7163/3932/3117/3665/3059/10563/6352/8767/822/7334/2634/3561/8560/10225/4050/3824/915/5777/6891/3001/3122/8477/1445/6890/356/3002/926/917/5699/925/1520/924/6772,Effector memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,150,-0.395967184811333,-1.91094661650691,3.90489515073484e-06,3.12391612058787e-05,2.12371490654e-05,1751,"tags=43%, list=23%, signal=34%",SC5D/LTA4H/PPIA/SLA/PDK1/GLRX/DAPP1/RRM2/HPRT1/RPN1/ABCF2/TFRC/NFIL3/PDAP1/NFYC/ARPC5L/TPI1/CYP51A1/PSMD12/NIBAN1/SLC2A3/GPI/PNO1/ENO1/SERP1/CD9/PSME3/PSMD13/EDEM1/ELOVL6/ATP2A2/DDX39A/PSMC2/TBK1/GSR/IDI1/PSMC6/BUB1/DDIT4/PSMB5/RDH11/XBP1/PGK1/PSMC4/UBE2D3/MTHFD2/CTSC/DHFR/PSMD14/SDF2L1/SHMT2/CANX/ATP5MC1/ACTR2/CORO1A/GAPDH/PSMA4/CCT6A/HSPA5/HSP90B1/LDHA/PPA1/ACTR3/CALR/CYB5B,6309/4048/5478/6503/5163/2745/27071/6241/3251/6184/10061/7037/4783/11333/4802/81873/7167/1595/5718/116496/6515/2821/56902/2023/27230/928/10197/5719/9695/79071/488/10212/5701/29110/2936/3422/5706/699/54541/5693/51109/7494/5230/5704/7323/10797/1075/1719/10213/23753/6472/821/516/10097/11151/2597/5685/908/3309/7184/3939/5464/10096/811/80777,Effector memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,83,-0.42450240546379,-1.84832862205984,0.000376425251899718,0.00247442599950093,0.00168217556983616,1099,"tags=31%, list=14%, signal=27%",BANF1/SERP1/EIF4E/EDEM1/ERN1/SPCS1/DNAJB9/NHP2/EIF4A3/SPCS3/DDIT4/CEBPB/DDX10/XBP1/MTHFD2/PAIP1/EIF2S1/HERPUD1/DNAJC3/PDIA6/LSM1/HSPA5/GOSR2/HSP90B1/ATF3/CALR,8815/27230/1977/9695/2081/28972/4189/55651/9775/60559/54541/1051/1662/7494/10797/10605/1965/9709/5611/10130/27257/3309/9570/7184/467/811,Effector memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,63,-0.441924995776067,-1.83196780374363,0.000412404333250155,0.00247442599950093,0.00168217556983616,517,"tags=24%, list=7%, signal=22%",PTEN/IKBKG/STX4/CNN2/PECAM1/ZYX/YWHAH/CAP1/MYL12B/EVL/RAC2/PFN1/ACTG1/ACTB/ARPC2,5728/8517/6810/1265/5175/7791/7533/10487/103910/51466/5880/5216/71/60/10109,Effector memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,80,-0.40329071221101,-1.75048720706001,0.00109713241530637,0.00575640123330648,0.0039133429436952,1671,"tags=36%, list=21%, signal=29%",HLA-F/AP2S1/ACAA1/SELENOW/RPN1/JUNB/ALAS1/TFRC/PDAP1/AGO2/POLR2H/DDX21/MARK2/STK25/BTG3/CASP3/RAB27A/ATP6V1F/IRF1/STARD3/CLTB/BAK1/SLC25A4/TAP1/BCL2L11/ARRB2/ATF3/CYB5B/ABCB1,3134/1175/30/6415/6184/3726/211/7037/11333/27161/5437/9188/2011/10494/10950/836/5873/9296/3659/10948/1212/578/291/6890/10018/409/467/80777/5243,Effector memory CD8 T cells,HALLMARK,Monaco_fine
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,95,-0.3784042368874,-1.70118217166034,0.00119925025693885,0.00575640123330648,0.0039133429436952,1071,"tags=31%, list=14%, signal=27%",ANXA5/CASP7/RABIF/LCP2/ATOX1/LCK/IRF7/CASP3/DOCK10/CCL5/IRF1/CEBPB/CALM3/LAP3/IRF2/GNG2/STX4/CTSC/DUSP5/GZMA/PSMB9/GNGT2/PIM1/HSPA5/GZMB/PFN1/CTSS/CASP4/PLSCR1,308/840/5877/3937/475/3932/3665/836/55619/6352/3659/1051/808/51056/3660/54331/6810/1075/1847/3001/5698/2793/5292/3309/3002/5216/1520/837/5359,Effector memory CD8 T cells,HALLMARK,Monaco_fine
