ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,110,-0.619525751166346,-3.18030161887805,1e-10,4.4e-09,2.94736842105263e-09,615,"tags=55%, list=19%, signal=46%",ATP5PB/PRDX3/ATP5MC2/ATP6V1G1/UQCR10/UQCRB/SLC25A5/ATP5ME/ATP5MC3/COX7A2L/ATP6AP1/UQCRFS1/SDHC/ATP5F1E/COX5B/SUCLG1/NDUFA1/NDUFB1/NDUFA6/NDUFV2/ATP5F1D/IDH2/SDHD/COX5A/COX7B/ATP5MC1/VDAC2/ECH1/ATP6V0C/ATP5F1C/NDUFC2/ATP5MF/COX4I1/ETFB/MGST3/ACAA2/NDUFAB1/ATP6V0B/ATP6V0E1/ATP5PD/CYCS/NDUFB5/UQCRH/MDH2/LDHA/COX7A2/UQCR11/COX8A/ATP5F1B/ATP6V1F/NDUFA2/ATP6V1E1/NDUFB2/NDUFB3/COX6A1/ACAT1/ECHS1/VDAC3/COX6C/VDAC1,515/10935/517/9550/29796/7381/292/521/518/9167/537/7386/6391/514/1329/8802/4694/4707/4700/4729/513/3418/6392/9377/1349/516/7417/1891/527/509/4718/9551/1327/2109/4259/10449/4706/533/8992/10476/54205/4711/7388/4191/3939/1347/10975/1351/506/9296/4695/529/4708/4709/1337/38/1892/7419/1345/7416,Intermediate monocytes,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,122,-0.464082174134407,-2.44360397147016,2.13237095620886e-10,4.69121610365948e-09,3.14244140914989e-09,1038,"tags=64%, list=33%, signal=45%",PSMC4/RPS2/SNRPD2/PTGES3/CCT3/GLO1/RACK1/PSMC6/DUT/RPS6/C1QBP/RPS5/RNPS1/SRSF3/EIF3J/HNRNPA1/LSM7/HNRNPD/KPNB1/RPLP0/RPL14/RPS3/PCBP1/SERBP1/STARD7/SNRPD1/RPL22/SLC25A3/SNRPB2/EEF1B2/SET/IFRD1/RPL18/EIF4G2/PSMB3/CBX3/NPM1/PRDX3/PPIA/CCT4/EIF3D/SRSF1/PSMA7/PSMA4/RANBP1/PSMD1/UBE2L3/RPS10/SSB/EIF1AX/RAD23B/YWHAE/DDX18/PPM1G/HNRNPA3/HDAC2/CANX/CLNS1A/EIF4H/COX5A/SYNCRIP/PSMD7/EIF2S2/GSPT1/NDUFAB1/XRCC6/PGK1/PA2G4/LDHA/DEK/SNRPG/CCT5/PSMB2/HDGF/PSMA2/VDAC3/VDAC1/RAN,5704/6187/6633/10728/7203/2739/10399/5706/1854/6194/708/6193/10921/6428/8669/3178/51690/3184/3837/6175/9045/6188/5093/26135/56910/6632/6146/5250/6629/1933/6418/3475/6141/1982/5691/11335/4869/10935/5478/10575/8664/6426/5688/5685/5902/5707/7332/6204/6741/1964/5887/7531/8886/5496/220988/3066/821/1207/7458/9377/10492/5713/8894/2935/4706/2547/5230/5036/3939/7913/6637/22948/5690/3068/5683/7419/7416/5901,Intermediate monocytes,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,97,-0.44118707194486,-2.18902527159526,1.93397184973754e-07,2.83649204628172e-06,1.90004251904039e-06,470,"tags=33%, list=15%, signal=29%",IRF8/APOL6/ITGB7/ARID5B/IRF1/PSMB8/LAP3/HLA-A/SERPING1/PSME1/UBE2L6/PSMA3/CD38/LGALS3BP/B2M/VAMP8/CXCL9/NMI/SECTM1/IFI30/PSMB9/PSMB10/SRI/IFITM3/PSMB2/GBP4/TAPBP/STAT1/HLA-B/PSME2/PSMA2/LY6E,3394/80830/3695/84159/3659/5696/51056/3105/710/5720/9246/5684/952/3959/567/8673/4283/9111/6398/10437/5698/5699/6717/10410/5690/115361/6892/6772/3106/5721/5683/4061,Intermediate monocytes,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,39,-0.526190520613422,-2.17028714350498,2.48943441839237e-05,0.00027383778602316,0.00018343200977628,527,"tags=46%, list=17%, signal=39%",EPSTI1/NUB1/IRF1/PSMB8/LAP3/PSME1/UBE2L6/PSMA3/LGALS3BP/B2M/NMI/IFI30/PSMB9/IFITM3/HLA-C/GBP4/PSME2/LY6E,94240/51667/3659/5696/51056/5720/9246/5684/3959/567/9111/10437/5698/10410/3107/115361/5721/4061,Intermediate monocytes,HALLMARK,Monaco_fine
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,11,0.749460619645211,1.95564472219048,0.000414332030162239,0.00364612186542771,0.00244237828306162,338,"tags=64%, list=11%, signal=57%",NR4A2/CPEB3/ZBTB16/CAMK1D/PRKN/SKIL/BTG2,4929/22849/7704/57118/5071/6498/7832,Intermediate monocytes,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,96,0.395812109065515,1.73481768301476,0.000561275795044895,0.0041160224969959,0.00275714425636089,1321,"tags=64%, list=41%, signal=38%",PER1/NR4A2/ATP2B1/FOSB/ATF3/CD83/NR4A1/PPP1R15A/REL/DUSP1/KLF6/CCNL1/FOS/EGR1/IL6ST/MCL1/BTG2/IER3/KLF4/SAT1/IL18/ETS2/HBEGF/NFE2L2/DUSP2/NFAT5/NAMPT/BCL2A1/IL1B/RIPK2/GADD45B/TNFAIP8/TIPARP/PNRC1/JUN/NFKB1/TANK/CCL4/ABCA1/PFKFB3/NFKBIA/JUNB/PTPRE/BTG1/GCH1/TLR2/TNF/IER2/ZFP36/RHOB/SQSTM1/TNFAIP2/KYNU/GPR183/KLF2/ICAM1/MXD1/CEBPB/EGR3/HES1/NR4A3,5187/4929/490/2354/467/9308/3164/23645/5966/1843/1316/57018/2353/1958/3572/4170/7832/8870/9314/6303/3606/2114/1839/4780/1844/10725/10135/597/3553/8767/4616/25816/25976/10957/3725/4790/10010/6351/19/5209/4792/3726/5791/694/2643/7097/7124/9592/7538/388/8878/7127/8942/1880/10365/3383/4084/1051/1960/3280/8013,Intermediate monocytes,HALLMARK,Monaco_fine
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,75,-0.369248868990175,-1.75018948323328,0.00110979152618873,0.00697583245032915,0.0046728064260578,728,"tags=40%, list=23%, signal=32%",SLC66A3/GPX4/TKT/DNAJC15/GHITM/ALDH2/PRDX3/REEP5/UQCR10/UCP2/SDHC/TALDO1/SUCLG1/STOM/SCP2/COX7B/ECH1/ETFB/MGST3/ACAA2/NDUFAB1/ENPP2/SQOR/MDH2/UQCR11/COX8A/CHCHD10/DDT/COX6A1/ECHS1,130814/2879/7086/29103/27069/217/10935/7905/29796/7351/6391/6888/8802/2040/6342/1349/1891/2109/4259/10449/4706/5168/58472/4191/10975/1351/400916/1652/1337/1892,Intermediate monocytes,HALLMARK,Monaco_fine
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,56,-0.395062600043451,-1.77761948641696,0.00222568019571835,0.0122412410764509,0.00819987440527812,536,"tags=38%, list=17%, signal=32%",MIF/PRDX6/BLVRA/SDHC/HSD17B11/SUCLG1/YWHAH/CBR1/PSME1/UBE2L6/ERP29/SDHD/ECH1/ALDH1A1/S100A10/ACAA2/MDH2/LDHA/CD1D/LGALS1/ECHS1,4282/9588/644/6391/51170/8802/7533/873/5720/9246/10961/6392/1891/216/6281/10449/4191/3939/912/3956/1892,Intermediate monocytes,HALLMARK,Monaco_fine
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,35,-0.448795187734349,-1.81584760657733,0.00268170713997856,0.0131105682398952,0.00878219882098241,716,"tags=49%, list=22%, signal=38%",RBX1/GPX4/COX17/BCAP31/ALYREF/POLD4/EDF1/DAD1/ARL6IP1/POLR2J/VPS28/APRT/SUPT4H1/GUK1/EIF1B/TMED2/POLR2E,9978/2879/10063/10134/10189/57804/8721/1603/23204/5439/51160/353/6827/2987/10289/10959/5434,Intermediate monocytes,HALLMARK,Monaco_fine
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,52,-0.37547195992224,-1.6712606562806,0.00386841691382727,0.01702103442084,0.0114016498512804,741,"tags=44%, list=23%, signal=35%",STMN1/COPB2/GLRX/NDUFV3/HOMER1/PPIA/UGP2/AKR1A1/MIF/TPI1/HSPA5/SDHC/SRD5A3/TALDO1/PGLS/GUSB/PKM/ENO1/PGK1/TXN/MDH2/LDHA/SDC3,3925/9276/2745/4731/9456/5478/7360/10327/4282/7167/3309/6391/79644/6888/25796/2990/5315/2023/5230/7295/4191/3939/9672,Intermediate monocytes,HALLMARK,Monaco_fine
