ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,12,-0.613324515991481,-1.72149672686789,0.0218977201336065,0.35638336593025,0.329391557727574,35,"tags=25%, list=2%, signal=25%",IRF1/STAT1/ITGA4,3659/6772/3676,Low-density basophils,HALLMARK,Monaco_fine
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,22,0.49744450164494,1.58078311011181,0.0335505102078404,0.35638336593025,0.329391557727574,387,"tags=55%, list=23%, signal=42%",GADD45B/BASP1/TIMP1/EMP3/CD59/CADM1/CAPG/VIM/LGALS1/TIMP3/PMP22/SAT1,4616/10409/7076/2014/966/23705/822/7431/3956/7078/5376/6303,Low-density basophils,HALLMARK,Monaco_fine
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,24,-0.446111619489528,-1.57508974723513,0.0521536633068659,0.35638336593025,0.329391557727574,276,"tags=38%, list=17%, signal=32%",RBM5/TOP1/SDCBP/PICALM/BNIP3L/ELL2/FBXO34/BSG/NEK7,10181/7150/6386/8301/665/22936/55030/682/140609,Low-density basophils,HALLMARK,Monaco_fine
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,19,0.501782955633176,1.55073547816052,0.0426621160409556,0.35638336593025,0.329391557727574,211,"tags=37%, list=13%, signal=33%",ANXA5/S100A11/CYP51A1/PNRC1/CD9/CLU/LGALS3,308/6282/1595/10957/928/1191/3958,Low-density basophils,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,66,0.380400451377035,1.5472496294474,0.012684725420123,0.35638336593025,0.329391557727574,179,"tags=21%, list=11%, signal=20%",PRPS2/PTGES3/EIF1AX/RPL14/CCT4/ERH/EEF1B2/RPL34/SNRPD2/RPL18/RPL22/RPL6/RPS2/RPS3,5634/10728/1964/9045/10575/2079/1933/6164/6633/6141/6146/6128/6187/6188,Low-density basophils,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,34,0.415730538354149,1.47206797963585,0.0447247855554776,0.35638336593025,0.329391557727574,340,"tags=47%, list=20%, signal=38%",UQCR11/HSPA9/OAT/COX4I1/UQCRB/COX6A1/ATP6V0E1/ATP5MC3/ATP6V1F/NDUFB8/HADHA/COX17/MAOB/GPX4/ATP5MG/COX7C,10975/3313/4942/1327/7381/1337/8992/518/9296/4714/3030/10063/4129/2879/10632/1350,Low-density basophils,HALLMARK,Monaco_fine
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,11,0.537602279928854,1.41605732305635,0.083955223880597,0.43027052238806,0.397682639434407,29,"tags=18%, list=2%, signal=18%",SCP2/LONP2,6342/83752,Low-density basophils,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,28,-0.373457620562334,-1.35712043459626,0.0738916256157636,0.43027052238806,0.397682639434407,53,"tags=25%, list=3%, signal=25%",HNRNPU/EIF5/BSG/IRF1/ALAS1/ATF3/HLA-F,3192/1983/682/3659/211/467/3134,Low-density basophils,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,37,-0.337465134448557,-1.31068122255771,0.111111111111111,0.474630541871921,0.438682914182007,373,"tags=35%, list=22%, signal=28%",SIPA1L1/DYRK1A/INSIG1/AKT3/SCAF8/WDR37/ABCC1/PRKCE/PRDM2/RUNX1/TGFBR2/NEK7/FYN,26037/1859/3638/10000/22828/22884/4363/5581/7799/861/7048/140609/2534,Low-density basophils,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,28,-0.354637739548521,-1.28873022458513,0.11576354679803,0.474630541871921,0.438682914182007,325,"tags=32%, list=20%, signal=26%",RIPK1/LCP2/CD69/B2M/HLA-A/HLA-B/IRF1/NCOA3/STAT1,8737/3937/969/567/3105/3106/3659/8202/6772,Low-density basophils,HALLMARK,Monaco_fine
