ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,84,-0.758434981200426,-3.28486505777382,1e-10,1.25e-09,8.42105263157895e-10,1153,"tags=61%, list=12%, signal=54%",IFIT3/PLSCR1/IRF7/IFITM2/LY6E/TRIM21/OAS1/CMPK2/IFIH1/SELL/IFIT2/NUB1/IRF9/TMEM140/EPSTI1/DDX60/TRIM5/ISG20/IL15/TRIM25/STAT2/IL4R/CASP1/EIF2AK2/UBE2L6/MX1/CD47/PARP14/RSAD2/SP110/HLA-C/PSMA3/IFITM3/SAMD9L/PARP12/IFI35/PSME1/B2M/NMI/IFI30/GBP4/PSME2/CXCL10/ISG15/LAP3/PSMB8/IRF1/GBP2/PARP9/TAP1/PSMB9,3437/5359/3665/10581/4061/6737/4938/129607/64135/6402/3433/51667/10379/55281/94240/55601/85363/3669/3600/7706/6773/3566/834/5610/9246/4599/961/54625/91543/3431/3107/5684/10410/219285/64761/3430/5720/567/9111/10437/115361/5721/3627/9636/51056/5696/3659/2634/83666/6890/5698,Myeloid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,173,-0.670290414203907,-3.24776393030318,1e-10,1.25e-09,8.42105263157895e-10,1101,"tags=50%, list=11%, signal=45%",PLSCR1/IRF7/IFITM2/LY6E/TRIM21/PTPN6/CMPK2/XAF1/IFIH1/PDE4B/CD69/CD274/IFIT2/CCL5/SOD2/SRI/IRF9/IL15RA/VAMP8/EPSTI1/GCH1/CD40/SAMHD1/DDX60/GPR18/ISG20/IL15/HIF1A/CASP4/PSMB2/TRIM25/STAT2/ZNFX1/IL4R/CASP1/PTPN1/IFNAR2/EIF2AK2/SOCS3/SOCS1/RNF213/UBE2L6/MX1/PSMB10/PARP14/PFKP/PSMA2/RSAD2/FCGR1A/SP110/PSMA3/CD38/MYD88/IFITM3/TNFAIP2/SAMD9L/ST3GAL5/MVP/PARP12/JAK2/MX2/OAS2/IFI35/APOL6/PSME1/TAPBP/LYSMD2/B2M/CXCL9/HLA-A/NMI/VAMP5/IFI30/HLA-B/GBP4/PSME2/CXCL10/ISG15/LAP3/PSMB8/IRF1/TAP1/NLRC5/PSMB9/TNFSF10/STAT1,5359/3665/10581/4061/6737/5777/129607/54739/64135/5142/969/29126/3433/6352/6648/6717/10379/3601/8673/94240/2643/958/25939/55601/2841/3669/3600/3091/837/5690/7706/6773/57169/3566/834/5770/3455/5610/9021/8651/57674/9246/4599/5699/54625/5214/5683/91543/2209/3431/5684/952/4615/10410/7127/219285/8869/9961/64761/3717/4600/4939/3430/80830/5720/6892/256586/567/4283/3105/9111/10791/10437/3106/115361/5721/3627/9636/51056/5696/3659/6890/84166/5698/8743/6772,Myeloid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,197,-0.499234731827907,-2.4340565712383,1e-10,1.25e-09,8.42105263157895e-10,1772,"tags=41%, list=18%, signal=34%",UQCRFS1/TIMM13/BAX/CYCS/TIMM10/ETFA/NDUFB4/SLC25A5/ATP5PD/NDUFA6/MDH1/COX17/COX7C/DLAT/SLC25A6/VDAC3/ATP5MC3/TCIRG1/LDHA/NDUFB3/CYB5R3/PHB2/MRPL11/IDH3G/UQCRH/CPT1A/COX6B1/ATP6V1G1/ATP5MC2/NDUFA8/DLD/ATP5ME/CYB5A/ATP5PF/TOMM22/NDUFB7/COX5A/GRPEL1/NDUFA7/UQCRQ/COX4I1/NDUFA1/HSD17B10/IDH3A/ATP5F1E/ATP5F1B/NDUFC1/LDHB/ATP5PO/NDUFS4/NDUFS8/ACAA1/COX7B/NDUFB1/UQCR11/OGDH/NDUFA2/ETFB/NDUFB8/DECR1/COX6C/COX5B/OXA1L/NDUFB2/NDUFC2/VDAC1/SDHB/COX8A/ATP5F1C/TIMM17A/ATP5MF/COX7A2/ATP5MC1/COX6A1/NDUFS6/MRPS12/NDUFAB1/NDUFA9/ATP5MG/NDUFV2/TIMM8B,7386/26517/581/54205/26519/2108/4710/292/10476/4700/4190/10063/1350/1737/293/7419/518/10312/3939/4709/1727/11331/65003/3421/7388/1374/1340/9550/517/4702/1738/521/1528/522/56993/4713/9377/80273/4701/27089/1327/4694/3028/3419/514/506/4717/3945/539/4724/4728/30/1349/4707/10975/4967/4695/2109/4714/1666/1345/1329/5018/4708/4718/7416/6390/1351/509/10440/9551/1347/516/1337/4726/6183/4706/4704/10632/4729/26521,Myeloid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,141,-0.496490051273726,-2.32127450979874,1e-10,1.25e-09,8.42105263157895e-10,2195,"tags=52%, list=23%, signal=41%",IGSF6/CCR5/NCK1/CCR1/BCL10/CD80/MAP3K7/RPL39/GLMN/RPS9/RPS19/GZMA/LCP2/EIF3J/ABCE1/CD3E/IL16/EREG/BCL3/RIPK2/LY75/ITGAL/CCR2/IRF7/WAS/BCAT1/PTPN6/AKT1/UBE2D1/CSK/FGR/TIMP1/CD2/CD3D/MRPL3/CCL5/PRKCB/CD1D/LTB/CFP/CD79A/ELF4/IL2RG/ETS1/CD247/NME1/ABI1/EIF5A/FLNA/CD40/UBE2N/IL2RA/EIF4G3/IL15/ITGB2/HIF1A/IL4R/IFNAR2/SOCS1/PTPRC/CD47/PSMB10/CD96/SPI1/JAK2/TAPBP/B2M/CXCL9/HLA-A/GBP2/TAP2/TAP1/STAT1,10261/1234/4690/1230/8915/941/6885/6170/11146/6203/6223/3001/3937/8669/6059/916/3603/2069/602/8767/4065/3683/729230/3665/7454/586/5777/207/7321/1445/2268/7076/914/915/11222/6352/5579/912/4050/5199/973/2000/3561/2113/919/4830/10006/1984/2316/958/7334/3559/8672/3600/3689/3091/3566/3455/8651/5788/961/5699/10225/6688/3717/6892/567/4283/3105/2634/6891/6890/6772,Myeloid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,188,-0.43675638125796,-2.1175712989292,1.19322699071652e-09,1.19322699071652e-08,8.0385818321955e-09,2137,"tags=47%, list=22%, signal=38%",SNRPA1/RNPS1/PGK1/MYC/ERH/RPS5/COPS5/RACK1/RPL6/EIF2S2/DDX21/SRSF1/EXOSC7/DEK/CYC1/EIF4G2/SYNCRIP/SERBP1/EIF3J/PSMA7/MCM6/ABCE1/MRPL9/DUT/RPL22/TFDP1/XRCC6/HPRT1/RPS3/PSMC6/RPS2/HDDC2/CCT7/RPL14/NHP2/NCBP1/VDAC3/TARDBP/NOP16/LDHA/HNRNPA3/CBX3/PSMA1/SNRPA/YWHAE/LSM2/PHB2/CTPS1/TYMS/RPL18/SNRPD1/XPOT/SNRPB2/LSM7/HNRNPR/COX5A/APEX1/PRDX4/TXNL4A/MRPL23/PPIA/HNRNPD/NOLC1/SSBP1/SNRPD2/NME1/GNL3/C1QBP/RANBP1/PSMD7/PRPF31/SET/VDAC1/VBP1/PSMB2/PPM1G/HDGF/SNRPG/SSB/PSMD3/AIMP2/RRP9/PSMB3/PSMA6/NDUFAB1/PSMA2/CUL1/UBE2L3/PSMA4,6627/10921/5230/4609/2079/6193/10987/10399/6128/8894/9188/6426/23016/7913/1537/1982/10492/26135/8669/5688/4175/6059/65005/1854/6146/7027/2547/3251/6188/5706/6187/51020/10574/9045/55651/4686/7419/23435/51491/3939/220988/11335/5682/6626/7531/57819/11331/1503/7298/6141/6632/11260/6629/51690/10236/9377/328/10549/10907/6150/5478/3184/9221/6742/6633/4830/26354/708/5902/5713/26121/6418/7416/7411/5690/5496/3068/6637/6741/5709/7965/9136/5691/5687/4706/5683/8454/7332/5685,Myeloid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,68,-0.446172072134612,-1.84215069728807,0.000284346384664345,0.00236955320553621,0.00159633058057176,661,"tags=25%, list=7%, signal=23%",LTB/IL2RG/IRF9/IL15RA/IL2RA/STAT2/CD44/IL4R/PTPN1/SOCS3/SOCS1/CD38/MYD88/CXCL9/CXCL10/IRF1/STAT1,4050/3561/10379/3601/3559/6773/960/3566/5770/9021/8651/952/4615/4283/3627/3659/6772,Myeloid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,127,-0.352185686439342,-1.61062508844271,0.000934996045106971,0.00667854317933551,0.00449922908923655,1566,"tags=31%, list=16%, signal=27%",EREG/SLC4A4/SGMS2/C5AR1/RIPK2/SELENOS/CD48/CCRL2/RNF144B/IRF7/HBEGF/LY6E/GPR132/SCARF1/TIMP1/MXD1/SELL/PTPRE/PDE4B/CD69/CCL5/SRI/IL15RA/ABI1/GCH1/CD40/IL15/HIF1A/OLR1/IL4R/EIF2AK2/MEFV/CYBB/TAPBP/EMP3/CXCL9/NMI/CXCL10/IRF1/TNFSF10,2069/8671/166929/728/8767/55829/962/9034/255488/3665/1839/4061/29933/8578/7076/4084/6402/5791/5142/969/6352/6717/3601/10006/2643/958/3600/3091/4973/3566/5610/4210/1536/6892/2014/4283/9111/3627/3659/8743,Myeloid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,108,0.362456061092289,1.60563098163486,0.00189880981726171,0.0118675613578857,0.00799498870425984,901,"tags=24%, list=9%, signal=22%",ABCB1/EIF5/HTR7/CDKN1C/BTG2/DNAJB1/AMD1/HMOX1/FOS/FOSB/FKBP4/NR4A1/CCND3/CHKA/JUNB/ARRB2/CYB5R1/CASP3/MMP14/IL6ST/PARP2/SQSTM1/STK25/ATF3/DLG4/PLCL1,5243/1983/3363/1028/7832/3337/262/3162/2353/2354/2288/3164/896/1119/3726/409/51706/836/4323/3572/10038/8878/10494/467/1742/5334,Myeloid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,52,0.432158318396851,1.67312733609015,0.00470237236179941,0.0235118618089971,0.015839570060798,1301,"tags=29%, list=13%, signal=25%",MLF1/SIRT1/PIAS2/IFT88/TLE4/IP6K1/COIL/SPATA6/CCT6B/PARP2/SHE/ARL4A/PHF7/STAM2/ZC3H14,4291/23411/9063/8100/7091/9807/8161/54558/10693/10038/126669/10124/51533/10254/79882,Myeloid dendritic cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,161,0.316223359128291,1.48484472742387,0.00441971444453907,0.0235118618089971,0.015839570060798,1017,"tags=25%, list=10%, signal=23%",CD83/BTG2/DNAJB4/JUN/CCNL1/IER2/CCL2/EGR1/PMEPA1/DUSP1/KLF6/KLF2/GADD45B/EGR2/PHLDA1/FOS/FOSB/PER1/PPP1R15A/MAFF/CCL4/TNF/PNRC1/SGK1/NR4A1/CXCL1/JUNB/REL/IL18/KLF10/TIPARP/EGR3/IL6ST/ZFP36/MARCKS/SQSTM1/ATF3/LDLR/TNFSF9/MCL1,9308/7832/11080/3725/57018/9592/6347/1958/56937/1843/1316/10365/4616/1959/22822/2353/2354/5187/23645/23764/6351/7124/10957/6446/3164/2919/3726/5966/3606/7071/25976/1960/3572/7538/4082/8878/467/3949/8744/4170,Myeloid dendritic cells,HALLMARK,Monaco_fine
