ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,15,0.674829151676708,1.98492329695999,0.000952715455143759,0.0181015936477314,0.0180514507290396,113,"tags=53%, list=17%, signal=45%",NR4A1/CCND3/BTG2/DNAJB1/NFKBIA/IRF1/LYN/HNRNPU,3164/896/7832/3337/4792/3659/4067/3192,Naive B cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,33,0.372531873514011,1.3868013045075,0.082687338501292,0.644556962025316,0.642771485676216,95,"tags=27%, list=14%, signal=25%",GADD45B/NR4A1/CD83/BTG2/CD44/GPR183/EIF1/NFKBIA/IRF1,4616/3164/9308/7832/960/1880/10209/4792/3659,Naive B cells,HALLMARK,Monaco_fine
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,18,0.427152914949352,1.3451367005311,0.134474327628362,0.644556962025316,0.642771485676216,43,"tags=33%, list=6%, signal=32%",GADD45B/CD83/BCL2/NCOA3/CCND3/CD44,4616/9308/596/8202/896/960,Naive B cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,24,0.391541216646876,1.30469624249878,0.143603133159269,0.644556962025316,0.642771485676216,103,"tags=33%, list=15%, signal=29%",P2RY14/NCOA3/ST8SIA4/SP110/NFKBIA/IRF1/CD74/HLA-DRB1,9934/8202/7903/3431/4792/3659/972/3123,Naive B cells,HALLMARK,Monaco_fine
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,15,0.42526786570682,1.25087081966239,0.169620253164557,0.644556962025316,0.642771485676216,154,"tags=53%, list=23%, signal=42%",BTG2/GPR183/NFKBIA/IRF1/CD55/LYN/CD48/SELL,7832/1880/4792/3659/1604/4067/962/6402,Naive B cells,HALLMARK,Monaco_fine
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,12,-0.413823763396625,-1.08365970729588,0.360068259385666,0.896188245315162,0.893705729400162,210,"tags=58%, list=31%, signal=41%",PAFAH1B1/TRIO/TLK1/NEDD9/RASA2/AKAP13/SOS1,5048/7204/9874/4739/5922/11214/6654,Naive B cells,HALLMARK,Monaco_fine
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,15,-0.353438796595991,-0.99410604796999,0.487644151565074,0.896188245315162,0.893705729400162,335,"tags=73%, list=50%, signal=38%",SDCCAG8/BIRC3/DOCK2/LCP1/ETS1/CD37/CTSS/CXCR4/IKZF1/RABGAP1L/ST6GAL1,10806/330/1794/3936/2113/951/1520/7852/10320/9910/6480,Naive B cells,HALLMARK,Monaco_fine
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,17,0.319911484360354,0.993828367802063,0.469733656174334,0.896188245315162,0.893705729400162,41,"tags=18%, list=6%, signal=17%",ZBTB16/CCND3/BTG2,7704/896/7832,Naive B cells,HALLMARK,Monaco_fine
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,13,0.334496233138231,0.971836272606321,0.490291262135922,0.896188245315162,0.893705729400162,43,"tags=23%, list=6%, signal=22%",GADD45B/BTG2/CD44,4616/7832/960,Naive B cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,14,0.32909113993285,0.960841760027333,0.512626262626263,0.896188245315162,0.893705729400162,71,"tags=29%, list=11%, signal=26%",UBE2D3/BTG2/DAPP1/ACTR3,7323/7832/27071/10096,Naive B cells,HALLMARK,Monaco_fine
