ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,31,-0.621003647772935,-2.11578317753239,1.9793510562623e-05,0.000395870211252461,0.000270858565593789,120,"tags=58%, list=20%, signal=49%",JUNB/GPR183/CD44/SLC2A3/BIRC3/BTG2/IRF1/NFKB1/FOS/FOSB/CD69/JUN/DUSP1/NFKBIA/REL/NR4A2/TNFAIP3/NR4A3,3726/1880/960/6515/330/7832/3659/4790/2353/2354/969/3725/1843/4792/5966/4929/7128/8013,Naive CD4 T cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,35,0.486609682767882,1.87576177697849,0.00128373017629556,0.00854272930103608,0.00584502531123521,242,"tags=71%, list=40%, signal=45%",DEK/RSL1D1/EIF4G2/EEF1B2/RPL22/SET/TRA2B/RPS6/HNRNPA2B1/HNRNPU/RPLP0/RPL18/RPS3/SERBP1/RPS2/RPS10/RPL34/EIF4A1/RACK1/HNRNPA1/HNRNPD/PTGES3/RPL6/RPL14/SRSF7,7913/26156/1982/1933/6146/6418/6434/6194/3181/3192/6175/6141/6188/26135/6187/6204/6164/1973/10399/3178/3184/10728/6128/9045/6432,Naive CD4 T cells,HALLMARK,Monaco_fine
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,14,-0.681233676331797,-1.87268968340345,0.00159685346339275,0.00854272930103608,0.00584502531123521,101,"tags=50%, list=17%, signal=43%",SLC2A3/CXCR4/PRKCA/FOS/JUN/DUSP1/TNFAIP3,6515/7852/5578/2353/3725/1843/7128,Naive CD4 T cells,HALLMARK,Monaco_fine
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,14,-0.676235072516131,-1.85894868068699,0.00170854586020722,0.00854272930103608,0.00584502531123521,124,"tags=50%, list=21%, signal=41%",ITGA6/CCND3/ICOS/CD44/SLC2A3/CDC42SE2/RHOH,3655/896/29851/960/6515/56990/399,Naive CD4 T cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,11,-0.698176743370919,-1.76476927800744,0.00394061255558995,0.0157624502223598,0.0107848343626672,101,"tags=45%, list=17%, signal=39%",SLC2A3/CXCR4/BTG2/HSP90B1/ACTR3,6515/7852/7832/7184/10096,Naive CD4 T cells,HALLMARK,Monaco_fine
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,15,-0.592630403124161,-1.65454321610035,0.020331267374639,0.0677708912487965,0.0463695571702292,105,"tags=73%, list=17%, signal=62%",DNAJA1/CD44/BIRC3/CD2/BTG2/ROCK1/IRF1/PDCD4/CD69/JUN/DPYD,3301/960/330/914/7832/6093/3659/27250/969/3725/1806,Naive CD4 T cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,15,-0.560665642201147,-1.56530196546481,0.0403493347414082,0.115283813546881,0.0788783987426025,120,"tags=67%, list=20%, signal=55%",PLCL1/GLS/JUNB/CCND3/DNAJA1/BTG2/IRF1/FOS/FOSB/NFKBIA,5334/2744/3726/896/3301/7832/3659/2353/2354/4792,Naive CD4 T cells,HALLMARK,Monaco_fine
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,13,-0.558077210880471,-1.49946240017901,0.054006968641115,0.124473732381475,0.08516623794522,115,"tags=54%, list=19%, signal=45%",GPR183/BTG2/IRF1/CD55/NFKB1/CD69/NFKBIA,1880/7832/3659/1604/4790/969/4792,Naive CD4 T cells,HALLMARK,Monaco_fine
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,18,-0.492774694479426,-1.45922048546875,0.0560131795716639,0.124473732381475,0.08516623794522,123,"tags=39%, list=20%, signal=32%",EPB41/EZR/ARHGEF3/DOCK2/ROCK1/SSH2/RASA1,2035/7430/50650/1794/6093/85464/5921,Naive CD4 T cells,HALLMARK,Monaco_fine
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,11,-0.553213598669814,-1.39834844454243,0.0830449826989619,0.166089965397924,0.113640502640685,102,"tags=73%, list=17%, signal=62%",UBE2D3/PFN1/PRKCB/IL2RG/CXCR4/HSP90B1/ITPR2/ACTR3,7323/5216/5579/3561/7852/7184/3709/10096,Naive CD4 T cells,HALLMARK,Monaco_fine
