ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,176,-0.659380825514766,-3.14485753265272,1e-10,1.63333333333333e-09,1.01754385964912e-09,1745,"tags=57%, list=18%, signal=48%",RAD1/PRKDC/RFC2/HMGB2/CDC25B/SLBP/PSIP1/STAG1/NOP56/TFRC/NBN/MTHFD2/DUT/TMPO/POLD2/DONSON/TBRG4/HNRNPD/IPO7/MLH1/CKS2/TRA2B/NUP205/UBE2T/HELLS/XRCC6/PHF5A/JPT1/CDK4/CENPE/PTTG1/PRDX4/MYBL2/TOP2A/HUS1/SMC1A/PRIM2/PCNA/CDCA8/ATAD2/MKI67/ANP32E/SNRPB/CDK1/POLD3/CBX5/RACGAP1/BRCA1/RRM2/RANBP1/BARD1/MCM7/RPA3/POLA2/MCM3/PAICS/RFC3/MELK/DNMT1/AURKB/CDKN3/BUB1B/MRE11/KIF2C/TCF19/LYAR/MCM2/MAD2L1/ASF1B/MCM4/WEE1/NASP/LIG1/PLK4/DIAPH3/KIF4A/SPC25/TIMELESS/SRSF2/TIPIN/BIRC5/NME1/CCNB2/POP7/POLE/MMS22L/ORC6/CDC20/TK1/RAD51AP1/DLGAP5/LMNB1/CHEK1/HMMR/BRCA2/MCM5/CIT/GINS4/MCM6/CENPM,5810/5591/5982/3148/994/7884/11168/10274/10528/7037/4683/10797/1854/7112/5425/29980/9238/3184/10527/4292/1164/6434/23165/29089/3070/2547/84844/51155/1019/1062/9232/10549/4605/7153/3364/8243/5558/5111/55143/29028/4288/81611/6628/983/10714/23468/29127/672/6241/5902/580/4176/6119/23649/4172/10606/5983/9833/1786/9212/1033/701/4361/11004/6941/55646/4171/4085/55723/4173/7465/4678/3978/10733/81624/24137/57405/8914/6427/54962/332/4830/9133/10248/5426/253714/23594/991/7083/10635/9787/4001/1111/3161/675/4174/11113/84296/4175/79019,Natural killer cells,HALLMARK,Monaco_fine
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,171,-0.609549786535346,-2.88135439178147,1e-10,1.63333333333333e-09,1.01754385964912e-09,1371,"tags=44%, list=14%, signal=39%",UCK2/HNRNPD/SLC7A5/ATRX/TOP1/CKS2/DBF4/TRA2B/AMD1/NUSAP1/INCENP/JPT1/SMARCC1/CDK4/CBX1/KNL1/CENPE/PTTG1/MYBL2/SNRPD1/SMC2/TOP2A/HUS1/KIF23/SFPQ/SMC1A/PRIM2/MKI67/PRC1/CDK1/TFDP1/KIF20B/BCL3/RACGAP1/BARD1/CDC7/TPX2/POLA2/TTK/MCM3/TGFB1/BUB1/GINS2/AURKB/KPNB1/CDKN3/WRN/KIF2C/MCM2/UBE2C/MAD2L1/KIF11/NASP/CDC45/PLK4/KIF4A/E2F1/SRSF2/CDC6/BIRC5/CCNB2/POLE/ORC6/CDC20/CCNA2/LMNB1/NDC80/CASP8AP2/POLQ/MT2A/CHEK1/KIF15/HMMR/BRCA2/MCM5/MCM6,7371/3184/8140/546/7150/1164/10926/6434/262/51203/3619/51155/6599/1019/10951/57082/1062/9232/4605/6632/10592/7153/3364/9493/6421/8243/5558/4288/9055/983/7027/9585/602/29127/580/8317/22974/23649/7272/4172/7040/699/51659/9212/3837/1033/7486/11004/4171/11065/4085/3832/4678/8318/10733/24137/1869/6427/990/332/9133/5426/23594/991/890/4001/10403/9994/10721/4502/1111/56992/3161/675/4174/4175,Natural killer cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,156,-0.535684179958233,-2.50204104820468,1e-10,1.63333333333333e-09,1.01754385964912e-09,1617,"tags=42%, list=16%, signal=35%",TRIM25/CMPK2/CD38/MTHFD2/PFKP/MYD88/RNF31/TNFAIP3/NFKBIA/PNPT1/ISG15/BPGM/ZNFX1/STAT4/SAMD9L/AUTS2/PSME1/TNFSF10/RBCK1/NMI/RIPK2/GZMA/B2M/STAT3/CD74/CASP8/NAMPT/HLA-DQA1/CD69/RNF213/ARID5B/PELI1/DDX60/UPP1/HLA-A/PSMA3/RSAD2/ISG20/PARP12/ADAR/PSMB10/PSME2/IL15/UBE2L6/PSMB8/HLA-B/TRIM21/HLA-DRB1/APOL6/FGL2/XAF1/LAP3/NLRC5/MX1/MT2A/OAS2/IRF1/TAP1/LY6E/GBP4/PSMB9/EPSTI1/SLAMF7/IRF9/STAT1,7706/129607/952/10797/5214/4615/55072/7128/4792/87178/9636/669/57169/6775/219285/26053/5720/8743/10616/9111/8767/3001/567/6774/972/841/10135/3117/969/57674/84159/57162/55601/7378/3105/5684/91543/3669/64761/103/5699/5721/3600/9246/5696/3106/6737/3123/80830/10875/54739/51056/84166/4599/4502/4939/3659/6890/4061/115361/5698/94240/57823/10379/6772,Natural killer cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,81,-0.590718000869691,-2.47781648317855,3.36616851973167e-10,4.1235564366713e-09,2.56891808084786e-09,1369,"tags=42%, list=14%, signal=36%",RNF31/CD47/PNPT1/ISG15/SAMD9L/PSME1/NMI/RIPK2/B2M/CD74/CASP8/DDX60/PSMA3/RSAD2/ISG20/PARP12/ADAR/PSME2/IL15/UBE2L6/PSMB8/GBP2/TRIM21/HLA-C/LAP3/MX1/PARP9/IRF1/TAP1/LY6E/GBP4/PSMB9/EPSTI1/IRF9,55072/961/87178/9636/219285/5720/9111/8767/567/972/841/55601/5684/91543/3669/64761/103/5721/3600/9246/5696/2634/6737/3107/51056/4599/83666/3659/6890/4061/115361/5698/94240/10379,Natural killer cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,195,-0.4228027841851,-2.03208520745526,2.36152763247067e-08,2.31429707982126e-07,1.44177476508736e-07,1591,"tags=35%, list=16%, signal=30%",NOP56/HPRT1/TOMM70/SNRPA1/HNRNPA3/DUT/XPOT/ILF2/POLD2/HNRNPD/HNRNPR/PSMA6/HNRNPA2B1/GNL3/TRA2B/FAM120A/CCT3/SNRPG/EIF4A1/SRSF3/CDK2/STARD7/PSMD7/XRCC6/PSMD1/SMARCC1/CCT7/CDK4/DDX18/PSMD8/EIF3J/CCT2/DDX21/PRDX4/HSPE1/SNRPD1/PSMC4/VBP1/EIF3B/LDHA/PCNA/NDUFAB1/PSMA4/TFDP1/EIF2S2/SRSF7/PSMD14/RANBP1/RRM1/MCM7/TYMS/VDAC3/KPNB1/MCM2/HSPD1/CYC1/HDDC2/MAD2L1/MCM4/CDC45/SRSF2/NME1/CDC20/CCNA2/SRPK1/RFC4/MCM5/MCM6,10528/3251/9868/6627/220988/1854/11260/3608/5425/3184/10236/5687/3181/26354/6434/23196/7203/6637/1973/6428/1017/56910/5713/2547/5707/6599/10574/1019/8886/5714/8669/10576/9188/10549/3336/6632/5704/7411/8662/3939/5111/4706/5685/7027/8894/6432/10213/5902/6240/4176/7298/7419/3837/4171/3329/1537/51020/4085/4173/8318/6427/4830/991/890/6732/5984/4174/4175,Natural killer cells,HALLMARK,Monaco_fine
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,169,-0.426893475050499,-2.02588738626682,1.45911774825822e-07,1.19161282774421e-06,7.42358152622604e-07,1532,"tags=31%, list=16%, signal=27%",PCNT/TAOK2/SASS6/TUBD1/ARFIP2/ARHGDIA/ALS2/AKAP13/TIAM1/KIF1B/RAPGEF5/TUBGCP3/NUSAP1/PLEKHG2/INCENP/VCL/KIF3B/SSH2/CENPE/LRPPRC/EZR/TOP2A/KIF23/SMC1A/DLG1/PRC1/CDK1/KIF20B/ALMS1/RACGAP1/ABI1/TPX2/TUBA4A/TTK/BUB1/CAPZB/FLNA/NET1/KIF2C/BCR/KIF11/KIF4A/BIRC5/CCNB2/ECT2/DLGAP5/LMNB1/NDC80/ANLN/KIF15/KNTC1/SAC3D1/BRCA2,5116/9344/163786/51174/23647/396/57679/11214/7074/23095/9771/10426/51203/64857/3619/7414/9371/85464/1062/10128/7430/7153/9493/8243/1739/9055/983/9585/7840/29127/10006/22974/7277/7272/699/832/2316/10276/11004/613/3832/24137/332/9133/1894/9787/4001/10403/54443/56992/9735/29901/675,Natural killer cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,137,-0.391159200326449,-1.80400386442956,3.90236400166531e-05,0.000273165480116572,0.000170178279771871,1090,"tags=28%, list=11%, signal=26%",CD2/CD79A/STAT4/TRAF2/RIPK2/GZMA/B2M/CD74/CCR1/EIF3J/ITGAL/HLA-DQA1/IFNG/CCL4/PTPRC/ETS1/BCL3/BRCA1/HLA-A/ABI1/IL12RB1/TGFB1/PSMB10/FLNA/ITGB2/HLA-E/HLA-DRA/IL15/PRF1/GBP2/LY75/PRKCB/NME1/FASLG/FYB1/TAP2/TAP1/GZMB/STAT1,914/973/6775/7186/8767/3001/567/972/1230/8669/3683/3117/3458/6351/5788/2113/602/672/3105/10006/3594/7040/5699/2316/3689/3133/3122/3600/5551/2634/4065/5579/4830/356/2533/6891/6890/3002/6772,Natural killer cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,144,-0.384398863479993,-1.78436392109871,5.36499354941522e-05,0.000328605854901682,0.000204716859122423,2066,"tags=49%, list=21%, signal=39%",BIRC3/SOCS3/MAP2K3/IFIH1/GCH1/DUSP5/SLC16A6/PHLDA1/MYC/KLF4/DUSP1/SAT1/TNFRSF9/IL15RA/BTG3/SDC4/NFKB1/TIPARP/BHLHE40/MAP3K8/ID2/BCL2A1/NR4A2/NR4A3/PPP1R15A/REL/KLF2/DUSP4/B4GALT5/BIRC2/ZFP36/PTGER4/PLEK/TNFAIP3/NFKBIA/ATF3/JUN/IER2/BTG2/DUSP2/JUNB/TNFSF9/CCNL1/CFLAR/RIPK2/ATP2B1/NAMPT/FOS/STAT5A/RCAN1/CD69/RNF19B/MXD1/FOSL2/ETS2/CD44/CCL4/TRAF1/KLF6/BCL3/EGR2/B4GALT1/NINJ1/NFE2L2/KDM6B/CEBPD/MCL1/IRF1/TAP1/LITAF,330/9021/5606/64135/2643/1847/9120/22822/4609/9314/1843/6303/3604/3601/10950/6385/4790/25976/8553/1326/3398/597/4929/8013/23645/5966/10365/1846/9334/329/7538/5734/5341/7128/4792/467/3725/9592/7832/1844/3726/8744/57018/8837/8767/490/10135/2353/6776/1827/969/127544/4084/2355/2114/960/6351/7185/1316/602/1959/2683/4814/4780/23135/1052/4170/3659/6890/9516,Natural killer cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,172,-0.355611362723621,-1.68635648424064,0.000196040105749116,0.00106732946463408,0.00066493135283326,2163,"tags=37%, list=22%, signal=29%",HSPA4/MTHFD2L/CORO1A/BHLHE40/HMGCS1/ADD3/PGK1/PSMC6/PPP1R15A/CXCR4/NMT1/HSPA5/TXNRD1/HSP90B1/ACTR3/SLA/HPRT1/PDK1/TFRC/ELOVL5/MTHFD2/CALR/XBP1/EEF1E1/SLC7A5/SDF2L1/GBE1/PPA1/SHMT2/ARPC5L/UBE2D3/NUP205/BTG2/NFKBIB/CTH/NAMPT/ENO1/CTSC/HSPE1/PSMC4/USO1/LDHA/DHFR/PSMA4/CCNG1/EIF2S2/PSMD14/SLC1A4/UCHL5/RRM2/PSMA3/TUBA4A/PSME3/BUB1/ITGB2/PSMC2/SLC1A5/MCM2/HSPD1/MCM4/FGL2/GLRX/PSMB5,3308/441024/11151/8553/3157/120/5230/5706/23645/7852/4836/3309/7296/7184/10096/6503/3251/5163/7037/60481/10797/811/7494/9521/8140/23753/2632/5464/6472/81873/7323/23165/7832/4793/1491/10135/2023/1075/3336/5704/8615/3939/1719/5685/900/8894/10213/6509/51377/6241/5684/7277/10197/699/3689/5701/6510/4171/3329/4173/10875/2745/5693,Natural killer cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,-0.337710901241632,-1.63221793933471,0.000233297829849956,0.00114315936626478,0.000712172322699865,2448,"tags=36%, list=25%, signal=27%",NDUFC2/AIFM1/SLC25A11/SLC25A12/MRPL11/UQCR10/MDH1/PDHX/PHYH/NDUFB3/SUPV3L1/ATP5MC3/GLUD1/ATP5ME/NDUFA6/COX6C/PRDX3/CASP7/COX7A2/NDUFA8/SDHB/TIMM8B/POR/TIMM17A/ATP5PB/NDUFC1/DLST/NDUFB7/NDUFV1/NDUFS3/PDHB/NDUFS1/NDUFS4/MRPS11/TOMM70/ATP5F1B/POLR2F/ETFA/ACAA2/PDHA1/UQCRC2/HADHB/COX5B/NDUFA5/LDHB/ETFDH/FDX1/ATP5PO/MTRR/COX7B/LRPPRC/NDUFA7/AFG3L2/SDHA/NDUFS6/IDH3B/MRPS12/IDH2/LDHA/NDUFAB1/MRPL35/FH/NDUFV2/VDAC3/ACO2/CYC1/OGDH/MRPS15/MFN2/ACAT1/CYCS,4718/9131/8402/8604/65003/29796/4190/8050/5264/4709/6832/518/2746/521/4700/1345/10935/840/1347/4702/6390/26521/5447/10440/515/4717/1743/4713/4723/4722/5162/4719/4724/64963/9868/506/5435/2108/10449/5160/7385/3032/1329/4698/3945/2110/2230/539/4552/1349/10128/4701/10939/6389/4726/3420/6183/3418/3939/4706/51318/2271/4729/7419/50/1537/4967/64960/9927/38/54205,Natural killer cells,HALLMARK,Monaco_fine
