ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,42,0.68829974084016,2.48566955129351,9.29324587451185e-09,2.13744655113773e-07,1.85864917490237e-07,104,"tags=62%, list=18%, signal=55%",KLF4/FOSB/GCH1/IER2/ZFP36/NR4A1/IER5/IRF1/NFE2L2/ATF3/CCNL1/BTG2/EIF1/CD83/SOD2/FOS/KLF2/DUSP1/PNRC1/CD44/JUNB/IL1B/HES1/MCL1/KYNU/RHOB,9314/2354/2643/9592/7538/3164/51278/3659/4780/467/57018/7832/10209/9308/6648/2353/10365/1843/10957/960/3726/3553/3280/4170/8942/388,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,22,0.675420546337822,2.05759814600234,9.11219393325046e-05,0.0010479023023238,0.000911219393325047,116,"tags=68%, list=20%, signal=57%",FOSB/GCH1/NR4A1/IRF1/DNAJA1/TMBIM6/CCND3/ATF3/BTG2/SOD2/FOS/JUNB/BID/RHOB/DNAJB1,2354/2643/3164/3659/3301/7009/896/467/7832/6648/2353/3726/637/388/3337,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,20,0.55869350267194,1.6778176979899,0.0168082397728552,0.12886317159189,0.112054931819035,149,"tags=55%, list=25%, signal=42%",GCH1/IRF1/CD55/BTG2/C5AR1/IL1B/TNFSF10/RNF144B/PLAUR/ATP2B1/NFKBIA,2643/3659/1604/7832/728/3553/8743/255488/5329/490/4792,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,20,0.501360033278541,1.50563901831069,0.0563036500604931,0.239444765760555,0.208212839791787,47,"tags=30%, list=8%, signal=29%",KLF4/IER5/CCND3/ATF3/BTG2/FOS,9314/51278/896/467/7832/2353,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,10,-0.593025122308038,-1.47796956598401,0.0680933852140078,0.239444765760555,0.208212839791787,173,"tags=70%, list=30%, signal=50%",SLC25A6/ATP6V0C/COX7C/ATP5MG/SLC25A3/ATP5F1E/UQCRB,293/527/1350/10632/5250/514/7381,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,25,0.465849178673074,1.46237363143784,0.0496986471471318,0.239444765760555,0.208212839791787,135,"tags=52%, list=23%, signal=42%",GCH1/IRF1/DNAJA1/ATF3/BTG2/SOD2/CD44/IL1B/MCL1/BID/RHOB/TNFSF10/ANXA1,2643/3659/3301/467/7832/6648/960/3553/4170/637/388/8743/301,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,20,0.486231626452479,1.46020675787851,0.0728744939271255,0.239444765760555,0.208212839791787,150,"tags=50%, list=26%, signal=39%",ZFP36/ATF3/FOS/DUSP1/PNRC1/ENO1/ANXA2/PLAUR/PPP1R15A/BTG1,7538/467/2353/1843/10957/2023/302/5329/23645/694,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,11,0.475914081566874,1.19791931942321,0.247967479674797,0.712906504065041,0.619918699186992,91,"tags=55%, list=16%, signal=47%",KLF4/FOS/ELF1/CD44/HES1/PAPSS2,9314/2353/1997/960/3280/9060,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,12,0.43551206537947,1.13637178608778,0.286004056795132,0.730899256254226,0.635564570655849,33,"tags=17%, list=6%, signal=16%",CCND3/BTG2,896/7832,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,19,0.344800147002257,1.02851375708115,0.42315369261477,0.843786982248521,0.733727810650888,146,"tags=37%, list=25%, signal=29%",KLF4/LAPTM5/IL1B/MAFB/PECAM1/PLAUR/PPP1R15A,9314/7805/3553/9935/5175/5329/23645,Non classical monocytes,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,12,0.368366591752781,0.961170619786255,0.486815415821501,0.843786982248521,0.733727810650888,91,"tags=42%, list=16%, signal=36%",KLF4/ZFP36/FOS/CD44/PAPSS2,9314/7538/2353/960/9060,Non classical monocytes,HALLMARK,Monaco_fine
