ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,26,-0.619039416983595,-1.99158615268539,0.000461773153959045,0.00854280334824232,0.00826330907084606,188,"tags=38%, list=10%, signal=35%",SERP1/PDIA6/NABP1/CALR/YWHAZ/HSP90B1/HSPA9/SPCS1/HSPA5/EIF4A3,27230/10130/64859/811/7534/7184/3313/28972/3309/9775,Non-switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,51,-0.504814181331402,-1.89004411633975,0.000241805584457281,0.00854280334824232,0.00826330907084606,476,"tags=49%, list=26%, signal=37%",SKAP2/ENO1/CYP51A1/DDIT4/CYB5B/ADD3/STIP1/ARPC5L/INSIG1/TFRC/SERP1/EIF2S2/PRDX1/CORO1A/GAPDH/IDI1/CALR/CANX/HSP90B1/HSPA9/SQSTM1/HSPA5/ADIPOR2/ACTR2/IFI30,8935/2023/1595/54541/80777/120/10963/81873/3638/7037/27230/8894/5052/11151/2597/3422/811/821/7184/3313/8878/3309/79602/10097/10437,Non-switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,27,0.455918794498195,1.5587733258148,0.0352119684823105,0.40387323943662,0.390659747961453,168,"tags=22%, list=9%, signal=20%",FCMR/NRIP1/EGR3/CHPT1/ABLIM1/INPP5F,9214/8204/1960/56994/3983/22876,Non-switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,20,-0.504430388255234,-1.52062940610613,0.0522648083623693,0.40387323943662,0.390659747961453,438,"tags=40%, list=24%, signal=31%",G3BP2/CHCHD10/UCP2/PPM1B/NABP1/ADIPOR2/PPP1R15B/RREB1,9908/400916/7351/5495/64859/79602/84919/6239,Non-switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,26,-0.462547652567717,-1.48811767803052,0.0545774647887324,0.40387323943662,0.390659747961453,341,"tags=31%, list=19%, signal=25%",INSIG1/TNFAIP8/UBE2I/IDI1/PIAS1/UBE2J1/ARID5B/ELL2,3638/25816/7329/3422/8554/51465/84159/22936,Non-switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,54,-0.333516995487089,-1.26493430185332,0.119205298013245,0.735099337748344,0.711049146043918,286,"tags=20%, list=16%, signal=18%",NFKB1/PARP14/PSMB9/ADAR/ARID5B/PTPN1/CD40/STAT3/IFI30/STAT1/BANK1,4790/54625/5698/103/84159/5770/958/6774/10437/6772/55024,Non-switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,31,0.344614426215695,1.22275853296465,0.157772621809745,0.833140877598152,0.805883067947004,263,"tags=32%, list=14%, signal=28%",AKT3/PHF3/CDKN1B/TGFBR2/VAV2/RUNX1/PTEN/DUSP1/RASA2/NIPBL,10000/23469/1027/7048/7410/861/5728/1843/5922/25836,Non-switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,24,0.368289865041515,1.21745480183847,0.18013856812933,0.833140877598152,0.805883067947004,346,"tags=29%, list=19%, signal=24%",NRIP1/EGR3/CHPT1/PTPN6/JAK1/FOS/PDCD4,8204/1960/56994/5777/3716/2353/27250,Non-switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,14,-0.45036972936124,-1.22871219982587,0.204301075268817,0.839904420549582,0.812425328554361,670,"tags=64%, list=37%, signal=41%",SAT1/GLIPR1/NOTCH2/JUN/BASP1/COPA/PPIB/TGFB1/VIM,6303/11010/4853/3725/10409/1314/5479/7040/7431,Non-switched memory B cells,HALLMARK,Monaco_fine
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,35,-0.328780621880776,-1.12335062596167,0.277296360485269,0.987593052109181,0.955282041869478,686,"tags=54%, list=38%, signal=35%",SYNCRIP/PNN/XRCC6/SRSF1/DUT/LBR/RAN/NAP1L1/RAD21/ANP32E/MYC/TFRC/SNRPB/SRSF2/PRKDC/TRA2B/SMC1A/NASP/ILF3,10492/5411/2547/6426/1854/3930/5901/4673/5885/81611/4609/7037/6628/6427/5591/6434/8243/4678/3609,Non-switched memory B cells,HALLMARK,Monaco_fine
