ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,119,-0.460953438216426,-2.19218304970831,5.00610256783051e-08,2.45299025823695e-06,1.42278704559394e-06,1517,"tags=43%, list=21%, signal=34%",BRCA2/WEE1/SLBP/RFC1/POLD3/CNOT9/TACC3/BRMS1L/DNMT1/NUDT21/DUT/RANBP1/RPA1/CENPM/SRSF2/SNRPB/ANP32E/CTCF/HMGA1/MCM7/SMC4/USP1/UBE2S/IPO7/NAA38/TUBB/HNRNPD/PCNA/RBBP7/ILF3/CKS2/PRPS1/RAN/RFC3/STMN1/MCM3/LMNB1/SSRP1/ATAD2/LBR/PTTG1/JPT1/RPA3/KPNA2/HMGB2/MMS22L/SMC6/DCK/PA2G4/CDKN2A/HELLS,675/7465/7884/5981/10714/9125/10460/84312/1786/11051/1854/5902/6117/79019/6427/6628/81611/10664/3159/4176/10051/7398/27338/10527/84316/203068/3184/5111/5931/3609/1164/5631/5901/5983/3925/4172/4001/6749/29028/3930/9232/51155/6119/3838/3148/253714/79677/1633/5036/1029/3070,T regulatory cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,117,-0.452095588307131,-2.14008727976284,1.73928812095367e-07,4.2612558963365e-06,2.47161996135522e-06,1083,"tags=37%, list=15%, signal=32%",CD4/CD79A/CD3G/GZMA/HLA-A/SIT1/EIF4G3/IL2RG/ZAP70/RIPK2/GALNT1/UBE2D1/CXCL13/IRF4/IL7/AKT1/HCLS1/PRF1/CD74/GCNT1/TAP2/CD3D/IL2RA/CTSS/EIF5A/CCR5/GBP2/PSMB10/GZMB/CD2/CD7/CSF1/BCL3/CCL5/STAT1/UBE2N/IL10/CXCR3/LTB/LCK/CDKN2A/IL2RB/CSK,920/973/917/3001/3105/27240/8672/3561/7535/8767/2589/7321/10563/3662/3574/207/3059/5551/972/2650/6891/915/3559/1520/1984/1234/2634/5699/3002/914/924/1435/602/6352/6772/7334/3586/2833/4050/3932/1029/3560/1445,T regulatory cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,128,-0.425533205012986,-2.06915308541031,4.80059001234512e-07,7.84096368683036e-06,4.54792738011643e-06,1665,"tags=45%, list=23%, signal=35%",VAMP5/PTPN6/PSMB8/PTPN1/CD69/RAPGEF6/PARP12/TAP1/STAT2/SOCS3/NFKBIA/LY6E/NFKB1/PSME2/PSMA3/SPPL2A/GZMA/PDE4B/VAMP8/HLA-A/RIPK2/EPSTI1/EIF2AK2/IRF4/IL7/UPP1/SP110/EIF4E3/PSMB9/CD74/CASP1/IL10RA/PELI1/IRF2/ADAR/IRF1/PIM1/TNFAIP3/NAMPT/XAF1/PARP14/ISG15/PSMA2/PTPN2/PSMB10/DDX60/CCL5/HERC6/STAT1/SAMHD1/GBP4/ZBP1/ARID5B/ST3GAL5/RNF213/IL2RB/MX1/CASP8,10791/5777/5696/5770/969/51735/64761/6890/6773/9021/4792/4061/4790/5721/5684/84888/3001/5142/8673/3105/8767/94240/5610/3662/3574/7378/3431/317649/5698/972/834/3587/57162/3660/103/3659/5292/7128/10135/54739/54625/9636/5683/5771/5699/55601/6352/55008/6772/25939/115361/81030/84159/8869/57674/3560/4599/841,T regulatory cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,180,-0.366148494395758,-1.8450759544454,2.97096800374364e-06,3.63943580458595e-05,2.11095095002837e-05,1700,"tags=39%, list=24%, signal=31%",NDUFB5/SLC25A5/ACAA2/COX6B1/NDUFS3/ECHS1/ATP1B1/ATP5MF/SDHD/ATP6V1C1/NDUFA6/MDH2/GLUD1/SLC25A20/MRPL11/NDUFA1/ATP5PD/NDUFA9/TIMM8B/ETFB/ATP6V1E1/COX5B/MRPL34/ALAS1/SUCLG1/HSD17B10/VDAC1/TCIRG1/LDHB/SLC25A12/UQCRQ/NDUFB3/COX8A/COX17/ETFA/NDUFB8/OPA1/MDH1/SLC25A11/CYCS/ATP5F1A/COX7B/NDUFAB1/LDHA/NDUFA5/NDUFB7/ATP6V0E1/ATP5MC3/UQCRFS1/NDUFB1/COX5A/NDUFA8/NDUFS7/COX6C/ATP5PF/NDUFS6/BAX/ATP5PB/NDUFB2/HSPA9/OXA1L/MRPS15/UQCR10/COX7A2/NDUFC2/ATP5F1B/SLC25A3/VDAC3/ATP5F1C/NDUFA7/IDH3A,4711/292/10449/1340/4722/1892/481/9551/6392/528/4700/4191/2746/788/65003/4694/10476/4704/26521/2109/529/1329/64981/211/8802/3028/7416/10312/3945/8604/27089/4709/1351/10063/2108/4714/4976/4190/8402/54205/498/1349/4706/3939/4698/4713/8992/518/7386/4707/9377/4702/374291/1345/522/4726/581/515/4708/3313/5018/64960/29796/1347/4718/506/5250/7419/509/4701/3419,T regulatory cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,174,-0.345974870459883,-1.74279250404692,4.45695168499286e-05,0.0004367812651293,0.000253342516831173,1844,"tags=41%, list=26%, signal=31%",BUB3/SRSF1/RAD23B/UBE2L3/HNRNPA2B1/PSMA6/NOLC1/SSBP1/TRA2B/RRM1/TUFM/STARD7/DDX21/HSP90AB1/SRPK1/C1QBP/SMARCC1/CCT7/PSMC6/PTGES3/NPM1/HDAC2/PSMA1/PCBP1/HNRNPR/HNRNPC/PSMD8/DDX18/DUT/PPIA/RANBP1/VDAC1/HDDC2/SRSF2/GNL3/ERH/ODC1/LSM7/PGK1/APEX1/SNRPD1/MCM7/USP1/SERBP1/NDUFAB1/LDHA/HNRNPD/PCNA/PSMC4/EIF4A1/PSMA7/HNRNPU/COX5A/RAN/PSMB3/HSPD1/SNRPA1/SET/PSMA2/PSMD1/SNRPG/LSM2/HPRT1/PSMD7/KPNA2/SLC25A3/PSMA4/PSMD14/VDAC3/HNRNPA3/PA2G4,9184/6426/5887/7332/3181/5687/9221/6742/6434/6240/7284/56910/9188/3326/6732/708/6599/10574/5706/10728/4869/3066/5682/5093/10236/3183/5714/8886/1854/5478/5902/7416/51020/6427/26354/2079/4953/51690/5230/328/6632/4176/7398/26135/4706/3939/3184/5111/5704/1973/5688/3192/9377/5901/5691/3329/6627/6418/5683/5707/6637/57819/3251/5713/3838/5250/5685/10213/7419/220988/5036,T regulatory cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,66,-0.430807999420319,-1.81894736460565,0.00032924566973191,0.00268883963614393,0.00155958475136168,1496,"tags=44%, list=21%, signal=35%",PARP12/TAP1/STAT2/LY6E/PSME2/PSMA3/PARP9/RIPK2/EPSTI1/EIF2AK2/IL7/SP110/PSMB9/CD74/CASP1/SAMD9/IRF2/ADAR/IRF1/PARP14/TMEM140/ISG15/GBP2/DDX60/CSF1/HERC6/GBP4/MX1/CASP8,64761/6890/6773/4061/5721/5684/83666/8767/94240/5610/3574/3431/5698/972/834/54809/3660/103/3659/54625/55281/9636/2634/55601/1435/55008/115361/4599/841,T regulatory cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,76,0.437158137497076,1.77335643321847,0.000702034364005705,0.00491424054803994,0.00285036508694046,1884,"tags=43%, list=26%, signal=32%",NRP1/AKT3/ACVR2A/CAV1/CDK13/ICA1/SMAD3/ATXN1/PRKCA/DUSP1/ADD3/TOGARAM1/DYRK1A/ABCC1/NIPBL/ATP2B1/BHLHE40/MAPK14/SLC7A1/PTPRM/PEX14/NEK7/MAP2K5/PDLIM5/PHF3/IGF1R/SRI/TENT4A/NR3C1/SPOP/ZMIZ1/BMPR1A/TGFBR3,8829/10000/92/857/8621/3382/4088/6310/5578/1843/120/23116/1859/4363/25836/490/8553/1432/6541/5797/5195/140609/5607/10611/23469/3480/6717/11044/2908/8405/57178/657/7049,T regulatory cells,HALLMARK,Monaco_fine
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,10,0.767541428493944,1.92985205015972,0.00162400065893989,0.00994700403600685,0.0057694760251812,486,"tags=50%, list=7%, signal=47%",NRP1/RASA1/NRP2/ADGRG1/NF1,8829/5921/8828/9289/4763,T regulatory cells,HALLMARK,Monaco_fine
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,107,-0.340852610694314,-1.5921705625682,0.00267238882853185,0.0133937402455492,0.00776865707045818,2266,"tags=52%, list=32%, signal=36%",SDCBP/NCBP2/TP53/TSG101/ALYREF/POLL/NME3/DDB2/POLR2A/ERCC4/BCAP31/ARL6IP1/SRSF6/GTF2A2/TMED2/PRIM1/LIG1/GMPR2/RPA2/ADRM1/NT5C/POLR2E/DAD1/CSTF3/POLR2D/POLD3/POLR2H/MPC2/NUDT21/POLB/DUT/TAF9/PDE4B/DDB1/POLR2J/COX17/TAF12/POLR2I/RBX1/REV3L/HCLS1/USP11/MPG/PCNA/AGO4/DGUOK/POLA1/RFC3/GTF2H1/SSRP1/HPRT1/SUPT4H1/UMPS/RPA3/GUK1/VPS37B,6386/22916/7157/7251/10189/27343/4832/1643/5430/2072/10134/23204/6431/2958/10959/5557/3978/51292/6118/11047/30833/5434/1603/1479/5433/10714/5437/25874/11051/5423/1854/6880/5142/1642/5439/10063/6883/5438/9978/5980/3059/8237/4350/5111/192670/1716/5422/5983/2965/6749/3251/6827/7372/6119/2987/79720,T regulatory cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,117,-0.331571725860534,-1.56956283404623,0.00289099988662629,0.0133937402455492,0.00776865707045818,1713,"tags=42%, list=24%, signal=32%",GADD45B/JUNB/TIPARP/NFE2L2/BCL6/CD69/TAP1/ATF3/TRAF1/SOCS3/CCL4/NFKBIA/IER2/B4GALT5/KDM6B/NFKB1/CCL20/NR4A3/PDE4B/MAP3K8/AREG/BTG3/STAT5A/GADD45A/TANK/RIPK2/RELB/REL/EHD1/B4GALT1/BTG2/CFLAR/MAP2K3/IRF1/TNFAIP3/NAMPT/BIRC3/DUSP2/DUSP5/TNFRSF9/CSF1/DNAJB4/BCL3/FOSL2/CCL5/TNIP2/NINJ1/ZFP36/SAT1,4616/3726/25976/4780/604/969/6890/467/7185/9021/6351/4792/9592/9334/23135/4790/6364/8013/5142/1326/374/10950/6776/1647/10010/8767/5971/5966/10938/2683/7832/8837/5606/3659/7128/10135/330/1844/1847/3604/1435/11080/602/2355/6352/79155/4814/7538/6303,T regulatory cells,HALLMARK,Monaco_fine
