ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,10,0.621254229521693,1.63738099207588,0.0273290936721568,0.673177083333333,0.673177083333333,118,"tags=40%, list=9%, signal=37%",S100A11/SREBF2/IDI1/CYP51A1,6282/6721/3422/1595,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,43,-0.38071183350856,-1.37528291404752,0.0729166666666667,0.673177083333333,0.673177083333333,315,"tags=42%, list=25%, signal=33%",STAT4/LCK/RPL39/IL2/RPS9/RPS3A/CD96/HLA-E/ETS1/HLA-A/CD3D/RPS19/TRAT1/B2M/PRKCB/CD3E/CD3G/CD40LG,6775/3932/6170/3558/6203/6189/10225/3133/2113/3105/915/6223/50852/567/5579/916/917/959,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,34,-0.402534953943932,-1.37281808483819,0.0815972222222222,0.673177083333333,0.673177083333333,123,"tags=32%, list=10%, signal=30%",TXNIP/RPS12/PPP1R15A/DDIT4/FBXW7/KIF13B/FOS/ZBTB16/PRMT2/JUN/TSPYL2,10628/6206/23645/54541/55294/23303/2353/7704/3275/3725/64061,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,32,0.379871900101215,1.36964636308375,0.0687203791469194,0.673177083333333,0.673177083333333,85,"tags=22%, list=7%, signal=21%",RUNX1/ATP2B1/YTHDC1/NEK7/SIPA1L1/DYRK1A/CDK13,861/490/91746/140609/26037/1859/8621,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,13,-0.47209860487445,-1.24728604427442,0.197368421052632,0.813008130081301,0.813008130081301,223,"tags=31%, list=17%, signal=26%",UQCR11/GPHN/PDCD4/COX6A1,10975/10243/27250/1337,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,21,-0.411447205861294,-1.24559298936638,0.197106690777577,0.813008130081301,0.813008130081301,447,"tags=57%, list=35%, signal=38%",PTPRC/AKT3/CD99/EVL/INSIG1/ACTG1/RASA1/PFN1/ACTB/RAC2/MYH9/DLG1,5788/10000/4267/51466/3638/71/5921/5216/60/5880/4627/1739,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,51,-0.324630618395877,-1.20685390073569,0.166377816291161,0.813008130081301,0.813008130081301,130,"tags=18%, list=10%, signal=17%",NFAT5/PPP1R15A/FOS/BIRC3/IL7R/CFLAR/JUN/NR4A3/NR4A1,10725/23645/2353/330/3575/8837/3725/8013/3164,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,37,-0.344035631061027,-1.19751952738159,0.18499127399651,0.813008130081301,0.813008130081301,337,"tags=41%, list=26%, signal=31%",NR3C1/BCL2/KLF6/UGP2/PGK1/CXCR4/BTG1/RORA/RBPJ/ETS1/PPP1R15A/DDIT4/FOS/MYH9/JUN,2908/596/1316/7360/5230/7852/694/6095/3516/2113/23645/54541/2353/4627/3725,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,27,0.334658926379845,1.16857742454293,0.221729490022173,0.813008130081301,0.813008130081301,50,"tags=15%, list=4%, signal=15%",IRF1/HSPA1A/CD46/GNG2,3659/3303/4179/54331,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,15,-0.427123410585575,-1.18444753193899,0.255597014925373,0.843470149253731,0.843470149253731,90,"tags=27%, list=7%, signal=25%",COPA/GLIPR1/TPM4/JUN,1314/11010/7171/3725,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,14,0.389260725084056,1.12176355329115,0.31317494600432,0.848117080135642,0.848117080135642,239,"tags=50%, list=19%, signal=41%",RAP1GDS1/S100A10/IDI1/XIST/MIF/ERP29/HMGCS1,5910/6281/3422/7503/4282/10961/3157,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,17,0.363554778011783,1.11275007751868,0.291666666666667,0.848117080135642,0.848117080135642,18,"tags=12%, list=1%, signal=12%",ISG20/CD44,3669/960,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,36,0.29035052173953,1.07455036119842,0.334106728538283,0.848117080135642,0.848117080135642,304,"tags=33%, list=24%, signal=26%",HSPA9/HSPE1/IDI1/CYP51A1/M6PR/CALR/XBP1/HMGCS1/ENO1/HSPA5/ADD3/SQSTM1,3313/3336/3422/1595/4074/811/7494/3157/2023/3309/120/8878,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,30,0.295441455837541,1.04613903000987,0.368794326241135,0.869300911854103,0.869300911854103,368,"tags=47%, list=29%, signal=34%",YTHDC1/HMGN2/SRSF10/STAG1/KIF5B/HNRNPD/CDKN1B/RAD21/RPS6KA5/SYNCRIP/G3BP1/SRSF2/HSPA8/TOP1,91746/3151/10772/10274/3799/3184/1027/5885/9252/10492/10146/6427/3312/7150,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,29,-0.305498446693886,-1.00294863108067,0.428822495606327,0.908418708240534,0.908418708240534,81,"tags=17%, list=6%, signal=17%",BIRC3/PDCD4/CFLAR/JUN/DPYD,330/27250/8837/3725/1806,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,17,0.322101441295355,0.985871801026552,0.469298245614035,0.908418708240534,0.908418708240534,53,"tags=18%, list=4%, signal=17%",IRF1/ISG20/GBP2,3659/3669/2634,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,16,-0.345986056400299,-0.983816433353378,0.471349353049908,0.908418708240534,0.908418708240534,329,"tags=44%, list=26%, signal=33%",BCL2/AFF1/ELF1/ELOVL5/FKBP5/FOS/BCL11B,596/4299/1997/60481/2289/2353/64919,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,32,-0.275466817371141,-0.927814469037195,0.555172413793104,0.908418708240534,0.908418708240534,45,"tags=22%, list=4%, signal=22%",RASA1/PREX1/SMC3/NCK2/MYH9/CAPZB/DLG1,5921/57580/9126/8440/4627/832/1739,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,16,0.307841608165926,0.923026149062244,0.55531453362256,0.908418708240534,0.908418708240534,271,"tags=31%, list=21%, signal=25%",ATP1A1/GOLGA4/M6PR/MON2/ADAM10,476/2803/4074/23041/102,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,19,0.288289569444643,0.907975866571157,0.580573951434879,0.908418708240534,0.908418708240534,18,"tags=11%, list=1%, signal=11%",ISG20/CD44,3669/960,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,16,0.293951064687063,0.88137702004403,0.635574837310195,0.908418708240534,0.908418708240534,18,"tags=12%, list=1%, signal=12%",IRF1/CD44,3659/960,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,25,0.254543444697911,0.867330205306346,0.669623059866962,0.908418708240534,0.908418708240534,348,"tags=44%, list=27%, signal=33%",IRF1/ATP2B1/GPR183/AHR/TAPBP/RGS1/LCP2/NFKB1/NFKBIA/SEMA4D/RASGRP1,3659/490/1880/196/6892/5996/3937/4790/4792/10507/10125,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,19,-0.288270977038035,-0.849478874965186,0.657559198542805,0.908418708240534,0.908418708240534,28,"tags=21%, list=2%, signal=21%",COX6C/UQCR11/ATP6V0E1/COX6A1,1345/10975/8992/1337,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,23,0.258119931171535,0.847501385310606,0.686666666666667,0.908418708240534,0.908418708240534,155,"tags=17%, list=12%, signal=16%",NEK7/FBXO34/RBM5/CCND3,140609/55030/10181/896,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,21,0.261642691450745,0.845129334263637,0.688195991091314,0.908418708240534,0.908418708240534,310,"tags=43%, list=24%, signal=33%",TUBB/LUC7L3/SNRPB/STAG1/HNRNPD/CDKN1B/RAD21/XRCC6/SYNCRIP,203068/51747/6628/10274/3184/1027/5885/2547/10492,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,19,-0.271397012660931,-0.799754562019959,0.744990892531876,0.910544424205627,0.910544424205627,123,"tags=47%, list=10%, signal=43%",CCSER2/PRDM1/LCP1/CXCR4/ETS1/PPP1R15A/RABGAP1L/BIRC3/IL7R,54462/639/3936/7852/2113/23645/9910/330/3575,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,22,-0.255840306626713,-0.788958146470154,0.741992882562278,0.910544424205627,0.910544424205627,82,"tags=27%, list=6%, signal=26%",BTG1/FOSB/TMBIM6/FOS/HLA-F/NR4A1,694/2354/7009/2353/3134/3164,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,35,0.221850672896755,0.813782660705814,0.797647058823529,0.940084033613445,0.940084033613445,19,"tags=9%, list=1%, signal=9%",IRF1/ISG20/RAPGEF6,3659/3669/51735,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,24,-0.223788191107159,-0.697441203309287,0.891143911439114,0.970973411191111,0.970973411191111,122,"tags=12%, list=10%, signal=12%",DDIT4/PDIA6/TSPYL2,54541/10130/64061,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,23,-0.222459695032901,-0.688875482677796,0.878623188405797,0.970973411191111,0.970973411191111,420,"tags=48%, list=33%, signal=33%",ACTR2/SLA/HSP90B1/LCK/CFL1/CXCR4/ACTR3/PFN1/GRB2/PRKCB/ARF1,10097/6503/7184/3932/1072/7852/10096/5216/2885/5579/375,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,29,-0.205683895882148,-0.675258365608138,0.912126537785589,0.970973411191111,0.970973411191111,433,"tags=55%, list=34%, signal=37%",CDC42SE2/SLC2A3/NFKBIZ/GADD45B/HUWE1/ODC1/LRRC8C/SNX9/HIPK2/BCL2/KLF6/PRKCH/RORA/RABGAP1L/IL18R1/CD48,56990/6515/64332/4616/10075/4953/84230/51429/28996/596/1316/5583/6095/9910/8809/962,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,62,-0.169456551916573,-0.656320190405356,0.966942148760331,0.997159090909091,0.997159090909091,206,"tags=16%, list=16%, signal=14%",RPS2/RAN/SRSF3/SRSF7/PTGES3/BUB3/RPS6/DDX18/HNRNPA2B1/TRA2B,6187/5901/6428/6432/10728/9184/6194/8886/3181/6434,Th17 cells,HALLMARK,Monaco_fine
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,22,0.142118827235026,0.46036012419305,0.997727272727273,0.997727272727273,0.997727272727273,250,"tags=23%, list=20%, signal=19%",IDI1/CCND3/SAT1/HMGCS1/ARID5B,3422/896/6303/3157/84159,Th17 cells,HALLMARK,Monaco_fine
