ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,73,-0.599750648638588,-2.58086868784962,1.41475957407306e-10,2.2636153185169e-09,1.78706472514492e-09,1697,"tags=58%, list=21%, signal=46%",IFI44/NMI/ISG15/MX1/TMEM140/TRIM21/EIF2AK2/STAT2/IFIT2/IFITM1/CASP8/RIPK2/PARP14/NUB1/BST2/LGALS3BP/ISG20/CD74/NCOA7/PARP9/HLA-C/IFI44L/SAMD9L/ELF1/IFITM2/ADAR/IRF2/IRF1/LY6E/IFI35/TXNIP/CMTR1/SP110/UBE2L6/EPSTI1/PSMB9/B2M/PSMB8/TAP1/PSME1/PSME2/GBP4,10561/9111/9636/4599/55281/6737/5610/6773/3433/8519/841/8767/54625/51667/684/3959/3669/972/135112/83666/3107/10964/219285/1997/10581/103/3660/3659/4061/3430/10628/23070/3431/9246/94240/5698/567/5696/6890/5720/5721/115361,Th1/Th17 cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,143,-0.523523725188833,-2.4921640311576,1e-10,2.2636153185169e-09,1.78706472514492e-09,1456,"tags=43%, list=18%, signal=36%",MX1/SOCS3/VAMP5/TRIM21/EIF2AK2/MT2A/PELI1/STAT2/IFIT2/HLA-B/FAS/JAK2/BTG1/ISOC1/CASP8/RIPK2/HLA-A/PARP14/ITGB7/APOL6/IL18BP/AUTS2/BST2/MVP/LGALS3BP/ISG20/CD74/IFI44L/SAMD9L/STAT3/IFITM2/ADAR/IRF2/IRF1/LY6E/CD38/IFI35/CASP4/TXNIP/CMTR1/TNFSF10/RNF213/SP110/XAF1/UBE2L6/STAT4/TAPBP/EPSTI1/PSMB9/PSMA2/B2M/CD69/PSMB8/TAP1/PSME1/TNFAIP3/PSMB10/NFKB1/PSME2/NFKBIA/GBP4/STAT1,4599/9021/10791/6737/5610/4502/57162/6773/3433/3106/355/3717/694/51015/841/8767/3105/54625/3695/80830/10068/26053/684/9961/3959/3669/972/10964/219285/6774/10581/103/3660/3659/4061/952/3430/837/10628/23070/8743/57674/3431/54739/9246/6775/6892/94240/5698/5683/567/969/5696/6890/5720/7128/5699/4790/5721/4792/115361/6772,Th1/Th17 cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,129,-0.506885087352553,-2.39256925862618,1e-10,2.2636153185169e-09,1.78706472514492e-09,1437,"tags=40%, list=17%, signal=34%",SOCS3/ZBTB10/CCNL1/BCL6/GADD45B/IER5/FOS/IRS2/FOSL2/IFIT2/BTG1/SAT1/RCAN1/RIPK2/CCL4/TANK/TNIP2/IL23A/IER3/AREG/B4GALT1/BIRC3/EHD1/TNFAIP8/PTGER4/MCL1/IRF1/GPR183/KDM6B/ZFP36/ATF3/IER2/ETS2/REL/IL7R/DUSP5/CD69/SQSTM1/CD83/RELB/TAP1/BCL2A1/NFKB2/TNFAIP3/NFKB1/PLK2/JUNB/TRAF1/DUSP2/BTG2/NR4A3/NFKBIA,9021/65986/57018/604/4616/51278/2353/8660/2355/3433/694/6303/1827/8767/6351/10010/79155/51561/8870/374/2683/330/10938/25816/5734/4170/3659/1880/23135/7538/467/9592/2114/5966/3575/1847/969/8878/9308/5971/6890/597/4791/7128/4790/10769/3726/7185/1844/7832/8013/4792,Th1/Th17 cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,123,-0.392335124573506,-1.82531104353429,5.49838176493005e-05,0.000530764532025742,0.000419024630546638,1578,"tags=37%, list=19%, signal=31%",CD8A/RPS3A/GLMN/IFNGR1/RPL39/FYB1/SRGN/LY75/ZAP70/NCF4/CD96/EIF3D/IL2/FAS/JAK2/ITGB2/CXCR3/RPS19/IL2RG/CD247/TRAT1/RIPK2/HLA-A/NPM1/CCL4/EIF5A/CD28/CD74/RPS9/GALNT1/IL12RB1/LTB/CD3D/PTPRC/ETS1/STAT4/TAPBP/TGFB1/B2M/HCLS1/TAP1/TAP2/PSMB10/CTSS/HLA-E/STAT1,925/6189/11146/3459/6170/2533/5552/4065/7535/4689/10225/8664/3558/355/3717/3689/2833/6223/3561/919/50852/8767/3105/4869/6351/1984/940/972/6203/2589/3594/4050/915/5788/2113/6775/6892/7040/567/3059/6890/6891/5699/1520/3133/6772,Th1/Th17 cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,193,-0.338230754795893,-1.70713504264431,5.52879720860148e-05,0.000530764532025742,0.000419024630546638,2054,"tags=38%, list=25%, signal=29%",ATP5F1A/MDH1/POLR2F/ETFDH/NDUFC2/NDUFB6/UQCR10/NDUFA7/ATP5F1E/HADHA/ATP5MC1/ALAS1/NDUFB8/FDX1/NDUFB5/HCCS/SLC25A3/NDUFS6/MDH2/TOMM22/GOT2/COX6C/ATP5PF/MRPL35/ATP6V1H/TIMM50/COX5B/UQCRH/COX6A1/NDUFC1/CYCS/IDH3A/COX17/ETFA/ACAA1/UQCRB/NDUFB1/MRPS22/SUCLA2/NDUFA1/ATP5F1D/ATP6V0C/ECI1/NDUFS4/ATP6V1E1/NDUFA5/TCIRG1/UQCRC2/HSD17B10/NDUFB3/PRDX3/NDUFV2/COX7B/TIMM13/ISCU/SURF1/NDUFS3/COX4I1/COX8A/ACAT1/FXN/SLC25A6/IDH2/NDUFS8/ATP6V1F/DECR1/NDUFS1/ATP6V0E1/VDAC3/ATP5MG/SLC25A5/NDUFAB1/LDHB,498/4190/5435/2110/4718/4712/29796/4701/514/3030/516/211/4714/2230/4711/3052/5250/4726/4191/56993/2806/1345/522/51318/51606/92609/1329/7388/1337/4717/54205/3419/10063/2108/30/7381/4707/56945/8803/4694/513/527/1632/4724/529/4698/10312/7385/3028/4709/10935/4729/1349/26517/23479/6834/4722/1327/1351/38/2395/293/3418/4728/9296/1666/4719/8992/7419/10632/292/4706/3945,Th1/Th17 cells,HALLMARK,Monaco_fine
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,84,-0.394899797161046,-1.72814403937241,0.000366493128246293,0.00293194502597034,0.00231469344155553,475,"tags=20%, list=6%, signal=19%",PTGER4/IRF1/GPR183/LY6E/SLC4A4/TNFRSF1B/TNFSF10/IL7R/TAPBP/RGS1/P2RX7/CXCR6/CD69/ADRM1/NFKB1/BTG2/NFKBIA,5734/3659/1880/4061/8671/7133/8743/3575/6892/5996/5027/10663/969/11047/4790/7832/4792,Th1/Th17 cells,HALLMARK,Monaco_fine
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,89,-0.364293094728665,-1.62063612176831,0.00195685189136964,0.0134184129693918,0.0105934839232041,1181,"tags=26%, list=14%, signal=22%",FOS/ACAA1/BTG1/POLG2/AP2S1/PPP1R2/SELENOW/POLR2H/BSG/PRKACA/IRF1/TUBA4A/TFRC/ATF3/ATP6V1F/HLA-F/SQSTM1/NUP58/TAP1/BCL2L11/JUNB/BTG2/NFKBIA,2353/30/694/11232/1175/5504/6415/5437/682/5566/3659/7277/7037/467/9296/3134/8878/9818/6890/10018/3726/7832/4792,Th1/Th17 cells,HALLMARK,Monaco_fine
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,43,0.465821989049495,1.76241012663009,0.00486288452272096,0.0291773071363257,0.0230347161602572,2406,"tags=56%, list=29%, signal=40%",ACAT2/CLU/CPEB2/CYP51A1/HMGCR/PDK3/STARD4/ANTXR2/CD9/FADS2/FDPS/FDFT1/SQLE/SC5D/SREBF2/LSS/ERRFI1/LDLR/HMGCS1/HSD17B7/CTNNB1/ATF5/ATXN2/LGALS3,39/1191/132864/1595/3156/5165/134429/118429/928/9415/2224/2222/6713/6309/6721/4047/54206/3949/3157/51478/1499/22809/6311/3958,Th1/Th17 cells,HALLMARK,Monaco_fine
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,48,-0.423654649034979,-1.68081926644967,0.0080934855182033,0.0431652560970843,0.034077833760856,1920,"tags=40%, list=23%, signal=31%",IL2RA/STAM2/TNF/JUN/IFNGR1/SOCS3/ITGA4/STAT2/FAS/IL2RG/STAT3/IRF1/IL12RB1/CD38/LTB/TNFRSF1B/TGFB1/HAX1/STAT1,3559/10254/7124/3725/3459/9021/3676/6773/355/3561/6774/3659/3594/952/4050/7133/7040/10456/6772,Th1/Th17 cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,40,0.438995533409424,1.62508161044472,0.0107547792260746,0.0516229402851582,0.0407549528567038,1550,"tags=42%, list=19%, signal=35%",NDUFAF4/FARSA/EXOSC5/RCL1/IMP4/MPHOSPH10/HSPE1/PES1/DCTPP1/PA2G4/TCOF1/MYC/TFB2M/NIP7/RABEPK/WDR43/UTP20,29078/2193/56915/10171/92856/10199/3336/23481/79077/5036/6949/4609/64216/51388/10244/23160/27340,Th1/Th17 cells,HALLMARK,Monaco_fine
