ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,168,-0.636364607461388,-2.99656444869822,1e-10,6.38699336801355e-10,3.97900768361746e-10,2166,"tags=60%, list=20%, signal=49%",CD69/PTPN1/PFKP/RNF31/TRIM14/PIM1/SAMHD1/ZNFX1/IRF4/ST8SIA4/EIF2AK2/TRIM25/JAK2/ISOC1/HLA-G/NFKBIA/CCL5/MT2A/OAS3/ARID5B/TRIM26/IL2RB/RAPGEF6/IFI27/HLA-DMA/RTP4/CD274/LGALS3BP/ZBP1/SP110/TNFAIP3/HLA-B/PTPN6/OGFR/STAT3/NLRC5/ADAR/RBCK1/FAS/VAMP5/RIPK2/VCAM1/DDX60/PARP14/OAS2/HLA-A/NAMPT/GCH1/BST2/CMTR1/B2M/CASP8/LAP3/PSMA3/IFI30/TNFSF10/TAPBP/OASL/CASP3/GPR18/PSMA2/NMI/ICAM1/PELI1/HLA-DQA1/IFIT2/TRAFD1/CIITA/USP18/CASP7/LY6E/CASP4/MTHFD2/ISG20/RNF213/XAF1/APOL6/SAMD9L/CASP1/PLSCR1/PSME1/ISG15/IRF1/CD74/PSMB2/GZMA/ITGB7/PSMB8/PSMB10/PSMB9/CD38/PSME2/HLA-DRB1/IFI35/TAP1/UBE2L6/IRF9/EPSTI1/STAT1/GBP4,969/5770/5214/55072/9830/5292/25939/57169/3662/7903/5610/7706/3717/51015/3135/4792/6352/4502/4940/84159/7726/3560/51735/3429/3108/64108/29126/3959/81030/3431/7128/3106/5777/11054/6774/84166/103/10616/355/10791/8767/7412/55601/54625/4939/3105/10135/2643/684/23070/567/841/51056/5684/10437/8743/6892/8638/836/2841/5683/9111/3383/57162/3117/3433/10906/4261/11274/840/4061/837/10797/3669/57674/54739/80830/219285/834/5359/5720/9636/3659/972/5690/3001/3695/5696/5699/5698/952/5721/3123/3430/6890/9246/10379/94240/6772/115361,Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,161,-0.599445363929209,-2.80301252712135,1e-10,6.38699336801355e-10,3.97900768361746e-10,1515,"tags=40%, list=14%, signal=35%",TLE3/EWSR1/SNRPD1/KPNB1/MAP3K20/MAD2L1/SS18/ATRX/BARD1/BRCA2/RBL1/CDC6/HMGA1/SRSF2/UCK2/HMGN2/AURKA/BCL3/GSPT1/LMNB1/MCM3/PRIM2/UBE2S/NSD2/CHMP1A/PLK4/CDC25B/POLQ/MCM2/PTTG1/RACGAP1/KPNA2/KNL1/CDC7/DDX39A/BUB1/TACC3/CENPE/DR1/CHEK1/STMN1/KIF20B/PRC1/CKS2/CDK1/CDKN3/KIF23/SMC2/TOP2A/TPX2/TFDP1/STIL/MKI67/CHAF1A/GINS2/MCM6/KIF11/CENPF/SMC4/JPT1/E2F3/NUSAP1/NDC80/EZH2,7090/2130/6632/3837/51776/4085/6760/546/580/675/5933/990/3159/6427/7371/3151/6790/602/2935/4001/4172/5558/27338/7468/5119/10733/994/10721/4171/9232/29127/3838/57082/8317/10212/699/10460/1062/1810/1111/3925/9585/9055/1164/983/1033/9493/10592/7153/22974/7027/6491/4288/10036/51659/4175/3832/1063/10051/51155/1871/51203/10403/2146,Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,90,-0.644629238166375,-2.76614920666291,1e-10,6.38699336801355e-10,3.97900768361746e-10,970,"tags=52%, list=9%, signal=48%",TRIM26/ELF1/IFI27/RTP4/LGALS3BP/SP110/OGFR/ADAR/RIPK2/GBP2/DDX60/PARP14/HLA-C/CSF1/BST2/CMTR1/B2M/CASP8/TMEM140/LAP3/MVB12A/PSMA3/IFI30/OASL/NMI/IFIT2/TRAFD1/USP18/LY6E/ISG20/SAMD9L/CASP1/PLSCR1/PSME1/ISG15/IRF1/CD74/PSMB8/PSMB9/PSME2/IFI35/TAP1/UBE2L6/IRF9/EPSTI1/PARP9/GBP4,7726/1997/3429/64108/3959/3431/11054/103/8767/2634/55601/54625/3107/1435/684/23070/567/841/55281/51056/93343/5684/10437/8638/9111/3433/10906/11274/4061/3669/219285/834/5359/5720/9636/3659/972/5696/5698/5721/3430/6890/9246/10379/94240/83666/115361,Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,168,-0.58725297158607,-2.76530365833392,1e-10,6.38699336801355e-10,3.97900768361746e-10,1951,"tags=46%, list=18%, signal=39%",SLBP/CIT/CNOT9/TIMELESS/PMS2/DUT/PHF5A/DONSON/NASP/SMC6/ATAD2/CDCA8/CCP110/MCM7/UBR7/ANP32E/EED/MAD2L1/BARD1/BRCA2/MMS22L/NBN/PAICS/HMGA1/XRCC6/SRSF2/HMGB2/SHMT1/CTPS1/AURKA/RFC3/ASF1B/NME1/GSPT1/LMNB1/SNRPB/GINS4/MRE11/WEE1/MCM3/PRIM2/MCM4/UBE2S/PLK4/CDC25B/RPA3/MCM2/PTTG1/RAD51AP1/RACGAP1/UBE2T/KPNA2/TP53/BRCA1/DDX39A/MTHFD2/TACC3/TFRC/AK2/HELLS/CENPE/BUB1B/CHEK1/STMN1/CENPM/DIAPH3/CKS2/CDK1/CDKN3/MELK/RRM2/TOP2A/CDKN2A/MKI67/MCM6/SMC4/JPT1/EZH2,7884/11113/9125/8914/5395/1854/84844/29980/4678/79677/29028/55143/9738/4176/55148/81611/8726/4085/580/675/253714/4683/10606/3159/2547/6427/3148/6470/1503/6790/5983/55723/4830/2935/4001/6628/84296/4361/7465/4172/5558/4173/27338/10733/994/6119/4171/9232/10635/29127/29089/3838/7157/672/10212/10797/10460/7037/204/3070/1062/701/1111/3925/79019/81624/1164/983/1033/9833/6241/7153/1029/4288/4175/10051/51155/2146,Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,-0.565829439625714,-2.73432900361712,1e-10,6.38699336801355e-10,3.97900768361746e-10,2274,"tags=55%, list=21%, signal=45%",COX6B1/DECR1/SDHC/UQCRC1/ACAA1/SDHD/OAT/TIMM13/MRPL34/ATP6V0C/IDH3A/TIMM10/NDUFAB1/UQCR11/UQCRH/MPC1/ATP5F1E/TOMM22/OGDH/PDHB/HSPA9/ATP5PO/ECI1/UQCRQ/PHB2/CYCS/CPT1A/NDUFS2/PRDX3/ATP5MG/BDH2/ATP5F1A/NDUFB2/ATP5F1B/IDH3G/ATP5PF/NDUFB1/ATP6V1E1/AIFM1/ATP6V1F/HADHB/NDUFS3/UQCR10/ATP5PD/ACAT1/ATP6V0E1/NDUFB4/COX6A1/NDUFB7/NDUFA3/BAX/ATP5F1D/NDUFB5/MRPS15/MRPS12/TIMM8B/ETFDH/FH/ATP5F1C/SLC25A11/ETFA/CYC1/VDAC1/NDUFV1/SLC25A12/UQCRC2/ATP6V0B/NDUFA6/NDUFA2/MRPL11/MDH1/GPI/MRPL15/COX7A2/COX5B/COX6C/NDUFA8/SUCLG1/ATP5MC3/NDUFA1/TCIRG1/ACO2/ATP5MF/COX7B/NDUFS7/COX8A/NDUFA7/ATP5PB/SLC25A3/LDHA/NDUFV2/LDHB/ATP6V1D/NDUFS6/COX17/HSD17B10/ATP6V1H/SLC25A5/MDH2/NDUFS8/NDUFB3/COX15/CASP7/ACAA2/SLC25A6/UQCRFS1/NDUFB6/PHYH/COX5A/IDH2,1340/1666/6391/7384/30/6392/4942/26517/64981/527/3419/26519/4706/10975/7388/51660/514/56993/4967/5162/3313/539/1632/27089/11331/54205/1374/4720/10935/10632/56898/498/4708/506/3421/522/4707/529/9131/9296/3032/4722/29796/10476/38/8992/4710/1337/4713/4696/581/513/4711/64960/6183/26521/2110/2271/509/8402/2108/1537/7416/4723/8604/7385/533/4700/4695/65003/4190/2821/29088/1347/1329/1345/4702/8802/518/4694/10312/50/9551/1349/374291/1351/4701/515/5250/3939/4729/3945/51382/4726/10063/3028/51606/292/4191/4728/4709/1355/840/10449/293/7386/4712/5264/9377/3418,Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,192,-0.510412495275648,-2.446835581808,1e-10,6.38699336801355e-10,3.97900768361746e-10,2723,"tags=48%, list=25%, signal=37%",PPIA/NHP2/HNRNPC/IFRD1/ODC1/RNPS1/SNRPB2/NPM1/PCNA/DDX21/RANBP1/PSMA7/CANX/MCM5/HSPD1/EIF4H/SNRPA1/DEK/EIF3J/MRPL9/SNRPD2/NDUFAB1/PRPS2/APEX1/DUT/EIF4G2/PABPC1/PSMD7/EIF4A1/RRM1/RPLP0/PHB2/SRSF3/PRDX3/CCT7/HNRNPA1/YWHAE/SNRPD1/MCM7/KPNB1/LSM7/ERH/HNRNPA2B1/MAD2L1/PSMD14/GNL3/PWP1/SET/PSMA1/YWHAQ/XRCC6/SRSF2/CYC1/HNRNPR/VDAC1/PSMD8/SERBP1/HDDC2/STARD7/CTPS1/TUFM/LSM2/NME1/PRPF31/GSPT1/MRPL23/PPM1G/MCM4/PGK1/HPRT1/SLC25A3/MCM2/SRM/LDHA/PSMA2/SNRPG/ETF1/PSMD1/KPNA2/ILF2/HNRNPA3/PSMD3/CCT3/TYMS/PSMC4/UBE2L3/PSMA4/TFDP1/COX5A/PSMB3/PSMB2/MCM6/PSMA6,5478/55651/3183/3475/4953/10921/6629/4869/5111/9188/5902/5688/821/4174/3329/7458/6627/7913/8669/65005/6633/4706/5634/328/1854/1982/26986/5713/1973/6240/6175/11331/6428/10935/10574/3178/7531/6632/4176/3837/51690/2079/3181/4085/10213/26354/11137/6418/5682/10971/2547/6427/1537/10236/7416/5714/26135/51020/56910/1503/7284/57819/4830/26121/2935/6150/5496/4173/5230/3251/5250/4171/6723/3939/5683/6637/2107/5707/3838/3608/220988/5709/7203/7298/5704/7332/5685/7027/9377/5691/5690/4175/5687,Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,146,-0.525115447645224,-2.42878648180358,1e-10,6.38699336801355e-10,3.97900768361746e-10,2128,"tags=44%, list=19%, signal=36%",PTPRC/UBE2D1/IRF4/RPS9/ST8SIA4/EIF3J/JAK2/FYB1/PRF1/ITGB2/HLA-G/CXCL13/CCL5/IL2RB/CD247/MAP4K1/HLA-DMA/GPR65/CD7/PTPN6/GALNT1/CD8A/CD8B/CCR1/SIT1/FAS/TRAT1/RIPK2/GBP2/CSF1/HLA-A/FASLG/UBE2N/BCL3/NME1/B2M/HLA-DMB/IL12RB1/LCK/IL2RG/TAPBP/EIF4G3/HCLS1/HLA-DRA/ICAM1/HLA-DQA1/CCR5/HLA-E/BRCA1/CD3G/SRGN/IL10/CSK/CTSS/AKT1/CDKN2A/CD74/CD3D/GZMA/GZMB/PSMB10/TAP1/TAP2/STAT1,5788/7321/3662/6203/7903/8669/3717/2533/5551/3689/3135/10563/6352/3560/919/11184/3108/8477/924/5777/2589/925/926/1230/27240/355/50852/8767/2634/1435/3105/356/7334/602/4830/567/3109/3594/3932/3561/6892/8672/3059/3122/3383/3117/1234/3133/672/917/5552/3586/1445/1520/207/1029/972/915/3001/3002/5699/6890/6891/6772,Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,183,-0.466268002796218,-2.21358157789466,1.04277442743078e-10,6.38699336801355e-10,3.97900768361746e-10,2491,"tags=44%, list=22%, signal=34%",PFKL/EBP/SLC7A5/PSPH/INSIG1/PSME3/CCT6A/SLC2A3/PRDX1/CANX/SLA/TUBG1/HSPD1/PDAP1/PNO1/MLLT11/HMBS/ITGB2/HSPA4/PHGDH/GLRX/NFIL3/HSPA9/DDIT4/TOMM40/ARPC5L/SORD/TUBA4A/GOT1/G6PD/PSMD14/ACTR3/ACLY/TCEA1/GSR/DHFR/GLA/HSP90B1/UBE2D3/CYB5B/GPI/ATP2A2/NAMPT/ELOVL5/AURKA/ACTR2/ENO1/PSMA3/NFKBIB/IFI30/RPN1/MCM4/PGK1/HPRT1/TPI1/ELOVL6/MCM2/LDHA/ATP6V1D/ETF1/GAPDH/HSPA5/PSMD13/SDF2L1/DDX39A/BUB1/BTG2/MTHFD2/TFRC/PSMC4/PPA1/SHMT2/CTSC/PSMA4/CORO1A/RRM2/PSAT1/CALR/PIK3R3/SLC1A4,5211/10682/8140/5723/3638/10197/908/6515/5052/821/6503/7283/3329/11333/56902/10962/3145/3689/3308/26227/2745/4783/3313/54541/10452/81873/6652/7277/2805/2539/10213/10096/47/6917/2936/1719/2717/7184/7323/80777/2821/488/10135/60481/6790/10097/2023/5684/4793/10437/6184/4173/5230/3251/7167/79071/4171/3939/51382/2107/2597/3309/5719/23753/10212/699/7832/10797/7037/5704/5464/6472/1075/5685/11151/6241/29968/811/8503/6509,Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,160,-0.375926687776181,-1.75949675300455,6.68841175462037e-05,0.000364146862195998,0.000226858410390632,2274,"tags=36%, list=21%, signal=29%",DECR1/SDHC/UQCRC1/MTCH2/IDH3A/SCARB1/PPP1R15B/NDUFAB1/UQCR11/PPM1B/ATP5PO/MGLL/UQCRQ/PRDX3/DGAT1/IDH3G/AIFM1/NDUFS3/UQCR10/REEP5/STOM/PDCD4/TST/COX6A1/NDUFB7/ACLY/RIOK3/PEX14/SOD1/CYC1/SLC66A3/ARAF/CCNG2/ESRRA/SQOR/MRPL15/SLC19A1/SUCLG1/COQ5/ACO2/SCP2/GHITM/TALDO1/COX7B/COX8A/CHUK/ELOVL6/DDT/DNAJC15/UBC/MDH2/ACAA2/STAT5A/ATP1B3/PHYH/AK2/CHCHD10/UCP2,1666/6391/7384/23788/3419/949/84919/4706/10975/5495/539/11343/27089/10935/8694/3421/9131/4722/29796/7905/2040/27250/7263/1337/4713/47/8780/5195/6647/1537/130814/369/901/2101/58472/29088/6573/8802/84274/50/6342/27069/6888/1349/1351/1147/79071/1652/29103/7316/4191/10449/6776/483/5264/204/400916/7351,Vd2 gd T cells,HALLMARK,Monaco_fine
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,139,-0.373825958457934,-1.71763768243606,0.000167715026934578,0.000821803631979434,0.000511972187484503,3011,"tags=43%, list=27%, signal=32%",CANT1/ERCC2/NME3/TMED2/TSG101/NELFE/GMPR2/MPC2/POLD4/AGO4/SEC61A1/SF3A3/SDCBP/ERCC1/RPA2/POLE4/PCNA/RFC5/TAF9/POLR2F/ARL6IP1/AK1/POLR2E/CSTF3/TAF13/NT5C3A/RFC2/APRT/GTF3C5/DUT/SUPT4H1/POLR2I/POLB/FEN1/POLR2J/GTF2B/VPS28/POLR2G/POLR2H/DGCR8/ADRM1/POLA1/VPS37B/ITPA/RFC3/NME1/GUK1/POLR2A/MPG/TAF12/HPRT1/RBX1/RPA3/HCLS1/TAF10/COX17/TP53/ADA/TYMS/ALYREF,124583/2068/4832/10959/7251/7936/51292/25874/57804/192670/29927/10946/6386/2067/6118/56655/5111/5985/6880/5435/23204/203/5434/1479/6884/51251/5982/353/9328/1854/6827/5438/5423/2237/5439/2959/51160/5436/5437/54487/11047/5422/79720/3704/5983/4830/2987/5430/4350/6883/3251/9978/6119/3059/6881/10063/7157/100/7298/10189,Vd2 gd T cells,HALLMARK,Monaco_fine
