ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,83,-0.660626267769928,-2.79403494866581,1e-10,1.66666666666667e-09,1.15789473684211e-09,2321,"tags=63%, list=21%, signal=50%",SLC25A28/CXCL10/CMTR1/SP110/CASP1/IL15/OAS1/DDX60/TXNIP/HLA-C/NUB1/TMEM140/PNPT1/HERC6/IFIT3/IFIH1/NMI/IL4R/IRF2/B2M/TRIM5/UBA7/HELZ2/GBP2/ADAR/ISG15/RNF31/C1S/TRAFD1/PARP14/CNP/LGALS3BP/CCRL2/RTP4/IFI30/IRF7/PARP12/LAP3/EIF2AK2/PARP9/SAMD9L/PSMB8/UBE2L6/MX1/IFITM1/PSME2/GBP4/IFI35/TAP1/IRF9/PSMB9/EPSTI1,81894/3627/23070/3431/834/3600/4938/55601/10628/3107/51667/55281/87178/55008/3437/64135/9111/3566/3660/567/85363/7318/85441/2634/103/9636/55072/716/10906/54625/1267/3959/9034/64108/10437/3665/64761/51056/5610/83666/219285/5696/9246/4599/8519/5721/115361/3430/6890/10379/5698/94240,B cells,HALLMARK,Monaco_main
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,167,-0.529881688452417,-2.4901515607893,1e-10,1.66666666666667e-09,1.15789473684211e-09,2268,"tags=49%, list=20%, signal=39%",CXCL10/ICAM1/PTPN1/CMTR1/SOCS1/TNFSF10/NLRC5/ST3GAL5/SP110/MVP/CASP1/PELI1/STAT4/CASP4/BANK1/IL15/MX2/DDX60/TXNIP/ZBP1/PSMB2/PSMA2/IL15RA/SPPL2A/PNPT1/NCOA3/HIF1A/HERC6/ZNFX1/PIM1/IFIT3/IFIH1/OAS2/NMI/IL4R/GZMA/IRF2/B2M/HELZ2/PFKP/ADAR/ISG15/RNF31/C1S/SAMHD1/TRAFD1/KLRK1/PARP14/TAPBP/PML/LGALS3BP/GPR18/RTP4/PDE4B/HLA-G/IFI30/XAF1/IRF7/PARP12/LAP3/EIF2AK2/HLA-B/STAT3/SAMD9L/RNF213/PSMB8/PSMB10/UBE2L6/HLA-A/MX1/APOL6/SOCS3/IL10RA/PSME2/GBP4/IFI35/TAP1/IRF9/PSMB9/EPSTI1/STAT1,3627/3383/5770/23070/8651/8743/84166/8869/3431/9961/834/57162/6775/837/55024/3600/4600/55601/10628/81030/5690/5683/3601/84888/87178/8202/3091/55008/57169/5292/3437/64135/4939/9111/3566/3001/3660/567/85441/5214/103/9636/55072/716/25939/10906/22914/54625/6892/5371/3959/2841/64108/5142/3135/10437/54739/3665/64761/51056/5610/3106/6774/219285/57674/5696/5699/9246/3105/4599/80830/9021/3587/5721/115361/3430/6890/10379/5698/94240/6772,B cells,HALLMARK,Monaco_main
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,157,-0.494495576258593,-2.29895731153486,1e-10,1.66666666666667e-09,1.15789473684211e-09,2135,"tags=39%, list=19%, signal=32%",CBX5/DUT/CTPS1/PMS2/EXOSC8/TMPO/POLE4/LMNB1/CNOT9/MCM3/ORC2/RAN/TIMELESS/RFC3/HMGB2/CCP110/RAD51C/TUBB/PRIM2/MCM2/SMC4/DONSON/BRCA2/PDS5B/CCNE1/RFC2/PCNA/RPA1/MMS22L/TIPIN/RANBP1/NME1/RAD51AP1/BRCA1/PPP1R8/TACC3/HELLS/CENPM/HMGA1/STMN1/BARD1/DDX39A/RFC1/CHEK2/KPNA2/NCAPD2/EZH2/MAD2L1/PRKDC/HMMR/LIG1/JPT1/CENPE/DNMT1/MKI67/AURKA/PTTG1/MYBL2/CDC25B/HMGB3/MXD3/TCF19,23468/1854/1503/5395/11340/7112/56655/4001/9125/4172/4999/5901/8914/5983/3148/9738/5889/203068/5558/4171/10051/29980/675/23047/898/5982/5111/6117/253714/54962/5902/4830/10635/672/5511/10460/3070/79019/3159/3925/580/10212/5981/11200/3838/9918/2146/4085/5591/3161/3978/51155/1062/1786/4288/6790/9232/4605/994/3149/83463/6941,B cells,HALLMARK,Monaco_main
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,155,-0.451472503430271,-2.08988268901024,4.89459766576546e-09,6.11824708220682e-08,4.25057165711211e-08,2045,"tags=36%, list=18%, signal=30%",TMPO/TFDP1/LMNB1/MCM3/EWSR1/RPS6KA5/KIF20B/CHAF1A/PRC1/SMC2/INCENP/HIF1A/PRIM2/E2F3/SLC12A2/BCL3/E2F4/TENT4A/DTYMK/MCM2/SMC4/CDC7/BRCA2/GINS2/FANCC/PDS5B/DR1/SS18/BUB1/MTF2/NUSAP1/TACC3/CDC6/CENPF/HMGA1/STMN1/BARD1/DDX39A/PML/KPNA2/DMD/EZH2/MAD2L1/HMMR/KNL1/JPT1/POLQ/CENPE/MKI67/HIRA/AURKA/STIL/PTTG1/MYBL2/CDC25B/HMGB3,7112/7027/4001/4172/2130/9252/9585/10036/9055/10592/3619/3091/5558/1871/6558/602/1874/11044/1841/4171/10051/8317/675/51659/2176/23047/1810/6760/699/22823/51203/10460/990/1063/3159/3925/580/10212/5371/3838/1756/2146/4085/3161/57082/51155/10721/1062/4288/7290/6790/6491/9232/4605/994/3149,B cells,HALLMARK,Monaco_main
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,158,0.396519852117766,1.85253231035133,6.03619818601738e-06,6.03619818601738e-05,4.19356926607524e-05,1884,"tags=35%, list=17%, signal=30%",EGR3/IL23A/NR4A1/KLF6/KLF10/CEBPB/NR4A3/GADD45B/PLK2/KLF9/EIF1/NAMPT/DNAJB4/KLF2/CCL4/CCNL1/CSF1/EGR1/NR4A2/PHLDA1/DUSP1/ZC3H12A/MYC/FOS/CDKN1A/SLC16A6/ATF3/MCL1/TNIP1/MARCKS/NFIL3/PNRC1/PPP1R15A/VEGFA/NFKBIA/G0S2/GEM/TNF/NFE2L2/NFKB1/TNIP2/ZFP36/DUSP2/BTG2/TRIP10/PER1/FOSB/IER5/CCL5/PHLDA2/YRDC/CLCF1/NFKBIE/EFNA1/LITAF/MAP2K3,1960/51561/3164/1316/7071/1051/8013/4616/10769/687/10209/10135/11080/10365/6351/57018/1435/1958/4929/22822/1843/80149/4609/2353/1026/9120/467/4170/10318/4082/4783/10957/23645/7422/4792/50486/2669/7124/4780/4790/79155/7538/1844/7832/9322/5187/2354/51278/6352/7262/79693/23529/4794/1942/9516/5606,B cells,HALLMARK,Monaco_main
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,105,0.404347690527093,1.76771468000557,0.00017169616361323,0.00143080136344358,0.000994030420918698,3390,"tags=50%, list=30%, signal=35%",EIF4EBP1/CEBPB/CHAC1/RPS14/DNAJA4/CEBPG/PSAT1/BAG3/MTHFD2/SHC1/TSPYL2/RRP9/ATF3/ASNS/EEF2/EIF4A2/ATF4/ERO1A/HSPA9/LSM4/VEGFA/NFYB/HERPUD1/HSPA5/EIF4A1/XPOT/EXOSC1/HSP90B1/EDEM1/SERP1/NFYA/CXXC1/PDIA6/SPCS3/SPCS1/SEC11A/EXOSC5/TUBB2A/DNAJC3/PDIA5/SEC31A/KHSRP/PREB/SRPRB/EXOSC10/CALR/NABP1/CKS1B/NOP56/DDIT4/NPM1/SRPRA,1978/1051/79094/6208/55466/1054/29968/9531/10797/6464/64061/9136/467/440/1938/1974/468/30001/3313/25804/7422/4801/9709/3309/1973/11260/51013/7184/9695/27230/4800/30827/10130/60559/28972/23478/56915/7280/5611/10954/22872/8570/10113/58477/5394/811/64859/1163/10528/54541/4869/6734,B cells,HALLMARK,Monaco_main
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,146,-0.343008675327334,-1.58212347639819,0.00197569506915618,0.0141121076368298,0.00980420109506072,1482,"tags=36%, list=13%, signal=32%",UBE2N/MAP4K1/PTPRC/CAPG/IL6/LYN/FGR/PRKCB/GALNT1/ICAM1/CCR1/SOCS1/EIF5A/CSK/STAT4/IL15/EIF4G3/HIF1A/CD3D/MRPL3/AKT1/BCL3/CCND2/GCNT1/CXCL13/IL4R/SPI1/LCK/GZMA/B2M/NME1/CD7/IFNG/BRCA1/GBP2/LTB/FYB1/CD247/ITK/TAPBP/KLRD1/CD3E/HLA-G/CXCR3/IRF7/TAP2/PSMB10/HLA-A/CD3G/TAP1/CD8A/IL12RB1/STAT1,7334/11184/5788/822/3569/4067/2268/5579/2589/3383/1230/8651/1984/1445/6775/3600/8672/3091/915/11222/207/602/894/2650/10563/3566/6688/3932/3001/567/4830/924/3458/672/2634/4050/2533/919/3702/6892/3824/916/3135/2833/3665/6891/5699/3105/917/6890/925/3594/6772,B cells,HALLMARK,Monaco_main
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,158,0.321538643544632,1.50222169964913,0.00261527951330212,0.0163454969581383,0.0113558189393382,1857,"tags=28%, list=17%, signal=24%",TRIB3/DDIT3/PERP/ACVR1B/SP1/PLK2/PMM1/CDKN2AIP/SERTAD3/RPS12/HEXIM1/SLC35D1/RPL18/HINT1/VDR/ISCU/TOB1/CTSF/FOS/TSPYL2/CDKN1A/ATF3/RACK1/SLC3A2/FUCA1/BAIAP2/PPP1R15A/F2R/CCNG1/RPL36/MAPKAPK3/CGRRF1/SLC7A11/S100A10/RETSAT/CCND3/BTG2/NOL8/FAM162A/FOXO3/IER5/ABHD4/EPHX1/UPP1/ZFP36L1,57761/1649/64065/91/6667/10769/5372/55602/29946/6206/10614/23169/6141/3094/7421/23479/10140/8722/2353/64061/1026/467/10399/6520/2517/10458/23645/2149/900/25873/7867/10668/23657/6281/54884/896/7832/55035/26355/2309/51278/63874/2052/7378/677,B cells,HALLMARK,Monaco_main
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,133,0.317551104339146,1.43683644524119,0.0071303200772753,0.0357817669389457,0.0248589117681096,1204,"tags=20%, list=11%, signal=18%",DDIT3/NOCT/MXI1/KLF6/TES/TGFB3/CASP6/B3GALT6/SLC37A4/RRAGD/DUSP1/FOS/CDKN1A/ATF3/NFIL3/PRKCA/PNRC1/BCL2/ERO1A/PPP1R15A/VEGFA/ANKZF1/SLC2A1/CDKN1C/ANXA2/HSPA5/RORA,1649/25819/4601/1316/26136/7043/839/126792/2542/58528/1843/2353/1026/467/4783/5578/10957/596/30001/23645/7422/55139/6513/1028/302/3309/6095,B cells,HALLMARK,Monaco_main
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,-0.286825914169014,-1.38216296106312,0.00715635338778914,0.0357817669389457,0.0248589117681096,2541,"tags=32%, list=23%, signal=25%",TOMM70/SDHC/HADHB/VDAC1/IDH3B/OGDH/LDHA/TIMM50/ATP5PF/IMMT/SLC25A20/UQCRC2/IDH3G/ETFB/NDUFB3/RHOT2/ATP5F1E/ECH1/UQCRFS1/COX15/ACADM/SLC25A11/NDUFA9/ATP5MF/MRPS15/NDUFS4/NDUFS8/ECHS1/NDUFS1/ABCB7/DLAT/COX7B/NDUFS6/LDHB/ACADSB/NDUFB1/SUCLG1/COX7A2/HCCS/NDUFS7/ATP6V1D/SDHB/NDUFB2/NDUFC1/HSD17B10/MRPL15/MTRF1/BAX/PRDX3/ATP6V1E1/ATP6V1C1/ATP6V1F/TIMM8B/IDH3A/TCIRG1/MRPL35/NDUFV2/SLC25A12/IDH2/AIFM1/GOT2/CS/SUCLA2,9868/6391/3032/7416/3420/4967/3939/92609/522/10989/788/7385/3421/2109/4709/89941/514/1891/7386/1355/34/8402/4704/9551/64960/4724/4728/1892/4719/22/1737/1349/4726/3945/36/4707/8802/1347/3052/374291/51382/6390/4708/4717/3028/29088/9617/581/10935/529/528/9296/26521/3419/10312/51318/4729/8604/3418/9131/2806/1431/8803,B cells,HALLMARK,Monaco_main
