ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,14,-0.587663887437847,-1.71805269703938,0.0102754625758554,0.281194259475377,0.251594863741127,24,"tags=21%, list=1%, signal=21%",IRF1/STAT1/ITGA4,3659/6772/3676,Basophils,HALLMARK,Monaco_main
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,18,0.545328976450091,1.62993113828106,0.0207416467472042,0.281194259475377,0.251594863741127,168,"tags=33%, list=10%, signal=30%",S100A11/CYP51A1/PNRC1/CD9/ANXA5/LGALS3,6282/1595/10957/928/308/3958,Basophils,HALLMARK,Monaco_main
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,22,0.487784632406608,1.56148722360313,0.0351492824344222,0.281194259475377,0.251594863741127,272,"tags=50%, list=16%, signal=42%",GADD45B/TIMP1/EMP3/CADM1/PMP22/TIMP3/CD59/SAT1/CAPG/VIM/BASP1,4616/7076/2014/23705/5376/7078/966/6303/822/7431/10409,Basophils,HALLMARK,Monaco_main
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,23,-0.465331714287524,-1.53866917236444,0.0263910508327068,0.281194259475377,0.251594863741127,218,"tags=35%, list=13%, signal=31%",TOP1/CLCN3/SDCBP/PICALM/ELL2/FBXO34/BNIP3L/NEK7,7150/1182/6386/8301/22936/55030/665/140609,Basophils,HALLMARK,Monaco_main
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,66,0.351689480531644,1.41181858028335,0.0331646924092871,0.281194259475377,0.251594863741127,430,"tags=36%, list=26%, signal=28%",PRPS2/PTGES3/ERH/CCT4/RPL14/EIF3D/SNRPD2/RPL34/EIF1AX/RPS3/RPL22/RPL18/RAD23B/EEF1B2/CBX3/RPL6/CNBP/SSB/TRA2B/EIF4G2/PSMA2/SRSF7/EIF2S2/SERBP1,5634/10728/2079/10575/9045/8664/6633/6164/1964/6188/6146/6141/5887/1933/11335/6128/7555/6741/6434/1982/5683/6432/8894/26135,Basophils,HALLMARK,Monaco_main
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,38,-0.376252534069835,-1.43588434296299,0.0430070449111969,0.286713632741312,0.25653325034749,264,"tags=29%, list=16%, signal=25%",AHR/HIPK2/HUWE1/KLF6/RHOH/SLC2A3/RABGAP1L/CDC42SE2/BCL2/PHTF2/NCOA3,196/28996/10075/1316/399/6515/9910/56990/596/57157/8202,Basophils,HALLMARK,Monaco_main
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,21,-0.449913134814464,-1.44971270821625,0.0641330166270784,0.326185442464512,0.291850132731406,313,"tags=57%, list=19%, signal=47%",M6PR/SOD1/AP3B1/RAB14/TMED10/GOLGA4/MON2/CLCN3/CLTC/SEC31A/ARFGEF1/CLTA,4074/6647/8546/51552/10972/2803/23041/1182/1213/22872/10565/1211,Basophils,HALLMARK,Monaco_main
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,31,-0.397103882593973,-1.42554592637122,0.0855745721271394,0.326185442464512,0.291850132731406,391,"tags=42%, list=24%, signal=33%",LCP2/MT2A/ST8SIA4/BTG1/RIPK1/B2M/HLA-B/HLA-A/CD69/IRF1/PSMB9/NCOA3/STAT1,3937/4502/7903/694/8737/567/3106/3105/969/3659/5698/8202/6772,Basophils,HALLMARK,Monaco_main
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,19,-0.439930747627611,-1.38926160644979,0.0818181818181818,0.326185442464512,0.291850132731406,219,"tags=37%, list=13%, signal=32%",MAP3K1/PTBP2/LAT2/RABGAP1L/NIN/ST6GAL1/AKAP12,4214/58155/7462/9910/51199/6480/9590,Basophils,HALLMARK,Monaco_main
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,33,0.386250026435343,1.3691384223499,0.0897009966777409,0.326185442464512,0.291850132731406,486,"tags=58%, list=29%, signal=42%",HSPA9/UQCR11/COX17/UQCRB/COX4I1/MAOB/ATP6V1F/UQCRQ/NDUFB8/COX7C/ATP6V0E1/ATP5PF/GPX4/ATP5MC3/HADHA/COX6A1/ATP5MG/ATP5MC2/COX6B1,3313/10975/10063/7381/1327/4129/9296/27089/4714/1350/8992/522/2879/518/3030/1337/10632/517/1340,Basophils,HALLMARK,Monaco_main
