ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,45,-0.693491115933221,-2.72069785407186,1e-10,2.3e-09,1.89473684210526e-09,795,"tags=62%, list=17%, signal=52%",HLA-C/PARP14/PNPT1/DDX60/CD74/B2M/UBE2L6/TRIM14/BST2/IRF9/PLSCR1/LY6E/PSMB9/PSMB8/PARP9/GBP2/PSME1/SAMD9L/IRF2/TAP1/SAMD9/ISG20/ISG15/PSME2/NUB1/LAP3/EPSTI1/GBP4,3107/54625/87178/55601/972/567/9246/9830/684/10379/5359/4061/5698/5696/83666/2634/5720/219285/3660/6890/54809/3669/9636/5721/51667/51056/94240/115361,CD8+ T cells,HALLMARK,Monaco_main
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,104,-0.543795244827073,-2.54486129899863,1e-10,2.3e-09,1.89473684210526e-09,722,"tags=44%, list=15%, signal=38%",CASP3/PARP14/PNPT1/DDX60/SOCS3/CD74/STAT3/B2M/UBE2L6/HLA-A/TRIM14/BST2/IRF4/RAPGEF6/MVP/GZMA/ITGB7/NAMPT/TAPBP/HLA-DRB1/IRF9/PLSCR1/LY6E/PSMB9/CASP4/PSMB8/PSMB10/PSME1/SAMD9L/BTG1/IRF2/PTPN6/TAP1/TNFAIP3/CD38/PIM1/ISG20/ISG15/XAF1/APOL6/RNF213/PSME2/LAP3/EPSTI1/STAT1/GBP4,836/54625/87178/55601/9021/972/6774/567/9246/3105/9830/684/3662/51735/9961/3001/3695/10135/6892/3123/10379/5359/4061/5698/837/5696/5699/5720/219285/694/3660/5777/6890/7128/952/5292/3669/9636/54739/80830/57674/5721/51056/94240/6772/115361,CD8+ T cells,HALLMARK,Monaco_main
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,128,-0.406483684623311,-1.97556217917292,4.72457859446846e-06,7.24435384485164e-05,5.96788875090753e-05,798,"tags=36%, list=17%, signal=31%",ATP6V1F/TOMM70/NDUFS4/NDUFS7/SLC25A5/NDUFS6/CYCS/NNT/MPC1/SLC25A6/ATP6V0C/SDHB/SUPV3L1/ATP6V0E1/COX4I1/UQCR11/IMMT/GLUD1/NDUFA9/NDUFA7/COX5A/CPT1A/COX6A1/ATP6V0B/ATP5MG/COX5B/AFG3L2/BAX/NDUFS2/NDUFA2/NDUFA1/SDHD/NDUFB6/MDH2/NDUFV1/SLC25A3/FDX1/MDH1/IDH2/COX6C/UQCRC2/NDUFA6/ATP5F1D/ATP5F1B/NDUFB1/PHB2,9296/9868/4724/374291/292/4726/54205/23530/51660/293/527/6390/6832/8992/1327/10975/10989/2746/4704/4701/9377/1374/1337/533/10632/1329/10939/581/4720/4695/4694/6392/4712/4191/4723/5250/2230/4190/3418/1345/7385/4700/513/506/4707/11331,CD8+ T cells,HALLMARK,Monaco_main
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,60,0.513773196747353,2.00664960685605,2.28870491932066e-05,0.000263201065721875,0.00021682467656722,834,"tags=35%, list=18%, signal=29%",AKT3/MAPK14/SMAD3/ADD3/PEX14/DYRK1A/GCNT1/YTHDC1/BCKDHB/NR3C1/NR1D2/PIK3CD/WDR37/BMPR1A/TOGARAM1/MGMT/ARHGEF9/ATXN1/NIPBL/FYN/PRDM2,10000/1432/4088/120/5195/1859/2650/91746/594/2908/9975/5293/22884/657/23116/4255/23229/6310/25836/2534/7799,CD8+ T cells,HALLMARK,Monaco_main
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,74,-0.450946917745731,-1.98737272529935,5.10610283765357e-05,0.000427998537808943,0.000352584607805994,604,"tags=30%, list=13%, signal=26%",PIK3R5/GNAI2/APOBEC3G/DGKH/DOCK9/GZMA/PRCP/PIK3CG/PFN1/DUSP5/GATA3/PLSCR1/PSMB9/STX4/CASP4/FDX1/IRF2/TNFAIP3/PIM1/CTSS/LAP3/GZMB,23533/2771/60489/160851/23348/3001/5547/5294/5216/1847/2625/5359/5698/6810/837/2230/3660/7128/5292/1520/51056/3002,CD8+ T cells,HALLMARK,Monaco_main
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,104,-0.395479259454771,-1.85076988354897,5.58258962359491e-05,0.000427998537808943,0.000352584607805994,628,"tags=30%, list=13%, signal=26%",CD74/B2M/FYB1/GPR65/EIF3A/HLA-A/CD8B/ITGB2/CD28/IRF4/CRTAM/FASLG/CD3D/GZMA/PTPRC/RPS9/SRGN/TAPBP/HLA-DRA/CD3G/GBP2/PSMB10/PTPN6/TAP1/CSK/ETS1/TAP2/CTSS/CXCL13/GZMB/STAT1,972/567/2533/8477/8661/3105/926/3689/940/3662/56253/356/915/3001/5788/6203/5552/6892/3122/917/2634/5699/5777/6890/1445/2113/6891/1520/10563/3002/6772,CD8+ T cells,HALLMARK,Monaco_main
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,54,-0.401793853403168,-1.64806253901407,0.00235295941318716,0.0154623047152299,0.0127378253946974,1128,"tags=41%, list=24%, signal=31%",RPN1/HLA-F/IRF1/BSG/TUBA4A/BTG2/PDAP1/JUNB/GLS/PLCL1/ATP6V1F/CASP3/AGO2/TMBIM6/PPP1R2/AP2S1/BTG1/TAP1/ARRB2/BTG3/ATF3/BCL2L11,6184/3134/3659/682/7277/7832/11333/3726/2744/5334/9296/836/27161/7009/5504/1175/694/6890/409/10950/467/10018,CD8+ T cells,HALLMARK,Monaco_main
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,30,0.469253414332968,1.5625148084059,0.0200232178689626,0.115133502746535,0.0948468214845597,642,"tags=27%, list=14%, signal=23%",TGFBR1/XIAP/SKI/NCOR2/SMAD3/SMURF2/BMPR1A/BMPR2,7046/331/6497/9612/4088/64750/657/659,CD8+ T cells,HALLMARK,Monaco_main
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,45,-0.384585518603018,-1.50880230637461,0.0239756488212615,0.122542205086448,0.100950100300048,773,"tags=38%, list=16%, signal=32%",CD99/B4GALT1/GNAI2/FYB1/ACTG1/RSU1/ZYX/YWHAH/PTPRC/MYH9/GTF2F1/ACTB/PFN1/CAP1/STX4/CNN2/MYL12B,4267/2683/2771/2533/71/6251/7791/7533/5788/4627/2962/60/5216/10487/6810/1265/103910,CD8+ T cells,HALLMARK,Monaco_main
HALLMARK_COAGULATION,HALLMARK_COAGULATION,18,0.489037625016252,1.46390069702869,0.0461811722912966,0.212433392539964,0.175002337103861,1139,"tags=44%, list=24%, signal=34%",ANXA1/CAPN2/APOA1/SIRT2/FYN/CPQ/RAC1/PREP,301/824/335/22933/2534/10404/5879/5550,CD8+ T cells,HALLMARK,Monaco_main
