ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,165,-0.653207822723676,-3.20681800144881,1e-10,2.5e-09,1.84210526315789e-09,1165,"tags=53%, list=13%, signal=47%",IFI30/PDE4B/TRIM21/PSMA3/SLC25A28/STAT4/PNP/GCH1/DDX60/CDKN1A/AUTS2/IFIH1/CD38/RIPK2/BANK1/IRF4/ISOC1/SRI/KLRK1/EIF4E3/CASP1/CASP4/STAT2/IDO1/EPSTI1/CD40/GZMA/P2RY14/PTPN6/IL4R/TRIM25/TNFAIP2/UBE2L6/PARP14/HIF1A/RNF213/FCGR1A/SOCS1/SAMHD1/PSMB10/IFITM2/ZNFX1/IFITM3/EIF2AK2/CD69/IFI35/PSMA2/IRF7/IFNAR2/ST3GAL5/B2M/IRF9/NMI/SOCS3/CCL5/HLA-A/PARP12/PTPN1/MVP/CXCL10/JAK2/SAMD9L/TAPBP/PSME1/LYSMD2/VAMP5/HLA-B/LAP3/MYD88/PSME2/ISG20/APOL6/SP110/GBP4/PFKP/MX1/CXCL9/OAS2/IRF1/MX2/TAP1/PSMB8/ISG15/PSMB9/NLRC5/TNFSF10/STAT1,10437/5142/6737/5684/81894/6775/4860/2643/55601/1026/26053/64135/952/8767/55024/3662/51015/6717/22914/317649/834/837/6773/3620/94240/958/3001/9934/5777/3566/7706/7127/9246/54625/3091/57674/2209/8651/25939/5699/10581/57169/10410/5610/969/3430/5683/3665/3455/8869/567/10379/9111/9021/6352/3105/64761/5770/9961/3627/3717/219285/6892/5720/256586/10791/3106/51056/4615/5721/3669/80830/3431/115361/5214/4599/4283/4939/3659/4600/6890/5696/9636/5698/84166/8743/6772,Dendritic cells,HALLMARK,Monaco_main
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,76,-0.715499925939006,-3.09528997392775,1e-10,2.5e-09,1.84210526315789e-09,1213,"tags=63%, list=13%, signal=55%",IL15/IFI30/NCOA7/TRIM21/PSMA3/SLC25A28/DDX60/IFIH1/RIPK2/CASP1/STAT2/EPSTI1/OAS1/HLA-C/IL4R/TRIM25/UBE2L6/NUB1/PARP14/CD47/IFITM2/IFITM3/EIF2AK2/IFI35/IRF7/TMEM140/SELL/B2M/IRF9/NMI/PARP12/TRIM5/CXCL10/SAMD9L/PSME1/LAP3/PSME2/ISG20/SP110/GBP4/MX1/IRF1/PARP9/TAP1/PSMB8/ISG15/PSMB9/GBP2,3600/10437/135112/6737/5684/81894/55601/64135/8767/834/6773/94240/4938/3107/3566/7706/9246/51667/54625/961/10581/10410/5610/3430/3665/55281/6402/567/10379/9111/64761/85363/3627/219285/5720/51056/5721/3669/3431/115361/4599/3659/83666/6890/5696/9636/5698/2634,Dendritic cells,HALLMARK,Monaco_main
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,139,-0.481515377788007,-2.30038224909461,4.62939332690465e-10,7.71565554484109e-09,5.68521987514606e-09,889,"tags=54%, list=10%, signal=49%",NLRP3/MAP3K7/BCL3/WAS/BCAT1/AKT1/HDAC9/ABCE1/RPS9/IRF8/GLMN/CD3G/BCL10/GPR65/MRPL3/RPS19/RPL39/CD3E/TIMP1/IL15/HLA-DOB/STAT4/CCR5/CD1D/RIPK2/EREG/IRF4/UBE2N/SPI1/ITGAL/CAPG/LY75/CD40/CCR2/IL16/GZMA/EIF5A/CFP/CD8A/ABI1/PRKCB/PTPN6/IL4R/CD2/ELF4/PTPRC/FGR/CSK/CD79A/HIF1A/CD3D/LTB/SOCS1/CD247/CD47/PSMB10/MAP4K1/IRF7/EIF4G3/IFNAR2/B2M/CCL5/IL2RG/HLA-A/FLNA/ETS1/JAK2/TAPBP/CD96/GZMB/CXCL9/TAP2/TAP1/GBP2/STAT1,114548/6885/602/7454/586/207/9734/6059/6203/3394/11146/917/8915/8477/11222/6223/6170/916/7076/3600/3112/6775/1234/912/8767/2069/3662/7334/6688/3683/822/4065/958/729230/3603/3001/1984/5199/925/10006/5579/5777/3566/914/2000/5788/2268/1445/973/3091/915/4050/8651/919/961/5699/11184/3665/8672/3455/567/6352/3561/3105/2316/2113/3717/6892/10225/3002/4283/6891/6890/2634/6772,Dendritic cells,HALLMARK,Monaco_main
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,184,-0.399440082352682,-1.98910117429509,9.47507529749686e-08,1.18438441218711e-06,8.72704303716816e-07,2552,"tags=46%, list=28%, signal=34%",RUVBL2/UBA2/XRCC6/HDAC2/CCT7/FBL/BUB3/LSM2/EIF3J/RPLP0/YWHAE/DEK/NME1/NHP2/MCM6/RPL34/EIF2S2/RPS6/SRSF1/PSMB2/TFDP1/HNRNPA3/RPL6/HNRNPR/VDAC1/TXNL4A/ABCE1/NCBP1/SSBP1/PRDX4/RPS5/PABPC1/LDHA/SRPK1/TARDBP/HDGF/SSB/PSMA1/PSMD3/ODC1/MRPL23/PSMC6/RACK1/CBX3/PHB2/RPL22/RPS2/COX5A/EIF4G2/NOP16/SNRPD1/SNRPA/MRPL9/SRSF2/HNRNPD/PPIA/RPL14/C1QBP/EIF4E/RPS3/PRPF31/CUL1/AIMP2/LSM7/CTPS1/SNRPB2/RPL18/EXOSC7/VDAC3/SNRPG/PSMD7/RANBP1/PSMB3/PPM1G/APEX1/SNRPD2/VBP1/PSMA6/NDUFAB1/GNL3/PSMA2/UBE2L3/SET/NOLC1/PSMA4,10856/10054/2547/3066/10574/2091/9184/57819/8669/6175/7531/7913/4830/55651/4175/6164/8894/6194/6426/5690/7027/220988/6128/10236/7416/10907/6059/4686/6742/10549/6193/26986/3939/6732/23435/3068/6741/5682/5709/4953/6150/5706/10399/11335/11331/6146/6187/9377/1982/51491/6632/6626/65005/6427/3184/5478/9045/708/1977/6188/26121/8454/7965/51690/1503/6629/6141/23016/7419/6637/5713/5902/5691/5496/328/6633/7411/5687/4706/26354/5683/7332/6418/9221/5685,Dendritic cells,HALLMARK,Monaco_main
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,124,0.410742908803245,1.79285242592163,9.80760683048345e-05,0.000980760683048345,0.000722665766456675,1379,"tags=31%, list=15%, signal=26%",SDCBP/ABCG2/FECH/MFHAS1/ARHGEF12/BLVRB/CTNS/MPP1/LPIN2/BTG2/CTSB/SLC30A1/SLC11A2/ERMAP/NFE2L1/ADIPOR1/TFDP2/GAPVD1/RANBP10/EZH1/ACP5/ATP6V0A1/RBM38/DCUN1D1/CCND3/SEC14L1/RBM5/TOP1/CDR2/FOXO3/NCOA4/SYNJ1/GCLM/PRDX2/NARF/KHNYN/BNIP3L/HEBP1,6386/9429/2235/9258/23365/645/1497/4354/9663/7832/1508/7779/4891/114625/4779/51094/7029/26130/57610/2145/54/535/55544/54165/896/6397/10181/7150/1039/2309/8031/8867/2730/7001/26502/23351/665/50865,Dendritic cells,HALLMARK,Monaco_main
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,103,0.41039129708426,1.72611975994962,0.000428328335712067,0.00325646478916178,0.00239950037096131,2225,"tags=43%, list=24%, signal=33%",ABCB1/HMOX1/CYB5R1/HTR7/EIF5/MMP14/ARRB2/EPHX1/CREG1/BTG2/AMD1/FKBP4/DNAJB1/ATP6V1C1/STK25/PLCL1/TCHH/CHKA/PARP2/ATF3/SULT1A1/NR4A1/CCND3/MGAT1/FOS/FOSB/IL6ST/CDKN1C/TMBIM6/NAT1/PRKACA/CEBPG/RXRB/MARK2/SQSTM1/EPCAM/JUNB/CASP3/CDC5L/STIP1/PRPF3/KLHDC3/BSG/TGFBRAP1,5243/3162/51706/3363/1983/4323/409/2052/8804/7832/262/2288/3337/528/10494/5334/7062/1119/10038/467/6817/3164/896/4245/2353/2354/3572/1028/7009/9/5566/1054/6257/2011/8878/4072/3726/836/988/10963/9129/116138/682/9392,Dendritic cells,HALLMARK,Monaco_main
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,197,-0.310148006171474,-1.55090106956349,0.000455905070482649,0.00325646478916178,0.00239950037096131,2324,"tags=38%, list=26%, signal=29%",NDUFB1/COX6B1/COX7B/SURF1/CPT1A/ATP6V1H/ATP5F1B/NDUFB2/NDUFB6/ATP6V1G1/NDUFA8/ETFA/COX17/PDHB/COX7A2L/SLC25A6/VDAC1/CYB5R3/NDUFB3/MRPS30/MRPS15/NDUFS8/NDUFA1/ATP5PF/ATP5ME/DLAT/PHYH/NDUFS4/LDHA/UQCRQ/ATP5F1E/IDH3G/NDUFB4/PDHX/TOMM22/HSD17B10/NDUFB7/COX4I1/NDUFC1/COX8A/PHB2/SDHB/ETFB/ATP5MC2/ATP5PO/BAX/COX5A/ATP5MC1/GRPEL1/MRPL11/ATP5F1C/NDUFA7/TCIRG1/CYCS/NDUFC2/COX7A2/VDAC3/ACAA1/DECR1/TIMM10/ATP5MF/NDUFV2/OGDH/TIMM17A/ATP5MG/COX6A1/NDUFAB1/MRPS12/NDUFS6/OXA1L/LDHB/NDUFA9/TIMM8B/IDH3A,4707/1340/1349/6834/1374/51606/506/4708/4712/9550/4702/2108/10063/5162/9167/293/7416/1727/4709/10884/64960/4728/4694/522/521/1737/5264/4724/3939/27089/514/3421/4710/8050/56993/3028/4713/1327/4717/1351/11331/6390/2109/517/539/581/9377/516/80273/65003/509/4701/10312/54205/4718/1347/7419/30/1666/26519/9551/4729/4967/10440/10632/1337/4706/6183/4726/5018/3945/4704/26521/3419,Dendritic cells,HALLMARK,Monaco_main
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,45,0.460390687343162,1.65778548886733,0.00564675400229468,0.0352922125143418,0.0260047881684623,980,"tags=27%, list=11%, signal=24%",IFT88/MLF1/PIAS2/SHE/SIRT1/COIL/TLE4/PARP2/IP6K1/AGFG1/SPATA6/ARL4A,8100/4291/9063/126669/23411/8161/7091/10038/9807/3267/54558/10124,Dendritic cells,HALLMARK,Monaco_main
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,68,-0.35840044419021,-1.52660645073103,0.0119361433961957,0.0652363580247326,0.0480688953866451,540,"tags=22%, list=6%, signal=21%",STAT2/IL4R/LTB/SOCS1/IL3RA/IRF9/SOCS3/IL2RG/PTPN1/CXCL10/CD44/MYD88/CXCL9/IRF1/STAT1,6773/3566/4050/8651/3563/10379/9021/3561/5770/3627/960/4615/4283/3659/6772,Dendritic cells,HALLMARK,Monaco_main
HALLMARK_COAGULATION,HALLMARK_COAGULATION,55,0.394759341279755,1.48960848196245,0.0130472716049465,0.0652363580247326,0.0480688953866451,1556,"tags=35%, list=17%, signal=29%",ADAM9/APOC1/A2M/LGMN/MMP14/PDGFB/MAFF/C1QA/CTSB/CPQ/DUSP6/PROS1/P2RY1/RABIF/APOC2/MSRB2/C2/CFD/F8,8754/341/2/5641/4323/5155/23764/712/1508/10404/1848/5627/5028/5877/344/22921/717/1675/2157,Dendritic cells,HALLMARK,Monaco_main
