ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,185,-0.585816780369283,-2.93722086043554,1e-10,1.25e-09,7.63157894736842e-10,1567,"tags=57%, list=21%, signal=46%",ATP5MC2/FXN/ETFDH/ATP5F1A/UQCR10/NDUFA3/NNT/NDUFS2/NDUFA5/PDHA1/DLD/TOMM70/GPX4/NDUFS1/ATP6V0E1/SDHC/NDUFC1/OXA1L/UQCRB/TOMM22/SURF1/ETFA/TIMM17A/FH/ECH1/COX17/ATP5PB/LDHB/NDUFB7/MRPS15/NDUFA7/SLC25A3/MRPL34/MDH1/UQCRFS1/HSD17B10/NDUFB8/NDUFC2/ATP5PO/VDAC2/NDUFS6/DECR1/NDUFB4/MDH2/NDUFAB1/MGST3/NDUFB1/ATP6V1G1/ATP5F1D/SDHB/SUCLG1/ATP6V1E1/UQCRC1/COX5A/MRPS11/ATP6V0C/NDUFA1/COX4I1/COX7C/CYB5R3/ATP5F1C/NDUFA6/COX6B1/UQCRH/ETFB/NDUFS8/POLR2F/ATP6V1F/LDHA/ATP5ME/MRPL11/SDHD/COX15/ATP5MF/SLC25A5/ACAT1/COX6A1/MRPS12/ATP5F1B/SUCLA2/ATP5F1E/ATP5MG/NDUFB5/NDUFA9/COX7B/CYC1/ATP5MC3/TIMM8B/CYB5A/ATP5PF/IDH2/NDUFB3/ATP5PD/NDUFV2/TIMM13/COX7A2/COX5B/ATP5MC1/ACAA2/ECHS1/COX8A/UQCR11/NDUFB2/NDUFA2/VDAC1/COX6C,517/2395/2110/498/29796/4696/23530/4720/4698/5160/1738/9868/2879/4719/8992/6391/4717/5018/7381/56993/6834/2108/10440/2271/1891/10063/515/3945/4713/64960/4701/5250/64981/4190/7386/3028/4714/4718/539/7417/4726/1666/4710/4191/4706/4259/4707/9550/513/6390/8802/529/7384/9377/64963/527/4694/1327/1350/1727/509/4700/1340/7388/2109/4728/5435/9296/3939/521/65003/6392/1355/9551/292/38/1337/6183/506/8803/514/10632/4711/4704/1349/1537/518/26521/1528/522/3418/4709/10476/4729/26517/1347/1329/516/10449/1892/1351/10975/4708/4695/7416/1345,Monocytes,HALLMARK,Monaco_main
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,153,-0.576442255314028,-2.79766792392941,1e-10,1.25e-09,7.63157894736842e-10,993,"tags=41%, list=13%, signal=36%",PIM1/IFNAR2/SAMD9L/CD69/IFIT1/SERPING1/CASP1/MVP/EPSTI1/MX1/SOCS1/IFIT2/ST3GAL5/NUP93/MTHFD2/PARP12/IRF8/PARP14/RBCK1/IL4R/CCL5/FCGR1A/UBE2L6/TNFSF10/SRI/TAPBP/CD38/SLAMF7/SECTM1/PLSCR1/NLRC5/CD40/PSMA3/LYSMD2/PSMB8/IL15/RNF213/IFI35/VAMP8/CXCL9/IFITM3/LY6E/IRF1/TAP1/STAT4/IFIT3/NMI/IFI30/CXCL10/LAP3/PSMA2/VAMP5/PSMB2/PSMB9/PSMB10/GBP4/HLA-A/PSME1/HLA-B/STAT1/B2M/PSME2,5292/3455/219285/969/3434/710/834/9961/94240/4599/8651/3433/8869/9688/10797/64761/3394/54625/10616/3566/6352/2209/9246/8743/6717/6892/952/57823/6398/5359/84166/958/5684/256586/5696/3600/57674/3430/8673/4283/10410/4061/3659/6890/6775/3437/9111/10437/3627/51056/5683/10791/5690/5698/5699/115361/3105/5720/3106/6772/567/5721,Monocytes,HALLMARK,Monaco_main
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,175,-0.5224621450344,-2.58937867032889,1e-10,1.25e-09,7.63157894736842e-10,1923,"tags=58%, list=26%, signal=44%",RPL6/HDDC2/VDAC3/DDX18/DHX15/GLO1/DEK/MRPS18B/MRPL9/KPNB1/FAM120A/EIF1AX/SNRPA1/EIF4H/PRDX3/NOP16/VBP1/RNPS1/RPS2/HDAC2/SNRPA/RPS5/SF3B3/CCT2/PRDX4/HPRT1/RPLP0/HNRNPD/HNRNPA1/IMPDH2/ILF2/TOMM70/SRM/NOP56/RPL22/GSPT1/MRPL23/RANBP1/RPS10/RPL18/USP1/TFDP1/TARDBP/ABCE1/STARD7/RPL14/CCT7/SLC25A3/PPM1G/SNRPB2/PGK1/NHP2/PSMA7/SSBP1/COPS5/HNRNPA3/CCT5/PA2G4/RRM1/NDUFAB1/KPNA2/EIF2S2/AIMP2/SERBP1/PCNA/GNL3/YWHAE/XRCC6/COX5A/LSM2/TXNL4A/HNRNPR/PSMD7/SNRPD2/SYNCRIP/CANX/PSMA6/LDHA/PSMD3/AP3S1/C1QBP/SNRPD1/LSM7/HDGF/PSMB3/PSMA4/NCBP2/CYC1/CUL1/PSMD1/UBE2L3/SSB/DUT/SNRPG/PRPS2/SET/NME1/RAN/PPIA/PSMA2/PSMB2/VDAC1,6128/51020/7419/8886/1665/2739/7913/28973/65005/3837/23196/1964/6627/7458/10935/51491/7411/10921/6187/3066/6626/6193/23450/10576/10549/3251/6175/3184/3178/3615/3608/9868/6723/10528/6146/2935/6150/5902/6204/6141/7398/7027/23435/6059/56910/9045/10574/5250/5496/6629/5230/55651/5688/6742/10987/220988/22948/5036/6240/4706/3838/8894/7965/26135/5111/26354/7531/2547/9377/57819/10907/10236/5713/6633/10492/821/5687/3939/5709/1176/708/6632/51690/3068/5691/5685/22916/1537/8454/5707/7332/6741/1854/6637/5634/6418/4830/5901/5478/5683/5690/7416,Monocytes,HALLMARK,Monaco_main
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,71,-0.604810854053156,-2.57910146005642,1e-10,1.25e-09,7.63157894736842e-10,886,"tags=42%, list=12%, signal=38%",CASP1/EPSTI1/MX1/IFIT2/PARP12/NUB1/PARP14/IL4R/UBE2L6/PLSCR1/PSMA3/PSMB8/IL15/IFI35/IFITM3/LY6E/IRF1/TAP1/IFIT3/NMI/IFI30/CXCL10/PARP9/LAP3/PSMB9/GBP4/HLA-C/PSME1/B2M/PSME2,834/94240/4599/3433/64761/51667/54625/3566/9246/5359/5684/5696/3600/3430/10410/4061/3659/6890/3437/9111/10437/3627/83666/51056/5698/115361/3107/5720/567/5721,Monocytes,HALLMARK,Monaco_main
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,107,-0.44248899313941,-2.0384185888109,1.24248739501222e-06,1.24248739501222e-05,7.58571251691671e-06,1485,"tags=40%, list=20%, signal=33%",POLR1D/HPRT1/POLA1/GTF2F1/SNAPC5/EDF1/IMPDH2/GPX4/CSTF3/RPA3/SURF1/EIF1B/COX17/ITPA/POLR2H/SF3A3/POLD4/ERCC8/POLR2C/XPC/PCNA/UMPS/NME4/SUPT4H1/RFC2/RBX1/POLR2F/TAF10/POLR2I/ADRM1/DGUOK/TMED2/POLR2K/NCBP2/MRPL40/POLR2E/APRT/GUK1/ALYREF/DUT/NME1/GTF2H5/NT5C,51082/3251/5422/2962/10302/8721/3615/2879/1479/6119/6834/10289/10063/3704/5437/10946/57804/1161/5432/7508/5111/7372/4833/6827/5982/9978/5435/6881/5438/11047/1716/10959/5440/22916/64976/5434/353/2987/10189/1854/4830/404672/30833,Monocytes,HALLMARK,Monaco_main
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,118,-0.406697440190509,-1.8994116126157,1.77583721349901e-05,0.000147986434458251,9.03496126166161e-05,1079,"tags=28%, list=15%, signal=24%",RPS9/ABCE1/CD80/IFNAR2/WAS/SOCS1/MRPL3/TAP2/AKT1/IGSF6/CCR1/IRF8/IL2RA/IFNGR2/SPI1/CD1D/IL4R/CCL5/IL10/ITGB2/TAPBP/IL2RG/CD40/IL15/EIF5A/CXCL9/TAP1/NME1/STAT4/PSMB10/HLA-A/STAT1/B2M,6203/6059/941/3455/7454/8651/11222/6891/207/10261/1230/3394/3559/3460/6688/912/3566/6352/3586/3689/6892/3561/958/3600/1984/4283/6890/4830/6775/5699/3105/6772/567,Monocytes,HALLMARK,Monaco_main
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,151,0.377513949326981,1.74879165224525,2.80924893036644e-05,0.000200660637883317,0.000122508599970867,1693,"tags=38%, list=23%, signal=30%",CCNL1/CD83/BTG2/KLF6/CCL2/DNAJB4/FOS/FOSB/IL6ST/PPP1R15A/KLF2/CXCL3/GEM/JUN/RHOB/IL1B/DUSP1/PNRC1/EGR1/GADD45B/PER1/GCH1/PHLDA1/G0S2/IER2/LDLR/CCRL2/NFKBIA/MCL1/KLF4/KLF10/TIPARP/SQSTM1/CEBPD/NFKB1/NR4A1/NFAT5/NR4A2/ETS2/TNF/CXCL2/EIF1/EGR2/EGR3/B4GALT1/IER3/SGK1/PFKFB3/NFE2L2/BCL6/ICAM1/PLK2/BTG3/ATP2B1/BCL2A1/TSC22D1/ATF3/ZBTB10,57018/9308/7832/1316/6347/11080/2353/2354/3572/23645/10365/2921/2669/3725/388/3553/1843/10957/1958/4616/5187/2643/22822/50486/9592/3949/9034/4792/4170/9314/7071/25976/8878/1052/4790/3164/10725/4929/2114/7124/2920/10209/1959/1960/2683/8870/6446/5209/4780/604/3383/10769/10950/490/597/8848/467/65986,Monocytes,HALLMARK,Monaco_main
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,129,-0.377604777613225,-1.7909215402533,5.21100512204126e-05,0.000325687820127579,0.000198840984919995,1508,"tags=35%, list=20%, signal=28%",UQCR10/HADH/SOD1/NDUFA5/DLD/GPX4/PTCD3/SDHC/SCP2/ENPP2/ATP1B3/ECH1/MTCH2/NDUFB7/STOM/JAGN1/TST/ESRRA/GHITM/ATP5PO/DECR1/MDH2/NDUFAB1/MGST3/SDHB/SUCLG1/UQCRC1/RAB34/UCP2/REEP5/ETFB/MGLL/COX6A1/COX7B/CYC1/SLC1A5/SQOR/DNAJC15/AK2/CHCHD10/ACAA2/ECHS1/DDT/COX8A/UQCR11,29796/3033/6647/4698/1738/2879/55037/6391/6342/5168/483/1891/23788/4713/2040/84522/7263/2101/27069/539/1666/4191/4706/4259/6390/8802/7384/83871/7351/7905/2109/11343/1337/1349/1537/6510/58472/29103/204/400916/10449/1892/1652/1351/10975,Monocytes,HALLMARK,Monaco_main
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,96,-0.403488804962172,-1.81829302647326,9.73182007734402e-05,0.000540656670963557,0.000330085125430382,1386,"tags=38%, list=19%, signal=31%",PDHA1/BLVRA/XIST/DLD/SDHC/UROS/FH/ECH1/ALDH1A1/RDH11/METAP1/YWHAH/MDH1/HSD17B4/HSD17B10/DECR1/MDH2/ADSL/SUCLG1/HMGCL/OSTC/ERP29/LDHA/MGLL/CD1D/LGALS1/GRHPR/SDHD/UBE2L6/SUCLA2/CA2/CBR1/MIF/ACAA2/ECHS1/PSME1,5160/644/7503/1738/6391/7390/2271/1891/216/51109/23173/7533/4190/3295/3028/1666/4191/158/8802/3155/58505/10961/3939/11343/912/3956/9380/6392/9246/8803/760/873/4282/10449/1892/5720,Monocytes,HALLMARK,Monaco_main
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,109,-0.381829509568342,-1.77158637356575,0.000293802083916841,0.0014690104195842,0.000896869519325093,1885,"tags=44%, list=25%, signal=33%",NUDT21/CKS2/RAD51AP1/DEK/SMC3/POLE4/EXOSC8/CSE1L/STMN1/NCAPD2/PRDX4/HNRNPD/BRCA2/HMGA1/SMC1A/NOP56/DCTPP1/MLH1/GSPT1/RPA3/RANBP1/HMGB2/USP1/LYAR/CNOT9/SNRPB/JPT1/ANP32E/PA2G4/KPNA2/PCNA/MTHFD2/NAA38/PAICS/XRCC6/SLBP/SYNCRIP/LBR/RFC2/MKI67/AK2/DUT/NME1/ILF3/RAN/DNMT1/TUBB/LMNB1,11051/1164/10635/7913/9126/56655/11340/1434/3925/9918/10549/3184/675/3159/8243/10528/79077/4292/2935/6119/5902/3148/7398/55646/9125/6628/51155/81611/5036/3838/5111/10797/84316/10606/2547/7884/10492/3930/5982/4288/204/1854/4830/3609/5901/1786/203068/4001,Monocytes,HALLMARK,Monaco_main
