ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,21,0.601067131406063,1.73698729937695,0.00475705348564213,0.0491562193516353,0.0467359640694665,144,"tags=38%, list=15%, signal=33%",PRKCE/NR3C1/RASA2/AKT3/KIT/ATP2B1/PRKCA/PHF3,5581/2908/5922/10000/3815/490/5578/23469,Progenitors,HALLMARK,Monaco_main
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,40,-0.45199474697516,-1.72945218491338,0.00374609304653287,0.0491562193516353,0.0467359640694665,202,"tags=45%, list=21%, signal=37%",KLF2/CCL4/CD69/PPP1R15A/SAT1/CD83/NR4A3/SQSTM1/PER1/TNFAIP3/FOSB/CCNL1/ZFP36/GPR183/KLF6/NR4A2/NR4A1/TSC22D1,10365/6351/969/23645/6303/9308/8013/8878/5187/7128/2354/57018/7538/1880/1316/4929/3164/8848,Progenitors,HALLMARK,Monaco_main
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,11,0.707076733015461,1.72150777595751,0.00345934853271071,0.0491562193516353,0.0467359640694665,82,"tags=45%, list=8%, signal=42%",GOLGA4/RPS6KA3/ARFGEF1/ADAM10/RAB2A,2803/6197/10565/102/5862,Progenitors,HALLMARK,Monaco_main
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,11,-0.566795045268585,-1.53748031717796,0.0523124427380515,0.404934687953556,0.384997326407456,169,"tags=55%, list=17%, signal=46%",HPGD/ACSL4/ELOVL5/ACADM/PSME1/GLUL,3248/2182/60481/34/5720/2752,Progenitors,HALLMARK,Monaco_main
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,21,0.496251479383869,1.43408692964193,0.0653120464441219,0.404934687953556,0.384997326407456,138,"tags=29%, list=14%, signal=25%",YWHAB/SLA/GRB2/RPS6KA3/IL2RG/GSK3B,7529/6503/2885/6197/3561/2932,Progenitors,HALLMARK,Monaco_main
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,10,-0.54371314955965,-1.44775102203707,0.0824742268041237,0.413161182840483,0.392818781647998,125,"tags=70%, list=13%, signal=62%",G3BP2/LTC4S/PDCD4/RREB1/SOD1/ACADM/IFNGR1,9908/4056/27250/6239/6647/34/3459,Progenitors,HALLMARK,Monaco_main
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,20,0.482687200580612,1.38223131219285,0.0932944606413994,0.413161182840483,0.392818781647998,198,"tags=35%, list=20%, signal=28%",ARHGAP10/PCM1/ARFGEF1/RASA2/CD2AP/SMC3/DOCK2,79658/5108/10565/5922/23607/9126/1794,Progenitors,HALLMARK,Monaco_main
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,15,-0.398695489391116,-1.18878087330612,0.202816901408451,0.723991507430998,0.688345066487876,115,"tags=33%, list=12%, signal=30%",SDCBP/FOXO3/RNF19A/PICALM/BACH1,6386/2309/25897/8301/571,Progenitors,HALLMARK,Monaco_main
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,22,-0.349973472904886,-1.16847664560785,0.210191082802548,0.723991507430998,0.688345066487876,118,"tags=23%, list=12%, signal=20%",PSME1/CD74/TNFAIP3/STAT3/HLA-DRB1,5720/972/7128/6774/3123,Progenitors,HALLMARK,Monaco_main
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,29,-0.307723226190558,-1.1122828776693,0.251572327044025,0.779874213836478,0.741476332340285,102,"tags=24%, list=10%, signal=22%",TPI1/IDS/FOXO3/TNFAIP3/ZFP36/WSB1/KLF6,7167/3423/2309/7128/7538/26118/1316,Progenitors,HALLMARK,Monaco_main
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,19,0.40146112611329,1.13072731492049,0.292466765140325,0.824224519940916,0.783643007074555,311,"tags=47%, list=32%, signal=33%",GRB2/LGALS3/LCP2/LYN/CALM1/FYN/FCER1G/CBLB/CD46,2885/3958/3937/4067/801/2534/2207/868/4179,Progenitors,HALLMARK,Monaco_main
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,19,-0.344821292777433,-1.08555715795602,0.323076923076923,0.834615384615385,0.793522267206478,156,"tags=53%, list=16%, signal=45%",JUNB/BTG2/IRF1/FOS/HLA-F/HNRNPU/DNAJB1/SQSTM1/FOSB/NR4A1,3726/7832/3659/2353/3134/3192/3337/8878/2354/3164,Progenitors,HALLMARK,Monaco_main
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,17,0.387284832254214,1.05226759209987,0.41248097412481,0.940763318314339,0.894443901962699,105,"tags=18%, list=11%, signal=16%",HERPUD1/SEC11A/EIF4A2,9709/23478/1974,Progenitors,HALLMARK,Monaco_main
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,15,-0.319871060784451,-0.953751946292194,0.515492957746479,0.940763318314339,0.894443901962699,18,"tags=13%, list=2%, signal=13%",IFNGR1/STAT3,3459/6774,Progenitors,HALLMARK,Monaco_main
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,23,0.322498009958167,0.951660351283798,0.534206695778748,0.940763318314339,0.894443901962699,111,"tags=22%, list=11%, signal=20%",PIAS1/TNFAIP8/RPS6KA3/CCND3/PTK2B,8554/25816/6197/896/2185,Progenitors,HALLMARK,Monaco_main
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,27,0.307252666842337,0.941851924571581,0.556521739130435,0.940763318314339,0.894443901962699,132,"tags=19%, list=14%, signal=16%",CD96/CCND3/IL2RG/LCP2/LYN,10225/896/3561/3937/4067,Progenitors,HALLMARK,Monaco_main
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,24,-0.269632706023636,-0.930530883650444,0.525806451612903,0.940763318314339,0.894443901962699,50,"tags=21%, list=5%, signal=20%",NFKBIZ/IL1RL1/RHOH/KLF6/IFNGR1,64332/9173/399/1316/3459,Progenitors,HALLMARK,Monaco_main
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,18,-0.290013979066115,-0.903995507332935,0.585585585585586,0.940763318314339,0.894443901962699,48,"tags=17%, list=5%, signal=16%",RGS1/GPR183/KLF6,5996/1880/1316,Progenitors,HALLMARK,Monaco_main
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,15,-0.298004864936215,-0.888554029365552,0.625352112676056,0.940763318314339,0.894443901962699,256,"tags=40%, list=26%, signal=30%",ENO1/STMN1/HS2ST1/NASP/CXCR4/TPI1,2023/3925/9653/4678/7852/7167,Progenitors,HALLMARK,Monaco_main
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,13,-0.299165079919921,-0.862348640421014,0.630434782608696,0.940763318314339,0.894443901962699,59,"tags=38%, list=6%, signal=37%",SNRPB/STMN1/NASP/HMGB2/NAP1L1,6628/3925/4678/3148/4673,Progenitors,HALLMARK,Monaco_main
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,15,0.330422409914685,0.861673814484074,0.652241112828439,0.940763318314339,0.894443901962699,36,"tags=13%, list=4%, signal=13%",SVIL/NRIP1,6840/8204,Progenitors,HALLMARK,Monaco_main
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,20,0.294708272424009,0.843931642721681,0.667638483965015,0.940763318314339,0.894443901962699,198,"tags=30%, list=20%, signal=24%",RABGAP1L/IL2RG/ID2/IL7R/VWA5A/DOCK2,9910/3561/3398/3575/4013/1794,Progenitors,HALLMARK,Monaco_main
