ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,196,-0.719772007668281,-3.34700280356305,1e-10,7.14285714285714e-10,4.06015037593985e-10,2057,"tags=58%, list=16%, signal=49%",TCF19/GSPT1/HNRNPD/ZW10/POLD1/CDKN2C/PAICS/RAN/TP53/TUBG1/SHMT1/UBR7/TUBB/DONSON/IPO7/SSRP1/HMGA1/NASP/WDR90/SPAG5/BARD1/DEK/MMS22L/WEE1/GINS3/POLA2/MXD3/MRE11/CTPS1/CHEK2/MYBL2/HMGB3/HMGB2/UBE2S/SMC6/XRCC6/SNRPB/PRIM2/TFRC/DNMT1/MCM7/ORC6/TMPO/MTHFD2/AK2/NME1/SPC24/PCNA/MCM5/CDC25B/RFC3/PLK1/CIT/ATAD2/RPA3/AURKA/NCAPD2/PLK4/DDX39A/HELLS/CDCA3/PTTG1/CKS2/MCM3/E2F8/MAD2L1/BRCA2/TIMELESS/MCM4/CDC20/KIF22/CENPM/SPC25/MCM2/CDCA8/CENPE/KPNA2/CCNE1/BUB1B/LMNB1/RACGAP1/DSCC1/GINS4/TK1/KIF4A/TACC3/UBE2T/DIAPH3/BIRC5/CDK1/RAD51AP1/DEPDC1/RRM2/CCNB2/CDKN3/TOP2A/SMC4/DLGAP5/AURKB/HMMR/EZH2/KIF18B/KIF2C/ASF1B/JPT1/CHEK1/BRCA1/MCM6/CDKN2A/MELK/GINS1/MKI67/STMN1,6941/2935/3184/9183/5424/1031/10606/5901/7157/7283/6470/55148/203068/29980/10527/6749/3159/4678/197335/10615/580/7913/253714/7465/64785/23649/83463/4361/1503/11200/4605/3149/3148/27338/79677/2547/6628/5558/7037/1786/4176/23594/7112/10797/204/4830/147841/5111/4174/994/5983/5347/11113/29028/6119/6790/9918/10733/10212/3070/83461/9232/1164/4172/79733/4085/675/8914/4173/991/3835/79019/57405/4171/55143/1062/3838/898/701/4001/29127/79075/84296/7083/24137/10460/29089/81624/332/983/10635/55635/6241/9133/1033/7153/10051/9787/9212/3161/2146/146909/11004/55723/51155/1111/672/4175/1029/9833/9837/4288/3925,T cells,HALLMARK,Monaco_main
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,187,-0.689504330779127,-3.18401838615814,1e-10,7.14285714285714e-10,4.06015037593985e-10,1171,"tags=43%, list=9%, signal=40%",MT2A/POLA2/HMGN2/NSD2/UCK2/MYBL2/HMGB3/UBE2S/PRIM2/BCL3/CHMP1A/ORC6/TROAP/KPNB1/TMPO/RAD54L/MCM5/CDC25B/DR1/CENPA/PLK1/AURKA/PLK4/DDX39A/PTTG1/CKS2/MCM3/MAD2L1/BRCA2/STIL/UBE2C/CDC20/KIF22/CDC7/PBK/MCM2/CENPE/KPNA2/CCNA2/LMNB1/RACGAP1/KIF23/KIF4A/TACC3/SMC2/BIRC5/E2F1/CDK1/EXO1/CDC45/KIF15/CCNB2/CDKN3/E2F3/TOP2A/BUB1/CHAF1A/SMC4/AURKB/POLQ/HMMR/EZH2/CDC6/KNL1/KIF2C/KIF20B/TTK/CENPF/JPT1/CHEK1/NDC80/GINS2/TPX2/MCM6/TFDP1/PRC1/MKI67/KIF11/STMN1/NUSAP1,4502/23649/3151/7468/7371/4605/3149/27338/5558/602/5119/23594/10024/3837/7112/8438/4174/994/1810/1058/5347/6790/10733/10212/9232/1164/4172/4085/675/6491/11065/991/3835/8317/55872/4171/1062/3838/890/4001/29127/9493/24137/10460/10592/332/1869/983/9156/8318/56992/9133/1033/1871/7153/699/10036/10051/9212/10721/3161/2146/990/57082/11004/9585/7272/1063/51155/1111/10403/51659/22974/4175/7027/9055/4288/3832/3925/51203,T cells,HALLMARK,Monaco_main
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,92,-0.70142992465942,-2.9442905517547,1e-10,7.14285714285714e-10,4.06015037593985e-10,1711,"tags=60%, list=13%, signal=52%",RTP4/IL7/IRF7/IFI27/HELZ2/SAMD9/ELF1/NUB1/PSMA3/MX1/USP18/B2M/TRIM25/TRIM5/TRIM21/CASP8/CCRL2/HLA-C/CASP1/BST2/CSF1/TRAFD1/IFI30/UBA7/SP110/IFIT2/NMI/MVB12A/GBP2/OASL/ADAR/IRF1/LY6E/PARP14/IFIT3/PLSCR1/DDX60/TMEM140/LAP3/ISG20/PSME1/SAMD9L/ISG15/STAT2/CD74/PSMB8/EPSTI1/IRF9/PSMB9/IFI35/UBE2L6/PSME2/TAP1/GBP4/PARP9,64108/3574/3665/3429/85441/54809/1997/51667/5684/4599/11274/567/7706/85363/6737/841/9034/3107/834/684/1435/10906/10437/7318/3431/3433/9111/93343/2634/8638/103/3659/4061/54625/3437/5359/55601/55281/51056/3669/5720/219285/9636/6773/972/5696/94240/10379/5698/3430/9246/5721/6890/115361/83666,T cells,HALLMARK,Monaco_main
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,175,-0.631544697580311,-2.89798184965915,1e-10,7.14285714285714e-10,4.06015037593985e-10,1997,"tags=53%, list=15%, signal=45%",IL18BP/TNFAIP3/IRF2/TRIM26/RAPGEF6/KLRK1/HLA-DMA/RTP4/IL7/GCH1/IRF7/CASP7/CIITA/HLA-B/IL2RB/IFI27/VAMP5/ISOC1/HELZ2/OAS3/IRF4/CCL5/NLRC5/ICAM1/BPGM/MT2A/PSMA3/ST8SIA4/MX1/USP18/B2M/TRIM25/TRIM21/CASP8/MVP/SLAMF7/CASP1/BST2/HLA-A/TRAFD1/CASP3/IFI30/HLA-DQA1/SP110/PELI1/RBCK1/STAT3/OAS2/PSMA2/MTHFD2/FAS/IFIT2/ZBP1/NMI/OASL/ADAR/IRF1/LY6E/NAMPT/PARP14/IFIT3/PLSCR1/DDX60/APOL6/LAP3/ISG20/PSME1/SAMD9L/ITGB7/CASP4/PSMB2/TAPBP/RNF213/GPR18/ISG15/STAT2/CD74/PSMB8/EPSTI1/HLA-DRB1/XAF1/IRF9/PSMB9/PSMB10/CD38/IFI35/UBE2L6/PSME2/TAP1/GBP4/STAT1/GZMA,10068/7128/3660/7726/51735/22914/3108/64108/3574/2643/3665/840/4261/3106/3560/3429/10791/51015/85441/4940/3662/6352/84166/3383/669/4502/5684/7903/4599/11274/567/7706/6737/841/9961/57823/834/684/3105/10906/836/10437/3117/3431/57162/10616/6774/4939/5683/10797/355/3433/81030/9111/8638/103/3659/4061/10135/54625/3437/5359/55601/80830/51056/3669/5720/219285/3695/837/5690/6892/57674/2841/9636/6773/972/5696/94240/3123/54739/10379/5698/5699/952/3430/9246/5721/6890/115361/6772/3001,T cells,HALLMARK,Monaco_main
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,-0.561226943676449,-2.618607483119,1e-10,7.14285714285714e-10,4.06015037593985e-10,3056,"tags=60%, list=23%, signal=47%",COX6B1/POLR2F/ACAA1/ECHS1/HADHB/MRPL35/SDHB/VDAC2/ATP5MC1/NDUFB7/ACAA2/CPT1A/NDUFC1/COX10/BCKDHA/NDUFA1/TOMM22/OGDH/NDUFS4/NDUFB2/ATP6V1E1/HSPA9/CYCS/ATP6V0C/COX6A1/AIFM1/UQCRC1/BDH2/UQCRQ/NDUFB5/COX17/ATP6V0B/ATP5PO/ATP6V1F/NDUFB8/ATP5F1E/NDUFV1/VDAC3/IDH3G/MRPS12/GLUD1/NDUFA9/UQCR10/VDAC1/TIMM50/NDUFA2/NDUFB4/ATP5PF/CASP7/ATP5F1D/MRPL15/ETFDH/PRDX3/MRPS15/ATP6V0E1/NDUFB1/CYB5A/ATP5MG/TIMM8B/ATP5PD/OAT/PHB2/ECI1/COX7A2/UQCRH/COX15/CYC1/MRPL11/GPI/IDH3A/SLC25A11/TIMM13/DECR1/ACO2/SDHC/COX6C/ATP5F1A/NDUFAB1/NDUFA8/PDHB/NDUFS3/NDUFV2/BAX/NDUFS7/COX8A/OPA1/NDUFB3/ATP5PB/COX5B/COX7B/NDUFA6/UQCRFS1/ATP5MF/SLC25A6/ATP5F1B/ATP6V1D/NDUFA7/LDHB/TCIRG1/NDUFS6/ATP5F1C/SUCLG1/NDUFB6/SLC25A3/ATP6V1H/MDH2/MDH1/HSD17B10/ATP5MC3/FH/SLC25A12/ETFA/NDUFS8/LDHA/UQCRC2/PHYH/COX5A/SLC25A5/IDH2,1340/5435/30/1892/3032/51318/6390/7417/516/4713/10449/1374/4717/1352/593/4694/56993/4967/4724/4708/529/3313/54205/527/1337/9131/7384/56898/27089/4711/10063/533/539/9296/4714/514/4723/7419/3421/6183/2746/4704/29796/7416/92609/4695/4710/522/840/513/29088/2110/10935/64960/8992/4707/1528/10632/26521/10476/4942/11331/1632/1347/7388/1355/1537/65003/2821/3419/8402/26517/1666/50/6391/1345/498/4706/4702/5162/4722/4729/581/374291/1351/4976/4709/515/1329/1349/4700/7386/9551/293/506/51382/4701/3945/10312/4726/509/8802/4712/5250/51606/4191/4190/3028/518/2271/8604/2108/4728/3939/7385/5264/9377/292/3418,T cells,HALLMARK,Monaco_main
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,195,-0.509918750499953,-2.37256673353005,1e-10,7.14285714285714e-10,4.06015037593985e-10,2676,"tags=43%, list=20%, signal=35%",EIF3J/PWP1/CCT7/SNRPB2/DUT/EXOSC7/IFRD1/MRPL23/EIF4A1/RANBP1/RPLP0/PSMA7/SNRPD2/RUVBL2/ERH/CDK2/CCT3/GSPT1/LSM7/PGK1/HNRNPD/SET/SRSF3/RAN/VDAC3/HDGF/SRPK1/VDAC1/HNRNPR/PRDX3/CANX/PSMD3/SNRPD1/ILF2/EIF4H/PHB2/DEK/PSMD7/TUFM/CYC1/PSMD8/RRM1/PRPS2/PRPF31/NDUFAB1/CTPS1/LSM2/XRCC6/HNRNPA3/MCM7/ETF1/SLC25A3/KPNB1/PPM1G/PSMA2/PSMA1/NME1/PSMD14/PCNA/HDDC2/SNRPG/MCM5/SRM/UBE2L3/PSMC4/STARD7/LDHA/MAD2L1/HPRT1/MCM4/PSMA4/COX5A/CDC20/PSMB2/MCM2/PSMD1/KPNA2/CCNA2/PSMB3/CDC45/PSMA6/MCM6/TFDP1/TYMS,8669/11137/10574/6629/1854/23016/3475/6150/1973/5902/6175/5688/6633/10856/2079/1017/7203/2935/51690/5230/3184/6418/6428/5901/7419/3068/6732/7416/10236/10935/821/5709/6632/3608/7458/11331/7913/5713/7284/1537/5714/6240/5634/26121/4706/1503/57819/2547/220988/4176/2107/5250/3837/5496/5683/5682/4830/10213/5111/51020/6637/4174/6723/7332/5704/56910/3939/4085/3251/4173/5685/9377/991/5690/4171/5707/3838/890/5691/8318/5687/4175/7027/7298,T cells,HALLMARK,Monaco_main
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,161,-0.507331359335696,-2.30960392248483,1e-10,7.14285714285714e-10,4.06015037593985e-10,1910,"tags=36%, list=15%, signal=31%",CCL4/FLNA/FYB1/HLA-DMA/CCR1/HLA-DMB/IL7/IRF7/IL2RB/CD8B/IRF4/CCL5/ICAM1/FASLG/TLR3/CXCL13/MAP4K1/BCAT1/ST8SIA4/IL2RG/B2M/PTPRC/CRTAM/LCK/HLA-A/CD8A/CSF1/CD7/BCL3/HLA-DQA1/FAS/SRGN/UBE2N/NME1/CD3G/GBP2/HLA-E/CCR5/HLA-DRA/CSK/AKT1/PRF1/IL12RB1/CD3D/TAPBP/CD74/HCLS1/IL10/GALNT1/PSMB10/BRCA1/CDKN2A/TAP1/CTSS/STAT1/GZMB/TAP2/GZMA,6351/2316/2533/3108/1230/3109/3574/3665/3560/926/3662/6352/3383/356/7098/10563/11184/586/7903/3561/567/5788/56253/3932/3105/925/1435/924/602/3117/355/5552/7334/4830/917/2634/3133/1234/3122/1445/207/5551/3594/915/6892/972/3059/3586/2589/5699/672/1029/6890/1520/6772/3002/6891/3001,T cells,HALLMARK,Monaco_main
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,191,-0.464636127613044,-2.15280079080402,1.18826874723739e-10,7.42667967023369e-10,4.22148107571178e-10,1203,"tags=28%, list=9%, signal=26%",HSP90B1/CANX/ENO1/TUBA4A/GPI/UBE2D3/ACLY/PSMA3/BCAT1/BTG2/G6PD/RPN1/ARPC5L/ATP2A2/ELOVL5/ACTR3/ACTR2/HSPA5/TFRC/TPI1/ATP6V1D/IFI30/ETF1/MTHFD2/PHGDH/GAPDH/PSMD14/HMBS/PIK3R3/PLK1/AURKA/SDF2L1/NAMPT/PSMC4/DDX39A/CORO1A/NFKBIB/LDHA/SHMT2/SLC1A4/HPRT1/PSMD13/CYB5B/MCM4/PSMA4/PPA1/MCM2/CALR/CTSC/RRM2/DHFR/BUB1/PSAT1,7184/821/2023/7277/2821/7323/47/5684/586/7832/2539/6184/81873/488/60481/10096/10097/3309/7037/7167/51382/10437/2107/10797/26227/2597/10213/3145/8503/5347/6790/23753/10135/5704/10212/11151/4793/3939/6472/6509/3251/5719/80777/4173/5685/5464/4171/811/1075/6241/1719/699/29968,T cells,HALLMARK,Monaco_main
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,189,-0.439022172890209,-2.02150663937706,6.35200911166191e-09,3.52889395092328e-08,2.00589761420903e-08,934,"tags=21%, list=7%, signal=19%",KNTC1/AKAP13/PLEKHG2/PIF1/KPTN/MARK4/BIN1/CAPZB/PLK1/AURKA/CLIP1/NET1/BRCA2/ECT2/KIF22/ANLN/CENPE/LMNB1/RACGAP1/KIF23/KIF4A/BIRC5/CDK1/KIF15/CCNB2/TOP2A/BUB1/SMC4/DLGAP5/KIF2C/KIF20B/TTK/CENPF/NDC80/TPX2/PRC1/BCL2L11/KIF11/NUSAP1,9735/11214/64857/80119/11133/57787/274/832/5347/6790/6249/10276/675/1894/3835/54443/1062/4001/29127/9493/24137/332/983/56992/9133/7153/699/10051/9787/11004/9585/7272/1063/10403/22974/9055/10018/3832/51203,T cells,HALLMARK,Monaco_main
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,143,-0.429304512618409,-1.93271571750686,3.00682286875471e-06,1.50341143437735e-05,8.54570710067127e-06,3053,"tags=39%, list=23%, signal=30%",SF3A3/POLR2F/APRT/GTF3C5/NT5C/NELFE/TAF1C/DUT/GMPR2/POLD4/EDF1/GTF2A2/POLR2E/PDE6G/SNAPC4/COX17/POLR2J/SRSF6/POLD1/TP53/SSRP1/POLR2I/POLB/SDCBP/MPC2/DGUOK/POLR2G/ARL6IP1/GTF2B/POLR2H/ERCC2/TAF12/ADRM1/POLA2/CSTF3/GUK1/POLR2A/RBX1/VPS37B/ITPA/POLA1/USP11/ALYREF/TAF10/NME1/ADA/PCNA/RFC3/RPA3/FEN1/MPG/HPRT1/HCLS1/ZWINT/TYMS/RAD51,10946/5435/353/9328/30833/7936/9013/1854/51292/57804/8721/2958/5434/5148/6621/10063/5439/6431/5424/7157/6749/5438/5423/6386/25874/1716/5436/23204/2959/5437/2068/6883/11047/23649/1479/2987/5430/9978/79720/3704/5422/8237/10189/6881/4830/100/5111/5983/6119/2237/4350/3251/3059/11130/7298/5888,T cells,HALLMARK,Monaco_main
